# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(0,1),2.28982 # DEPENDENCYPART_ARC
(0,2),1.02478 # DEPENDENCYPART_ARC
(0,3),-0.922503 # DEPENDENCYPART_ARC
(0,4),-1.73056 # DEPENDENCYPART_ARC
(0,5),-0.68459 # DEPENDENCYPART_ARC
(0,6),-1.12287 # DEPENDENCYPART_ARC
(0,7),-0.657964 # DEPENDENCYPART_ARC
(0,11),-1.31554 # DEPENDENCYPART_ARC
(0,12),-1.13224 # DEPENDENCYPART_ARC
(0,13),-0.507273 # DEPENDENCYPART_ARC
(0,14),0.373195 # DEPENDENCYPART_ARC
(0,23),-1.03832 # DEPENDENCYPART_ARC
(0,24),0.0994344 # DEPENDENCYPART_ARC
(0,27),-1.87735 # DEPENDENCYPART_ARC
(0,34),3.20439 # DEPENDENCYPART_ARC
(1,2),-0.377008 # DEPENDENCYPART_ARC
(1,3),-1.17994 # DEPENDENCYPART_ARC
(1,4),-1.39061 # DEPENDENCYPART_ARC
(1,7),-2.13964 # DEPENDENCYPART_ARC
(1,14),-0.932823 # DEPENDENCYPART_ARC
(2,1),-0.108044 # DEPENDENCYPART_ARC
(2,3),2.29395 # DEPENDENCYPART_ARC
(2,4),-0.427004 # DEPENDENCYPART_ARC
(2,6),-0.270511 # DEPENDENCYPART_ARC
(2,7),0.094153 # DEPENDENCYPART_ARC
(2,8),-0.179218 # DEPENDENCYPART_ARC
(2,10),-0.377857 # DEPENDENCYPART_ARC
(2,11),-0.742208 # DEPENDENCYPART_ARC
(2,12),-0.540943 # DEPENDENCYPART_ARC
(2,13),-0.529219 # DEPENDENCYPART_ARC
(2,14),-0.124708 # DEPENDENCYPART_ARC
(2,17),-2.06521 # DEPENDENCYPART_ARC
(2,18),-0.487212 # DEPENDENCYPART_ARC
(2,19),-0.783736 # DEPENDENCYPART_ARC
(2,22),0.0132112 # DEPENDENCYPART_ARC
(2,24),-0.711651 # DEPENDENCYPART_ARC
(2,30),-1.05237 # DEPENDENCYPART_ARC
(3,1),-0.643046 # DEPENDENCYPART_ARC
(3,2),0.166257 # DEPENDENCYPART_ARC
(3,4),2.11506 # DEPENDENCYPART_ARC
(3,5),0.0739195 # DEPENDENCYPART_ARC
(3,6),-0.282375 # DEPENDENCYPART_ARC
(3,7),-0.329933 # DEPENDENCYPART_ARC
(3,8),0.0684399 # DEPENDENCYPART_ARC
(3,9),-0.375856 # DEPENDENCYPART_ARC
(3,10),-0.137007 # DEPENDENCYPART_ARC
(3,11),-0.812376 # DEPENDENCYPART_ARC
(3,14),0.044174 # DEPENDENCYPART_ARC
(4,1),-0.742836 # DEPENDENCYPART_ARC
(4,2),-0.44559 # DEPENDENCYPART_ARC
(4,3),-1.16811 # DEPENDENCYPART_ARC
(4,5),0.398138 # DEPENDENCYPART_ARC
(4,6),-0.77546 # DEPENDENCYPART_ARC
(4,7),-0.79856 # DEPENDENCYPART_ARC
(4,8),-2.06078 # DEPENDENCYPART_ARC
(4,9),-1.79488 # DEPENDENCYPART_ARC
(4,10),-0.812994 # DEPENDENCYPART_ARC
(4,14),-0.805421 # DEPENDENCYPART_ARC
(5,3),-0.707924 # DEPENDENCYPART_ARC
(5,4),-0.507672 # DEPENDENCYPART_ARC
(5,7),-0.90783 # DEPENDENCYPART_ARC
(6,3),-0.292709 # DEPENDENCYPART_ARC
(6,4),-0.196329 # DEPENDENCYPART_ARC
(6,7),-0.361364 # DEPENDENCYPART_ARC
(6,8),-0.674581 # DEPENDENCYPART_ARC
(7,1),-0.116503 # DEPENDENCYPART_ARC
(7,3),-0.22326 # DEPENDENCYPART_ARC
(7,4),-1.85879 # DEPENDENCYPART_ARC
(7,6),1.82554 # DEPENDENCYPART_ARC
(7,8),2.4903 # DEPENDENCYPART_ARC
(7,9),-0.685025 # DEPENDENCYPART_ARC
(7,10),0.999098 # DEPENDENCYPART_ARC
(7,11),-0.131356 # DEPENDENCYPART_ARC
(7,12),-0.0821561 # DEPENDENCYPART_ARC
(7,13),-0.23033 # DEPENDENCYPART_ARC
(7,14),0.354334 # DEPENDENCYPART_ARC
(7,15),-0.540946 # DEPENDENCYPART_ARC
(7,17),-1.51338 # DEPENDENCYPART_ARC
(7,18),-0.343598 # DEPENDENCYPART_ARC
(7,19),-0.518412 # DEPENDENCYPART_ARC
(7,20),-0.182902 # DEPENDENCYPART_ARC
