# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,23,21,26,23,24,16,26,27,28,13,30,31,32,30,34,35,35,37,38,0,
(0,1),2.28982 # DEPENDENCYPART_ARC
(0,2),0.996489 # DEPENDENCYPART_ARC
(0,3),-0.597336 # DEPENDENCYPART_ARC
(0,4),-0.19145 # DEPENDENCYPART_ARC
(0,5),-0.987365 # DEPENDENCYPART_ARC
(0,6),-1.31247 # DEPENDENCYPART_ARC
(0,7),-1.4847 # DEPENDENCYPART_ARC
(0,8),-1.23789 # DEPENDENCYPART_ARC
(0,10),-1.13382 # DEPENDENCYPART_ARC
(0,11),-1.29559 # DEPENDENCYPART_ARC
(0,12),-0.911001 # DEPENDENCYPART_ARC
(0,13),-1.20893 # DEPENDENCYPART_ARC
(0,16),-1.14633 # DEPENDENCYPART_ARC
(0,23),-1.68874 # DEPENDENCYPART_ARC
(0,40),3.62969 # DEPENDENCYPART_ARC
(1,2),-0.423272 # DEPENDENCYPART_ARC
(1,3),-1.34386 # DEPENDENCYPART_ARC
(1,4),-1.2691 # DEPENDENCYPART_ARC
(1,6),-1.68014 # DEPENDENCYPART_ARC
(1,8),-1.58813 # DEPENDENCYPART_ARC
(1,16),-2.42088 # DEPENDENCYPART_ARC
(2,1),-0.145647 # DEPENDENCYPART_ARC
(2,3),1.75411 # DEPENDENCYPART_ARC
(2,4),0.144395 # DEPENDENCYPART_ARC
(2,5),-0.190651 # DEPENDENCYPART_ARC
(2,6),-1.03132 # DEPENDENCYPART_ARC
(2,7),-1.61278 # DEPENDENCYPART_ARC
(2,8),0.25214 # DEPENDENCYPART_ARC
(2,9),-2.1188 # DEPENDENCYPART_ARC
(2,10),0.10568 # DEPENDENCYPART_ARC
(2,11),-0.706035 # DEPENDENCYPART_ARC
(2,12),-0.126405 # DEPENDENCYPART_ARC
(2,13),-1.43468 # DEPENDENCYPART_ARC
(2,14),-0.481382 # DEPENDENCYPART_ARC
(2,16),-0.820368 # DEPENDENCYPART_ARC
(2,17),-1.43131 # DEPENDENCYPART_ARC
(2,18),-2.51549 # DEPENDENCYPART_ARC
(2,19),-0.650545 # DEPENDENCYPART_ARC
(2,20),-2.99563 # DEPENDENCYPART_ARC
(2,21),-0.852184 # DEPENDENCYPART_ARC
(2,24),-1.7704 # DEPENDENCYPART_ARC
(2,25),-3.09459 # DEPENDENCYPART_ARC
(2,26),-2.49318 # DEPENDENCYPART_ARC
(2,27),-0.674474 # DEPENDENCYPART_ARC
(2,30),-1.01229 # DEPENDENCYPART_ARC
(2,31),-3.27042 # DEPENDENCYPART_ARC
(2,32),-0.93986 # DEPENDENCYPART_ARC
(2,34),-1.4988 # DEPENDENCYPART_ARC
(3,4),0.823805 # DEPENDENCYPART_ARC
(3,5),-0.258796 # DEPENDENCYPART_ARC
(3,6),0.0882106 # DEPENDENCYPART_ARC
(3,7),-0.467938 # DEPENDENCYPART_ARC
(3,9),-0.224459 # DEPENDENCYPART_ARC
(4,2),-0.518149 # DEPENDENCYPART_ARC
(4,3),-0.154986 # DEPENDENCYPART_ARC
(4,5),-0.331332 # DEPENDENCYPART_ARC
(4,6),-0.532746 # DEPENDENCYPART_ARC
(4,7),-1.23877 # DEPENDENCYPART_ARC
(4,8),-0.991839 # DEPENDENCYPART_ARC
(4,10),-0.962312 # DEPENDENCYPART_ARC
(4,13),-0.880228 # DEPENDENCYPART_ARC
(5,1),-0.579906 # DEPENDENCYPART_ARC
(5,2),-0.511454 # DEPENDENCYPART_ARC
(5,3),-0.549658 # DEPENDENCYPART_ARC
(5,4),0.17711 # DEPENDENCYPART_ARC
(5,6),1.70704 # DEPENDENCYPART_ARC
(5,7),0.425159 # DEPENDENCYPART_ARC
(5,8),0.399438 # DEPENDENCYPART_ARC
(5,9),-0.607952 # DEPENDENCYPART_ARC
(5,10),0.153052 # DEPENDENCYPART_ARC
(5,11),-0.752281 # DEPENDENCYPART_ARC
(5,12),-0.209749 # DEPENDENCYPART_ARC
(5,13),-0.872879 # DEPENDENCYPART_ARC
(5,15),-1.0384 # DEPENDENCYPART_ARC
(5,16),-0.852348 # DEPENDENCYPART_ARC
(5,19),-0.563361 # DEPENDENCYPART_ARC
(6,1),-0.525714 # DEPENDENCYPART_ARC
(6,3),-1.4301 # DEPENDENCYPART_ARC
(6,4),-0.574232 # DEPENDENCYPART_ARC
(6,5),-0.335817 # DEPENDENCYPART_ARC
(6,7),1.42927 # DEPENDENCYPART_ARC
(6,8),-0.0185012 # DEPENDENCYPART_ARC
(6,9),0.20867 # DEPENDENCYPART_ARC
(6,10),-0.0746631 # DEPENDENCYPART_ARC
(6,12),-0.542597 # DEPENDENCYPART_ARC
(6,13),-0.979642 # DEPENDENCYPART_ARC
(7,1),-0.380048 # DEPENDENCYPART_ARC
(7,2),-0.90208 # DEPENDENCYPART_ARC
(7,3),-1.06051 # DEPENDENCYPART_ARC
(7,4),-0.835732 # DEPENDENCYPART_ARC
(7,5),-0.545541 # DEPENDENCYPART_ARC
(7,6),-0.982258 # DEPENDENCYPART_ARC
(7,8),1.15986 # DEPENDENCYPART_ARC
(7,9),-0.161896 # DEPENDENCYPART_ARC
(7,10),0.104597 # DEPENDENCYPART_ARC
(7,11),-0.763661 # DEPENDENCYPART_ARC
(7,12),-0.373569 # DEPENDENCYPART_ARC
(7,13),-0.259945 # DEPENDENCYPART_ARC
(7,15),-1.74422 # DEPENDENCYPART_ARC
(7,16),-0.869079 # DEPENDENCYPART_ARC
(8,1),-0.344078 # DEPENDENCYPART_ARC
(8,2),-0.503761 # DEPENDENCYPART_ARC
(8,4),-0.767104 # DEPENDENCYPART_ARC
(8,5),-0.591031 # DEPENDENCYPART_ARC
(8,6),-0.780147 # DEPENDENCYPART_ARC
(8,7),0.112849 # DEPENDENCYPART_ARC
(8,9),2.07576 # DEPENDENCYPART_ARC
(8,10),-0.245189 # DEPENDENCYPART_ARC
(8,11),-0.460388 # DEPENDENCYPART_ARC
(8,12),-0.567165 # DEPENDENCYPART_ARC
(9,10),0.888403 # DEPENDENCYPART_ARC
(9,11),-0.375047 # DEPENDENCYPART_ARC
(9,12),-0.463955 # DEPENDENCYPART_ARC
(9,13),-0.878314 # DEPENDENCYPART_ARC
(9,14),-1.8645 # DEPENDENCYPART_ARC
(9,15),-2.07159 # DEPENDENCYPART_ARC
(9,16),-0.967111 # DEPENDENCYPART_ARC
(9,19),-0.837809 # DEPENDENCYPART_ARC
(10,1),-0.591616 # DEPENDENCYPART_ARC
(10,4),-0.608969 # DEPENDENCYPART_ARC
(10,5),-0.901053 # DEPENDENCYPART_ARC
(10,7),-0.842339 # DEPENDENCYPART_ARC
(10,8),-0.367418 # DEPENDENCYPART_ARC
(10,9),-0.127621 # DEPENDENCYPART_ARC
(10,11),1.76654 # DEPENDENCYPART_ARC
(10,12),0.202802 # DEPENDENCYPART_ARC
(10,13),-0.715186 # DEPENDENCYPART_ARC
(10,14),-0.940573 # DEPENDENCYPART_ARC
(11,9),-0.595282 # DEPENDENCYPART_ARC
(11,12),0.313019 # DEPENDENCYPART_ARC
(11,13),-0.745807 # DEPENDENCYPART_ARC
(12,1),-0.504487 # DEPENDENCYPART_ARC
(12,2),0.00349483 # DEPENDENCYPART_ARC
(12,5),-0.627999 # DEPENDENCYPART_ARC
(12,7),-0.716591 # DEPENDENCYPART_ARC
(12,8),-0.58941 # DEPENDENCYPART_ARC
(12,9),-0.672312 # DEPENDENCYPART_ARC
(12,10),-0.46309 # DEPENDENCYPART_ARC
(12,11),-0.242432 # DEPENDENCYPART_ARC
(12,13),1.0018 # DEPENDENCYPART_ARC
(12,14),-0.560089 # DEPENDENCYPART_ARC
(12,17),-0.948982 # DEPENDENCYPART_ARC
(12,18),-0.785768 # DEPENDENCYPART_ARC
(12,19),-0.714744 # DEPENDENCYPART_ARC
(12,21),-0.846581 # DEPENDENCYPART_ARC
(13,1),-0.505051 # DEPENDENCYPART_ARC
(13,3),-0.322924 # DEPENDENCYPART_ARC
(13,4),-0.804697 # DEPENDENCYPART_ARC
(13,5),-0.619407 # DEPENDENCYPART_ARC
(13,7),-2.97564 # DEPENDENCYPART_ARC
(13,8),-0.53806 # DEPENDENCYPART_ARC
(13,9),-2.2162 # DEPENDENCYPART_ARC
(13,10),-0.340716 # DEPENDENCYPART_ARC
(13,11),-0.24781 # DEPENDENCYPART_ARC
(13,12),0.224797 # DEPENDENCYPART_ARC
(13,14),2.6534 # DEPENDENCYPART_ARC
(13,16),0.185304 # DEPENDENCYPART_ARC
(13,17),-0.0401094 # DEPENDENCYPART_ARC
(13,18),-1.60628 # DEPENDENCYPART_ARC
(13,19),0.635964 # DEPENDENCYPART_ARC
(13,20),-2.06766 # DEPENDENCYPART_ARC
(13,21),0.0851815 # DEPENDENCYPART_ARC
(13,23),-0.363924 # DEPENDENCYPART_ARC
(13,24),-0.902757 # DEPENDENCYPART_ARC
(13,25),-2.34094 # DEPENDENCYPART_ARC
(13,26),-2.36862 # DEPENDENCYPART_ARC
(13,27),0.202913 # DEPENDENCYPART_ARC
(13,28),-2.74249 # DEPENDENCYPART_ARC
(13,29),-0.348128 # DEPENDENCYPART_ARC
(13,30),-0.221215 # DEPENDENCYPART_ARC
(13,31),-2.76812 # DEPENDENCYPART_ARC
(13,32),-0.114709 # DEPENDENCYPART_ARC
(13,33),-3.05115 # DEPENDENCYPART_ARC
(13,34),-0.459663 # DEPENDENCYPART_ARC
(13,35),-2.97124 # DEPENDENCYPART_ARC
(13,37),-1.13091 # DEPENDENCYPART_ARC
(13,38),-3.4733 # DEPENDENCYPART_ARC
(13,39),-3.26224 # DEPENDENCYPART_ARC
(13,40),-0.932418 # DEPENDENCYPART_ARC
(14,11),-1.07905 # DEPENDENCYPART_ARC
(14,15),2.34395 # DEPENDENCYPART_ARC
(14,16),-0.0236101 # DEPENDENCYPART_ARC
(14,17),-0.352698 # DEPENDENCYPART_ARC
(14,18),-0.679676 # DEPENDENCYPART_ARC
(14,19),0.0350026 # DEPENDENCYPART_ARC
(14,20),-0.808562 # DEPENDENCYPART_ARC
(14,21),-0.286612 # DEPENDENCYPART_ARC
(14,22),-0.352437 # DEPENDENCYPART_ARC
(14,23),-0.815377 # DEPENDENCYPART_ARC
(14,24),-0.999427 # DEPENDENCYPART_ARC
(14,27),-0.266625 # DEPENDENCYPART_ARC
(14,32),-0.51789 # DEPENDENCYPART_ARC
(14,34),-0.207771 # DEPENDENCYPART_ARC
(15,14),-0.579726 # DEPENDENCYPART_ARC
(15,17),-1.18507 # DEPENDENCYPART_ARC
(16,14),0.143628 # DEPENDENCYPART_ARC
(16,15),0.117635 # DEPENDENCYPART_ARC
(16,17),1.98189 # DEPENDENCYPART_ARC
(16,18),0.376429 # DEPENDENCYPART_ARC
(16,19),0.0657681 # DEPENDENCYPART_ARC
(16,20),-0.116803 # DEPENDENCYPART_ARC
(16,21),0.0317172 # DEPENDENCYPART_ARC
(16,26),-0.0713735 # DEPENDENCYPART_ARC
(16,29),-0.925547 # DEPENDENCYPART_ARC
(17,2),-0.598968 # DEPENDENCYPART_ARC
(17,14),-0.95343 # DEPENDENCYPART_ARC
(17,15),-0.50558 # DEPENDENCYPART_ARC
(17,16),-0.517207 # DEPENDENCYPART_ARC
(17,18),1.58623 # DEPENDENCYPART_ARC
(17,19),0.123206 # DEPENDENCYPART_ARC
(17,20),-0.82639 # DEPENDENCYPART_ARC
(17,21),-0.163159 # DEPENDENCYPART_ARC
(17,22),-0.924803 # DEPENDENCYPART_ARC
(17,23),-0.793092 # DEPENDENCYPART_ARC
(17,24),-0.907277 # DEPENDENCYPART_ARC
(17,25),-0.702352 # DEPENDENCYPART_ARC
(17,27),-0.498507 # DEPENDENCYPART_ARC
(18,15),-1.59274 # DEPENDENCYPART_ARC
(18,16),-0.956524 # DEPENDENCYPART_ARC
(18,17),-0.514201 # DEPENDENCYPART_ARC
(18,19),0.656447 # DEPENDENCYPART_ARC
(18,20),-0.736951 # DEPENDENCYPART_ARC
(18,21),-0.404711 # DEPENDENCYPART_ARC
(18,22),-1.58813 # DEPENDENCYPART_ARC
(18,23),-1.00558 # DEPENDENCYPART_ARC
(18,27),-0.548918 # DEPENDENCYPART_ARC
(19,14),-1.03261 # DEPENDENCYPART_ARC
(19,15),-0.863031 # DEPENDENCYPART_ARC
(19,17),-0.915519 # DEPENDENCYPART_ARC
(19,18),-0.172353 # DEPENDENCYPART_ARC
(19,20),2.21797 # DEPENDENCYPART_ARC
(19,21),-0.194051 # DEPENDENCYPART_ARC
