# _root_ وَ وَقَعَت الهَزَّةُ فِي الساعَةِ 10,30 بِ التَوْقِيتِ المَحَلِّيِّ ( 1,30 تغ ) فِي هٰذِهِ الجَزِيرَةِ الَّتِي تَقَعُ عَلَى بُعْدِ 150 كلم جَنُوبَ طُوكِيُو وَ تُؤْوِي 3100 نَسَمَةٍ .
#goldHeads=0,0,2,2,4,5,6,7,8,5,5,11,5,2,16,14,16,25,18,19,20,21,18,23,16,25,26,27,0,
#predictedHeads=0,0,2,2,4,5,2,7,8,7,10,11,10,2,16,14,16,16,18,19,20,21,21,23,20,25,26,27,0,
(0,1),2.28982 # DEPENDENCYPART_ARC
(0,2),0.844871 # DEPENDENCYPART_ARC
(0,3),-1.26474 # DEPENDENCYPART_ARC
(0,4),-1.01713 # DEPENDENCYPART_ARC
(0,6),-1.00302 # DEPENDENCYPART_ARC
(0,7),-0.86507 # DEPENDENCYPART_ARC
(0,10),-0.454636 # DEPENDENCYPART_ARC
(0,12),-0.900163 # DEPENDENCYPART_ARC
(0,13),-0.663254 # DEPENDENCYPART_ARC
(0,15),-1.30733 # DEPENDENCYPART_ARC
(0,18),-1.87348 # DEPENDENCYPART_ARC
(0,20),-1.35101 # DEPENDENCYPART_ARC
(0,21),-1.67188 # DEPENDENCYPART_ARC
(0,22),-1.37028 # DEPENDENCYPART_ARC
(0,24),-1.08008 # DEPENDENCYPART_ARC
(0,25),-0.0102027 # DEPENDENCYPART_ARC
(0,26),-0.980249 # DEPENDENCYPART_ARC
(0,27),-1.87366 # DEPENDENCYPART_ARC
(0,28),-1.06307 # DEPENDENCYPART_ARC
(0,29),2.24154 # DEPENDENCYPART_ARC
(1,2),-0.293432 # DEPENDENCYPART_ARC
(1,4),-1.00371 # DEPENDENCYPART_ARC
(1,6),-1.75981 # DEPENDENCYPART_ARC
(2,1),-0.129678 # DEPENDENCYPART_ARC
(2,3),2.34422 # DEPENDENCYPART_ARC
(2,4),1.37865 # DEPENDENCYPART_ARC
