# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,10,10,3,10,11,12,13,12,12,16,16,18,19,22,3,22,23,24,25,22,27,0,
(0,1),1.90148 # DEPENDENCYPART_ARC
(0,2),0.976785 # DEPENDENCYPART_ARC
(0,3),-0.616536 # DEPENDENCYPART_ARC
(0,4),-1.3139 # DEPENDENCYPART_ARC
(0,7),-0.304193 # DEPENDENCYPART_ARC
(0,8),0.535265 # DEPENDENCYPART_ARC
(0,10),-1.00288 # DEPENDENCYPART_ARC
(0,16),-1.49896 # DEPENDENCYPART_ARC
(0,19),-1.28829 # DEPENDENCYPART_ARC
(0,20),-1.1033 # DEPENDENCYPART_ARC
(0,21),-1.44906 # DEPENDENCYPART_ARC
(0,22),-1.74354 # DEPENDENCYPART_ARC
(0,24),-1.87831 # DEPENDENCYPART_ARC
(0,25),-0.809927 # DEPENDENCYPART_ARC
(0,27),-1.17971 # DEPENDENCYPART_ARC
(0,28),-1.28855 # DEPENDENCYPART_ARC
(0,29),2.80789 # DEPENDENCYPART_ARC
(1,2),0.0562983 # DEPENDENCYPART_ARC
(1,3),-1.01855 # DEPENDENCYPART_ARC
(1,8),-1.14652 # DEPENDENCYPART_ARC
(2,1),0.0146709 # DEPENDENCYPART_ARC
(2,3),2.5781 # DEPENDENCYPART_ARC
(2,4),0.544472 # DEPENDENCYPART_ARC
(2,5),-1.43799 # DEPENDENCYPART_ARC
(2,6),-1.40432 # DEPENDENCYPART_ARC
(2,7),-0.277048 # DEPENDENCYPART_ARC
(2,8),0.109898 # DEPENDENCYPART_ARC
(2,10),-0.963352 # DEPENDENCYPART_ARC
(2,11),-0.345943 # DEPENDENCYPART_ARC
(2,12),-2.48407 # DEPENDENCYPART_ARC
(2,13),-2.54804 # DEPENDENCYPART_ARC
(2,14),-2.4733 # DEPENDENCYPART_ARC
(2,19),-2.5205 # DEPENDENCYPART_ARC
(2,21),-1.23933 # DEPENDENCYPART_ARC
(2,27),-0.528253 # DEPENDENCYPART_ARC
(3,1),-0.710633 # DEPENDENCYPART_ARC
(3,2),-0.401711 # DEPENDENCYPART_ARC
(3,4),0.113345 # DEPENDENCYPART_ARC
(3,5),-0.907196 # DEPENDENCYPART_ARC
(3,6),-0.72397 # DEPENDENCYPART_ARC
(3,7),-0.291376 # DEPENDENCYPART_ARC
(3,8),-0.0640217 # DEPENDENCYPART_ARC
(3,9),-0.879753 # DEPENDENCYPART_ARC
(3,10),-0.593047 # DEPENDENCYPART_ARC
(3,11),-0.408515 # DEPENDENCYPART_ARC
(3,12),-0.805363 # DEPENDENCYPART_ARC
(3,13),-0.642375 # DEPENDENCYPART_ARC
(3,14),-0.682947 # DEPENDENCYPART_ARC
(3,15),-0.686922 # DEPENDENCYPART_ARC
(3,16),-0.273756 # DEPENDENCYPART_ARC
(3,17),-0.832543 # DEPENDENCYPART_ARC
(3,18),-0.572698 # DEPENDENCYPART_ARC
(3,20),-0.6365 # DEPENDENCYPART_ARC
(3,22),-0.293279 # DEPENDENCYPART_ARC
(3,23),-0.486237 # DEPENDENCYPART_ARC
(3,28),-0.356108 # DEPENDENCYPART_ARC
(4,2),-0.95988 # DEPENDENCYPART_ARC
(4,3),-0.339115 # DEPENDENCYPART_ARC
(4,5),2.03432 # DEPENDENCYPART_ARC
(4,6),1.00673 # DEPENDENCYPART_ARC
(4,7),0.0948144 # DEPENDENCYPART_ARC
(4,8),0.230525 # DEPENDENCYPART_ARC
(4,9),-0.964687 # DEPENDENCYPART_ARC
(4,10),-1.25182 # DEPENDENCYPART_ARC
(4,11),-0.123089 # DEPENDENCYPART_ARC
(4,12),-0.825126 # DEPENDENCYPART_ARC
(4,13),-0.260036 # DEPENDENCYPART_ARC
(4,14),-0.849304 # DEPENDENCYPART_ARC
(4,15),-0.554056 # DEPENDENCYPART_ARC
(4,16),-0.140116 # DEPENDENCYPART_ARC
(5,1),-0.512195 # DEPENDENCYPART_ARC
(5,2),-0.952832 # DEPENDENCYPART_ARC
(5,3),-0.395784 # DEPENDENCYPART_ARC
(5,6),2.41985 # DEPENDENCYPART_ARC
(5,7),-0.124065 # DEPENDENCYPART_ARC
(5,8),0.0764093 # DEPENDENCYPART_ARC
(5,9),-1.0511 # DEPENDENCYPART_ARC
(5,10),-1.56807 # DEPENDENCYPART_ARC
(5,11),-0.308096 # DEPENDENCYPART_ARC
(5,15),-0.62167 # DEPENDENCYPART_ARC
(5,16),-0.582418 # DEPENDENCYPART_ARC
(6,2),-0.940482 # DEPENDENCYPART_ARC
(6,5),-2.63737 # DEPENDENCYPART_ARC
(6,7),0.815351 # DEPENDENCYPART_ARC
(6,8),0.0705847 # DEPENDENCYPART_ARC
(6,9),-1.90546 # DEPENDENCYPART_ARC
(6,10),-2.45767 # DEPENDENCYPART_ARC
(6,11),-0.490143 # DEPENDENCYPART_ARC
(7,2),-1.02251 # DEPENDENCYPART_ARC
(7,4),-0.81866 # DEPENDENCYPART_ARC
(7,5),-0.684928 # DEPENDENCYPART_ARC
(7,6),-0.379127 # DEPENDENCYPART_ARC
(8,1),-0.218511 # DEPENDENCYPART_ARC
