# _root_ تَجْدُرُ الإِشارَةُ إِلَى أَنَّ بونومى البالِغُ مِن العُمْرِ 44 عاماً , وَ هُوَ مُحام سابِقٌ , كانَ يَعْمَلُ رَئِيساً لِ مَجْلِسِ إِدارَةِ شَرِكَةِ / إِس آي أَي / المَسْؤُولَةِ عَن إِدارَةِ مَطارَيْ ليناتى ومالبينسا فِي مِيلانُو خِلالَ الفَتْرَةِ مِن 1997 ـ 1999 .
#goldHeads=0,1,2,3,6,12,6,7,8,9,10,4,14,12,14,15,14,17,18,19,20,21,22,27,27,27,23,27,23,29,30,31,34,32,32,35,29,37,38,41,39,41,0,
#predictedHeads=0,1,1,3,4,5,5,7,8,9,10,0,14,12,14,15,14,17,18,19,20,21,22,27,27,27,23,27,23,29,30,31,34,32,31,35,31,37,38,39,40,41,0,
(0,1),1.26855 # DEPENDENCYPART_ARC
(0,2),-0.909898 # DEPENDENCYPART_ARC
(0,3),-0.660047 # DEPENDENCYPART_ARC
(0,4),-0.352794 # DEPENDENCYPART_ARC
(0,5),-0.836782 # DEPENDENCYPART_ARC
(0,6),-0.805057 # DEPENDENCYPART_ARC
(0,9),-0.929768 # DEPENDENCYPART_ARC
(0,11),-0.485438 # DEPENDENCYPART_ARC
(0,12),0.395623 # DEPENDENCYPART_ARC
(0,16),-0.680473 # DEPENDENCYPART_ARC
(0,17),-0.619817 # DEPENDENCYPART_ARC
(0,18),-1.23858 # DEPENDENCYPART_ARC
(0,19),-1.15869 # DEPENDENCYPART_ARC
(0,21),-1.45718 # DEPENDENCYPART_ARC
(0,24),-0.948394 # DEPENDENCYPART_ARC
(0,25),-1.67224 # DEPENDENCYPART_ARC
(0,26),-1.76339 # DEPENDENCYPART_ARC
(0,27),-1.6599 # DEPENDENCYPART_ARC
(0,28),-1.11277 # DEPENDENCYPART_ARC
(0,29),-1.59128 # DEPENDENCYPART_ARC
(0,30),-0.695998 # DEPENDENCYPART_ARC
(0,36),-1.21791 # DEPENDENCYPART_ARC
(0,40),-2.13084 # DEPENDENCYPART_ARC
(0,42),-2.27234 # DEPENDENCYPART_ARC
(0,43),2.0161 # DEPENDENCYPART_ARC
(1,2),2.3184 # DEPENDENCYPART_ARC
(1,3),1.14989 # DEPENDENCYPART_ARC
(1,4),0.494971 # DEPENDENCYPART_ARC
(1,5),-0.349719 # DEPENDENCYPART_ARC
