# _root_ تَوَقَّعَت الحُكُومَةُ المِصْرِيَّةُ زِيادَةً فِي حَجْمِ مُوازَنَةِ السَنَةِ المُقْبِلَةِ بِ نِسْبَةِ 13 فِي المِئَةِ إِلَى 140 بِلْيُونَ جُنَيْهٍ ( 33 بِلْيُونَ دُولارٍ ) اِرْتِفاعاً مِن 8,126 بِلْيُونَ جُنَيْهٍ ( 7,29 بِلْيُونَ دُولارٍ ) لِ المُوازَنَةِ الحالِيَّةِ . وَ شَدَّدَ وَزِيرُ المالِ مِدْحَت حَسانَيْن فِي تَصْرِيحٍ لِ » الحَياَةِ « عَلَى ضَرُورَةِ أَن تَتَحَوَّلَ مُوازَنَةُ الدَوْلَةِ إِلَى » مُوازَنَةِ مَوارِدَ وَ بَرامِجَ وَ أَداءٍ وَ لَيْسَت مُوازَنَةِ إِنْفاقٍ « مُشِيراً إِلَى أَنَّ المُشْكِلَةَ تَكْمُنُ فِي تَراجُعِ حَجْمِ الإِيراداتِ وَ اِرْتِفاعِ حَجْمِ الإِنْفاقِ سَنَوِيّاً .
#goldHeads=0,1,2,1,4,5,6,7,8,4,10,11,12,13,4,19,16,17,15,19,20,21,19,4,24,29,26,27,25,29,30,31,29,24,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,64,64,60,58,60,60,60,56,66,64,66,64,39,69,70,73,71,73,78,75,76,74,78,79,80,78,0,
#predictedHeads=0,1,2,1,1,5,6,7,8,1,10,11,12,13,1,19,16,17,15,19,20,21,19,19,24,29,26,27,25,29,30,31,29,1,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,58,56,60,58,60,60,60,60,64,65,66,58,39,69,70,73,71,73,74,75,78,76,78,79,80,39,0,
(0,1),1.2915 # DEPENDENCYPART_ARC
(0,2),-0.795769 # DEPENDENCYPART_ARC
(0,3),-0.923789 # DEPENDENCYPART_ARC
(0,4),-0.782745 # DEPENDENCYPART_ARC
(0,5),-0.92457 # DEPENDENCYPART_ARC
(0,6),-1.30966 # DEPENDENCYPART_ARC
(0,9),-1.30754 # DEPENDENCYPART_ARC
(0,12),-1.239 # DEPENDENCYPART_ARC
(0,16),-1.32671 # DEPENDENCYPART_ARC
(0,19),-0.880907 # DEPENDENCYPART_ARC
(0,20),-1.58191 # DEPENDENCYPART_ARC
(0,23),-1.0724 # DEPENDENCYPART_ARC
(0,26),-2.04722 # DEPENDENCYPART_ARC
(0,30),-2.25968 # DEPENDENCYPART_ARC
(0,37),2.77661 # DEPENDENCYPART_ARC
(0,38),1.03418 # DEPENDENCYPART_ARC
(0,39),-0.854579 # DEPENDENCYPART_ARC
(0,42),-1.6982 # DEPENDENCYPART_ARC
(0,43),-1.5789 # DEPENDENCYPART_ARC
(0,48),-1.56792 # DEPENDENCYPART_ARC
(0,53),-1.24645 # DEPENDENCYPART_ARC
(0,60),-1.22536 # DEPENDENCYPART_ARC
(0,62),-1.29622 # DEPENDENCYPART_ARC
(0,64),-0.492604 # DEPENDENCYPART_ARC
(0,65),-1.8872 # DEPENDENCYPART_ARC
(0,69),1.82162 # DEPENDENCYPART_ARC
(0,73),-2.09804 # DEPENDENCYPART_ARC
(0,83),7.10547 # DEPENDENCYPART_ARC
(1,2),2.24118 # DEPENDENCYPART_ARC
(1,3),-0.470703 # DEPENDENCYPART_ARC
(1,4),1.15525 # DEPENDENCYPART_ARC
(1,5),1.06276 # DEPENDENCYPART_ARC
(1,6),-1.11161 # DEPENDENCYPART_ARC
(1,7),-1.24435 # DEPENDENCYPART_ARC
(1,8),-1.33435 # DEPENDENCYPART_ARC
(1,9),-1.98846 # DEPENDENCYPART_ARC
(1,10),0.380711 # DEPENDENCYPART_ARC
(1,11),-1.86072 # DEPENDENCYPART_ARC
(1,12),-0.401489 # DEPENDENCYPART_ARC
(1,13),0.346618 # DEPENDENCYPART_ARC
(1,14),-2.05541 # DEPENDENCYPART_ARC
(1,15),0.361267 # DEPENDENCYPART_ARC
(1,16),-0.663517 # DEPENDENCYPART_ARC
(1,17),-0.0592997 # DEPENDENCYPART_ARC
(1,18),-2.29101 # DEPENDENCYPART_ARC
(1,19),-0.691867 # DEPENDENCYPART_ARC
(1,20),-0.83737 # DEPENDENCYPART_ARC
(1,21),-0.40141 # DEPENDENCYPART_ARC
(1,22),-2.56213 # DEPENDENCYPART_ARC
(1,24),-0.928661 # DEPENDENCYPART_ARC
(1,25),-0.415995 # DEPENDENCYPART_ARC
(1,27),-0.885107 # DEPENDENCYPART_ARC
(1,28),-3.00688 # DEPENDENCYPART_ARC
(1,31),-1.16607 # DEPENDENCYPART_ARC
(1,32),-3.31243 # DEPENDENCYPART_ARC
(1,34),-0.0442443 # DEPENDENCYPART_ARC
(1,36),-3.20717 # DEPENDENCYPART_ARC
(1,44),-0.95848 # DEPENDENCYPART_ARC
(1,46),-0.863198 # DEPENDENCYPART_ARC
(1,50),-2.1532 # DEPENDENCYPART_ARC
(2,3),2.07856 # DEPENDENCYPART_ARC
(2,4),-1.96588 # DEPENDENCYPART_ARC
(2,5),-0.225676 # DEPENDENCYPART_ARC
(2,6),-1.59269 # DEPENDENCYPART_ARC
(2,7),-1.98771 # DEPENDENCYPART_ARC
(2,9),-0.617113 # DEPENDENCYPART_ARC
(2,10),-0.532784 # DEPENDENCYPART_ARC
(2,13),-0.810242 # DEPENDENCYPART_ARC
(2,15),-0.73995 # DEPENDENCYPART_ARC
(3,2),-0.897294 # DEPENDENCYPART_ARC
(3,4),-0.634556 # DEPENDENCYPART_ARC
(3,5),-0.218828 # DEPENDENCYPART_ARC
(3,6),-0.879907 # DEPENDENCYPART_ARC
(3,7),-1.47257 # DEPENDENCYPART_ARC
(3,9),-1.36557 # DEPENDENCYPART_ARC
(3,10),-0.861639 # DEPENDENCYPART_ARC
(4,2),-1.2332 # DEPENDENCYPART_ARC
(4,3),-1.08107 # DEPENDENCYPART_ARC
(4,5),0.989998 # DEPENDENCYPART_ARC
(4,6),-0.248222 # DEPENDENCYPART_ARC
(4,7),-0.923672 # DEPENDENCYPART_ARC
(4,8),-0.939884 # DEPENDENCYPART_ARC
(4,9),-0.820687 # DEPENDENCYPART_ARC
(4,10),-0.16164 # DEPENDENCYPART_ARC
(4,13),-0.244086 # DEPENDENCYPART_ARC
(5,2),-1.09095 # DEPENDENCYPART_ARC
(5,3),-0.992879 # DEPENDENCYPART_ARC
(5,4),-0.270674 # DEPENDENCYPART_ARC
(5,6),2.43776 # DEPENDENCYPART_ARC
(5,7),0.240489 # DEPENDENCYPART_ARC
(5,8),-1.04261 # DEPENDENCYPART_ARC
(5,9),-0.838557 # DEPENDENCYPART_ARC
(6,3),-1.49943 # DEPENDENCYPART_ARC
(6,4),-1.0132 # DEPENDENCYPART_ARC
(6,7),1.6431 # DEPENDENCYPART_ARC
(6,8),0.603316 # DEPENDENCYPART_ARC
(6,9),-0.220411 # DEPENDENCYPART_ARC
(6,10),0.041123 # DEPENDENCYPART_ARC
(6,11),-0.755796 # DEPENDENCYPART_ARC
(6,12),-0.557116 # DEPENDENCYPART_ARC
(6,13),-0.18315 # DEPENDENCYPART_ARC
(6,15),-0.156937 # DEPENDENCYPART_ARC
(6,16),-0.74272 # DEPENDENCYPART_ARC
(7,2),-1.16561 # DEPENDENCYPART_ARC
(7,3),-1.32974 # DEPENDENCYPART_ARC
(7,4),-0.886295 # DEPENDENCYPART_ARC
(7,5),-0.471785 # DEPENDENCYPART_ARC
(7,6),-1.81426 # DEPENDENCYPART_ARC
(7,8),2.87869 # DEPENDENCYPART_ARC
(7,9),1.28229 # DEPENDENCYPART_ARC
(7,10),0.299255 # DEPENDENCYPART_ARC
(7,11),-0.09034 # DEPENDENCYPART_ARC
(7,12),-0.416184 # DEPENDENCYPART_ARC
(7,13),0.0303271 # DEPENDENCYPART_ARC
(7,14),-0.198698 # DEPENDENCYPART_ARC
(7,15),-0.0132708 # DEPENDENCYPART_ARC
(7,16),-0.683053 # DEPENDENCYPART_ARC
(7,18),-0.47312 # DEPENDENCYPART_ARC
(8,2),-1.83012 # DEPENDENCYPART_ARC
(8,3),-1.42301 # DEPENDENCYPART_ARC
(8,9),2.05734 # DEPENDENCYPART_ARC
(8,10),0.234064 # DEPENDENCYPART_ARC
(8,11),-1.0779 # DEPENDENCYPART_ARC
(8,12),-0.653654 # DEPENDENCYPART_ARC
(8,13),-0.236609 # DEPENDENCYPART_ARC
(8,15),-0.604456 # DEPENDENCYPART_ARC
(8,16),-1.04578 # DEPENDENCYPART_ARC
(9,2),-2.5378 # DEPENDENCYPART_ARC
(9,4),-1.62116 # DEPENDENCYPART_ARC
(9,5),-0.715916 # DEPENDENCYPART_ARC
(9,6),-1.89885 # DEPENDENCYPART_ARC
(9,7),-2.09954 # DEPENDENCYPART_ARC
(9,8),-1.87341 # DEPENDENCYPART_ARC
(9,10),0.401182 # DEPENDENCYPART_ARC
(9,11),-1.10692 # DEPENDENCYPART_ARC
(9,12),-0.704847 # DEPENDENCYPART_ARC
(10,8),-0.891407 # DEPENDENCYPART_ARC
(10,9),-0.714569 # DEPENDENCYPART_ARC
(10,11),1.93855 # DEPENDENCYPART_ARC
(10,12),-0.0823044 # DEPENDENCYPART_ARC
(10,14),-0.322538 # DEPENDENCYPART_ARC
(11,12),1.19067 # DEPENDENCYPART_ARC
(11,13),0.23468 # DEPENDENCYPART_ARC
(11,14),-0.112656 # DEPENDENCYPART_ARC
(11,15),-0.110046 # DEPENDENCYPART_ARC
(11,16),-0.652896 # DEPENDENCYPART_ARC
(11,17),-0.71205 # DEPENDENCYPART_ARC
(11,18),-0.857609 # DEPENDENCYPART_ARC
(11,19),-0.476288 # DEPENDENCYPART_ARC
(11,20),-0.866882 # DEPENDENCYPART_ARC
(12,7),-0.973924 # DEPENDENCYPART_ARC
(12,8),-0.88081 # DEPENDENCYPART_ARC
(12,10),-0.544383 # DEPENDENCYPART_ARC
(12,11),-0.307565 # DEPENDENCYPART_ARC
(12,13),0.982404 # DEPENDENCYPART_ARC
(12,14),0.422574 # DEPENDENCYPART_ARC
(12,15),-0.123243 # DEPENDENCYPART_ARC
(12,19),-0.794253 # DEPENDENCYPART_ARC
(12,23),-0.888178 # DEPENDENCYPART_ARC
(13,10),-0.637088 # DEPENDENCYPART_ARC
(13,11),-1.00701 # DEPENDENCYPART_ARC
(13,12),-0.664245 # DEPENDENCYPART_ARC
(13,14),2.09171 # DEPENDENCYPART_ARC
(13,15),-0.162242 # DEPENDENCYPART_ARC
(13,16),-0.442779 # DEPENDENCYPART_ARC
(13,17),-0.894163 # DEPENDENCYPART_ARC
(13,18),-1.36543 # DEPENDENCYPART_ARC
(13,19),-0.579172 # DEPENDENCYPART_ARC
(14,12),-1.02998 # DEPENDENCYPART_ARC
(14,15),0.47673 # DEPENDENCYPART_ARC
(14,16),-0.424441 # DEPENDENCYPART_ARC
(14,17),-1.6264 # DEPENDENCYPART_ARC
(14,18),-1.94543 # DEPENDENCYPART_ARC
(14,20),-1.16463 # DEPENDENCYPART_ARC
(15,2),-0.55319 # DEPENDENCYPART_ARC
(15,4),-0.385201 # DEPENDENCYPART_ARC
(15,6),-0.58665 # DEPENDENCYPART_ARC
(15,7),-0.684376 # DEPENDENCYPART_ARC
(15,8),-0.588815 # DEPENDENCYPART_ARC
(15,11),-0.608914 # DEPENDENCYPART_ARC
(15,13),-0.201444 # DEPENDENCYPART_ARC
(15,14),0.0900356 # DEPENDENCYPART_ARC
(15,16),1.25168 # DEPENDENCYPART_ARC
(15,17),-0.14579 # DEPENDENCYPART_ARC
(15,18),-1.19304 # DEPENDENCYPART_ARC
(15,19),-0.478903 # DEPENDENCYPART_ARC
(15,20),-0.797813 # DEPENDENCYPART_ARC
(16,11),-0.623916 # DEPENDENCYPART_ARC
(16,13),-0.361518 # DEPENDENCYPART_ARC
(16,14),-0.368005 # DEPENDENCYPART_ARC
(16,15),0.292225 # DEPENDENCYPART_ARC
(16,17),2.26004 # DEPENDENCYPART_ARC
(16,18),0.466696 # DEPENDENCYPART_ARC
(16,19),-0.335215 # DEPENDENCYPART_ARC
(16,23),-0.624815 # DEPENDENCYPART_ARC
(16,25),-0.289302 # DEPENDENCYPART_ARC
(16,29),-1.20462 # DEPENDENCYPART_ARC
(16,33),-1.17914 # DEPENDENCYPART_ARC
(17,5),-0.617484 # DEPENDENCYPART_ARC
(17,18),1.83163 # DEPENDENCYPART_ARC
(17,19),-0.0744037 # DEPENDENCYPART_ARC
(17,20),-0.555688 # DEPENDENCYPART_ARC
(17,21),-0.508575 # DEPENDENCYPART_ARC
(17,22),-0.304213 # DEPENDENCYPART_ARC
(17,23),-0.630144 # DEPENDENCYPART_ARC
(17,24),-0.921352 # DEPENDENCYPART_ARC
(17,25),-0.629497 # DEPENDENCYPART_ARC
(17,26),-0.924774 # DEPENDENCYPART_ARC
(18,17),-0.739068 # DEPENDENCYPART_ARC
(18,19),0.202636 # DEPENDENCYPART_ARC
(18,20),-0.416876 # DEPENDENCYPART_ARC
(18,21),-1.63877 # DEPENDENCYPART_ARC
(18,22),-1.04144 # DEPENDENCYPART_ARC
(19,2),-0.805726 # DEPENDENCYPART_ARC
(19,4),-0.88393 # DEPENDENCYPART_ARC
(19,6),-0.737424 # DEPENDENCYPART_ARC
(19,7),-0.572331 # DEPENDENCYPART_ARC
(19,8),-0.595093 # DEPENDENCYPART_ARC
(19,14),-0.561629 # DEPENDENCYPART_ARC
(19,16),0.164762 # DEPENDENCYPART_ARC
(19,17),-0.288194 # DEPENDENCYPART_ARC
(19,18),0.165756 # DEPENDENCYPART_ARC
(19,20),0.63842 # DEPENDENCYPART_ARC
(19,21),-0.374581 # DEPENDENCYPART_ARC
