# _root_ القاهِرَةُ - » الحَياَةُ « - زادَت مُعَدَّلاتُ » الدَوْلَرَةِ « داخِلَ الاِقْتِصادِ المِصْرِيِّ عَلَى نَحْوٍ باتٍّ يَزْعَجُ الحُكُومَةَ الَّتِي خَفَّضَت مَطْلَعَ الشَهْرِ الماضِي قِيمَةَ الجُنَيْهِ فِي مُواجَهَةِ الدُولارِ ، وَ بَدَأَت هٰذِهِ المُعَدَّلاتُ تَقْتَرِبُ مِن حاجِزِ عامِ 1994 فِي بِدايَةِ بَرْنامَجِ الإِصْلاحِ الاِقْتِصادِيِّ . وَ أَشارَ تَقْرِيرٌ لِ وِزارَةِ الاِقْتِصادِ إِلَى أَنَّ مُعَدَّلَ » الدَوْلَرَةِ « تَجاوَزَ 22 فِي المِئَةِ مِن إِجْمالِيِّ حَجْمِ السُيُولَةِ وَ هُوَ فِي سَبِيلِ هُ إِلَى الصُعُودِ تَدْرِيجاً بِ مُعَدَّلٍ يُراوِحُ بَيْنَ 3,0 وَ 4,0 فِي المِئَةِ شَهْرِيّاً .
#goldHeads=0,0,4,0,4,0,31,7,10,8,10,7,12,13,7,15,16,17,18,19,19,21,22,23,21,25,21,27,27,29,0,31,34,32,32,35,36,37,38,32,40,41,42,43,0,0,0,47,48,49,50,47,52,58,56,54,56,53,58,59,60,59,62,63,64,67,68,58,68,69,69,71,72,72,74,75,76,79,77,79,79,81,79,0,
#predictedHeads=0,0,4,0,4,0,0,7,10,8,10,7,12,13,7,15,16,16,18,19,31,21,22,23,21,25,26,27,28,29,0,31,34,32,32,35,36,37,38,32,40,41,42,43,0,0,0,47,48,49,50,47,52,58,56,54,56,53,58,59,60,59,62,63,64,68,68,64,68,69,69,71,72,73,74,75,76,79,77,79,80,81,76,0,
(0,1),0.935226 # DEPENDENCYPART_ARC
(0,2),0.649662 # DEPENDENCYPART_ARC
(0,3),0.393794 # DEPENDENCYPART_ARC
(0,4),0.0870955 # DEPENDENCYPART_ARC
(0,5),-0.139719 # DEPENDENCYPART_ARC
(0,6),1.07169 # DEPENDENCYPART_ARC
(0,7),0.527389 # DEPENDENCYPART_ARC
(0,8),-0.72 # DEPENDENCYPART_ARC
(0,9),0.07085 # DEPENDENCYPART_ARC
(0,10),-1.06768 # DEPENDENCYPART_ARC
(0,11),-0.364674 # DEPENDENCYPART_ARC
(0,12),-0.809536 # DEPENDENCYPART_ARC
(0,13),-1.18847 # DEPENDENCYPART_ARC
(0,14),-1.16201 # DEPENDENCYPART_ARC
(0,15),-0.734784 # DEPENDENCYPART_ARC
(0,16),-0.930634 # DEPENDENCYPART_ARC
(0,17),-1.15062 # DEPENDENCYPART_ARC
(0,18),-0.896564 # DEPENDENCYPART_ARC
(0,19),-0.835027 # DEPENDENCYPART_ARC
(0,20),-0.911539 # DEPENDENCYPART_ARC
(0,21),-1.25378 # DEPENDENCYPART_ARC
(0,22),-0.811866 # DEPENDENCYPART_ARC
(0,23),-1.34424 # DEPENDENCYPART_ARC
(0,24),-1.04782 # DEPENDENCYPART_ARC
(0,25),-0.795113 # DEPENDENCYPART_ARC
(0,26),-1.36206 # DEPENDENCYPART_ARC
(0,28),-0.972282 # DEPENDENCYPART_ARC
(0,30),-0.371432 # DEPENDENCYPART_ARC
(0,31),0.501616 # DEPENDENCYPART_ARC
(0,32),-1.19346 # DEPENDENCYPART_ARC
(0,33),-1.92646 # DEPENDENCYPART_ARC
(0,34),-0.93861 # DEPENDENCYPART_ARC
(0,35),-1.68756 # DEPENDENCYPART_ARC
(0,37),-1.13443 # DEPENDENCYPART_ARC
(0,38),-1.08287 # DEPENDENCYPART_ARC
(0,39),-1.68746 # DEPENDENCYPART_ARC
(0,41),-0.978688 # DEPENDENCYPART_ARC
(0,45),3.41318 # DEPENDENCYPART_ARC
(0,46),0.376281 # DEPENDENCYPART_ARC
(0,47),0.814766 # DEPENDENCYPART_ARC
(0,48),-0.614816 # DEPENDENCYPART_ARC
(0,50),-1.08813 # DEPENDENCYPART_ARC
(0,55),-0.376847 # DEPENDENCYPART_ARC
(0,56),-1.22864 # DEPENDENCYPART_ARC
(0,58),-1.86003 # DEPENDENCYPART_ARC
(0,59),-2.63069 # DEPENDENCYPART_ARC
(0,66),-1.48721 # DEPENDENCYPART_ARC
(0,74),0.877743 # DEPENDENCYPART_ARC
(0,76),-2.91762 # DEPENDENCYPART_ARC
(0,79),-1.35084 # DEPENDENCYPART_ARC
(0,82),-1.25967 # DEPENDENCYPART_ARC
(0,84),6.77096 # DEPENDENCYPART_ARC
(1,2),0.0322359 # DEPENDENCYPART_ARC
(1,3),-1.26559 # DEPENDENCYPART_ARC
(1,4),-1.33427 # DEPENDENCYPART_ARC
(1,5),-1.07603 # DEPENDENCYPART_ARC
(1,6),-1.3488 # DEPENDENCYPART_ARC
(2,1),-0.300186 # DEPENDENCYPART_ARC
(2,3),0.457164 # DEPENDENCYPART_ARC
(2,4),-0.744999 # DEPENDENCYPART_ARC
(2,5),-0.547808 # DEPENDENCYPART_ARC
(2,6),-0.671007 # DEPENDENCYPART_ARC
(2,7),-1.20691 # DEPENDENCYPART_ARC
(3,1),-0.523487 # DEPENDENCYPART_ARC
(3,2),-0.299154 # DEPENDENCYPART_ARC
(3,4),-0.273407 # DEPENDENCYPART_ARC
(3,5),-0.738347 # DEPENDENCYPART_ARC
(3,6),-0.851875 # DEPENDENCYPART_ARC
(3,7),-1.35247 # DEPENDENCYPART_ARC
(4,1),-0.779161 # DEPENDENCYPART_ARC
(4,2),0.0670086 # DEPENDENCYPART_ARC
(4,3),1.09438 # DEPENDENCYPART_ARC
(4,5),0.807409 # DEPENDENCYPART_ARC
(4,6),-0.423983 # DEPENDENCYPART_ARC
(4,7),-0.349365 # DEPENDENCYPART_ARC
(4,8),-1.36953 # DEPENDENCYPART_ARC
(4,9),-0.871554 # DEPENDENCYPART_ARC
(4,11),-0.958656 # DEPENDENCYPART_ARC
(5,1),-1.3266 # DEPENDENCYPART_ARC
(5,2),-0.915934 # DEPENDENCYPART_ARC
(5,3),-0.700666 # DEPENDENCYPART_ARC
(5,4),-0.58848 # DEPENDENCYPART_ARC
(5,6),0.497423 # DEPENDENCYPART_ARC
(5,7),-0.964335 # DEPENDENCYPART_ARC
(5,9),-0.725854 # DEPENDENCYPART_ARC
(6,2),-0.811444 # DEPENDENCYPART_ARC
(6,3),-0.732028 # DEPENDENCYPART_ARC
(6,4),-0.719864 # DEPENDENCYPART_ARC
(6,5),-0.216649 # DEPENDENCYPART_ARC
(6,7),-0.275346 # DEPENDENCYPART_ARC
(7,1),-0.785154 # DEPENDENCYPART_ARC
(7,2),-1.09807 # DEPENDENCYPART_ARC
(7,3),-0.770632 # DEPENDENCYPART_ARC
(7,4),-0.628745 # DEPENDENCYPART_ARC
(7,5),-0.5763 # DEPENDENCYPART_ARC
(7,6),0.0695315 # DEPENDENCYPART_ARC
(7,8),2.23733 # DEPENDENCYPART_ARC
(7,9),0.152637 # DEPENDENCYPART_ARC
(7,10),-1.25784 # DEPENDENCYPART_ARC
(7,11),-0.234012 # DEPENDENCYPART_ARC
(7,12),0.778445 # DEPENDENCYPART_ARC
(7,13),-1.92852 # DEPENDENCYPART_ARC
(7,14),-2.25829 # DEPENDENCYPART_ARC
(7,15),0.307899 # DEPENDENCYPART_ARC
(7,16),-2.24011 # DEPENDENCYPART_ARC
(7,17),-1.42827 # DEPENDENCYPART_ARC
(7,18),-0.567509 # DEPENDENCYPART_ARC
(7,19),-0.297521 # DEPENDENCYPART_ARC
(7,21),-0.855873 # DEPENDENCYPART_ARC
(7,22),-0.0276313 # DEPENDENCYPART_ARC
(7,23),-2.35423 # DEPENDENCYPART_ARC
(7,24),-1.69412 # DEPENDENCYPART_ARC
(7,25),-0.325636 # DEPENDENCYPART_ARC
(7,26),-2.536 # DEPENDENCYPART_ARC
(7,27),-0.606764 # DEPENDENCYPART_ARC
(7,36),-0.572908 # DEPENDENCYPART_ARC
(7,40),-1.29306 # DEPENDENCYPART_ARC
(7,49),-1.42857 # DEPENDENCYPART_ARC
(7,52),-1.39034 # DEPENDENCYPART_ARC
(8,4),-0.8849 # DEPENDENCYPART_ARC
(8,5),-0.972928 # DEPENDENCYPART_ARC
(8,6),-0.537411 # DEPENDENCYPART_ARC
(8,9),0.523018 # DEPENDENCYPART_ARC
(8,10),0.765481 # DEPENDENCYPART_ARC
(8,11),-0.288328 # DEPENDENCYPART_ARC
(8,12),-0.0375909 # DEPENDENCYPART_ARC
(8,13),-0.48373 # DEPENDENCYPART_ARC
(8,14),-0.417417 # DEPENDENCYPART_ARC
(8,15),-0.227341 # DEPENDENCYPART_ARC
(8,17),-1.7704 # DEPENDENCYPART_ARC
(8,18),-1.01552 # DEPENDENCYPART_ARC
(8,20),-0.852655 # DEPENDENCYPART_ARC
(9,8),-0.168227 # DEPENDENCYPART_ARC
(9,10),-0.337623 # DEPENDENCYPART_ARC
(9,11),-0.217377 # DEPENDENCYPART_ARC
(10,2),-1.11785 # DEPENDENCYPART_ARC
(10,3),-0.870932 # DEPENDENCYPART_ARC
(10,5),-0.859429 # DEPENDENCYPART_ARC
(10,6),-0.625481 # DEPENDENCYPART_ARC
(10,7),-0.423517 # DEPENDENCYPART_ARC
(10,8),-1.25067 # DEPENDENCYPART_ARC
(10,9),0.803316 # DEPENDENCYPART_ARC
(10,11),1.03139 # DEPENDENCYPART_ARC
(10,12),0.055998 # DEPENDENCYPART_ARC
(10,13),-1.32064 # DEPENDENCYPART_ARC
(10,14),-1.57923 # DEPENDENCYPART_ARC
(10,15),-0.334109 # DEPENDENCYPART_ARC
(10,16),-1.90938 # DEPENDENCYPART_ARC
(10,17),-2.74548 # DEPENDENCYPART_ARC
