# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,2,6,7,8,9,10,9,12,13,16,2,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(0,1),2.28982 # DEPENDENCYPART_ARC
(0,2),0.661143 # DEPENDENCYPART_ARC
(0,3),-0.401472 # DEPENDENCYPART_ARC
(0,4),-1.09447 # DEPENDENCYPART_ARC
(0,5),-0.353425 # DEPENDENCYPART_ARC
(0,6),-0.909631 # DEPENDENCYPART_ARC
(0,7),-1.58994 # DEPENDENCYPART_ARC
(0,8),-1.03705 # DEPENDENCYPART_ARC
(0,13),-1.25298 # DEPENDENCYPART_ARC
(0,14),-0.945092 # DEPENDENCYPART_ARC
(0,15),-0.952934 # DEPENDENCYPART_ARC
(0,17),-1.41382 # DEPENDENCYPART_ARC
(0,31),2.37363 # DEPENDENCYPART_ARC
(0,32),0.393655 # DEPENDENCYPART_ARC
(0,36),-1.05423 # DEPENDENCYPART_ARC
(0,41),-1.64085 # DEPENDENCYPART_ARC
(0,47),4.31246 # DEPENDENCYPART_ARC
(1,2),-0.210599 # DEPENDENCYPART_ARC
(1,4),-1.32382 # DEPENDENCYPART_ARC
(1,6),-1.56978 # DEPENDENCYPART_ARC
(2,1),-0.0363024 # DEPENDENCYPART_ARC
(2,3),1.68514 # DEPENDENCYPART_ARC
(2,4),1.43873 # DEPENDENCYPART_ARC
(2,5),0.00114609 # DEPENDENCYPART_ARC
(2,6),0.774093 # DEPENDENCYPART_ARC
(2,7),-2.08544 # DEPENDENCYPART_ARC
(2,8),0.39282 # DEPENDENCYPART_ARC
(2,9),-2.35558 # DEPENDENCYPART_ARC
(2,10),-1.92944 # DEPENDENCYPART_ARC
(2,11),-2.52243 # DEPENDENCYPART_ARC
(2,12),-0.173306 # DEPENDENCYPART_ARC
(2,14),-0.952525 # DEPENDENCYPART_ARC
(2,15),-0.396928 # DEPENDENCYPART_ARC
(2,16),-0.362649 # DEPENDENCYPART_ARC
(2,17),-0.696103 # DEPENDENCYPART_ARC
(2,18),-0.402194 # DEPENDENCYPART_ARC
(2,19),-3.14213 # DEPENDENCYPART_ARC
(2,20),-0.754958 # DEPENDENCYPART_ARC
(2,21),-3.0259 # DEPENDENCYPART_ARC
(2,22),-2.75351 # DEPENDENCYPART_ARC
(2,23),-3.13131 # DEPENDENCYPART_ARC
(2,24),-1.21561 # DEPENDENCYPART_ARC
(2,26),-3.24247 # DEPENDENCYPART_ARC
(2,28),-3.54242 # DEPENDENCYPART_ARC
(2,31),-0.524999 # DEPENDENCYPART_ARC
(2,35),-1.88648 # DEPENDENCYPART_ARC
(3,4),-0.600778 # DEPENDENCYPART_ARC
(3,6),-0.638605 # DEPENDENCYPART_ARC
(3,8),-0.826191 # DEPENDENCYPART_ARC
(4,1),-0.184585 # DEPENDENCYPART_ARC
(4,2),-0.107317 # DEPENDENCYPART_ARC
(4,3),2.5061 # DEPENDENCYPART_ARC
(4,5),0.529855 # DEPENDENCYPART_ARC
(4,6),-0.171572 # DEPENDENCYPART_ARC
