# _root_ خَصَّصَت الحُكُومَةُ المِصْرِيَّةُ 5,2 بِلْيُونِ جُنَيْهٍ ( 585 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ شَرِكَةِ الحَدِيدِ وَ الصُلْبِ وَ 5,1 بِلْيُونٍ ( 153 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ قِطاعِ الغَزْلِ وَ النَسِيجِ فِي الوَقْتِ الَّذِي سَ تَمْتَنِعُ عَن بَيْعِ 115 شَرِكَةً تابِعَةً سابِقاً لِ وِزارَةِ الاِقْتِصادِ قَبْلَ إِلْغائِ ها .
#goldHeads=18,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,32,21,19,18,21,22,23,21,18,26,27,30,28,30,0,32,32,36,32,36,37,38,39,40,41,41,43,44,41,46,47,0,
#predictedHeads=0,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,16,21,19,14,21,22,23,21,1,26,27,30,28,30,31,32,33,36,33,36,37,38,39,40,41,38,43,44,36,46,47,0,
(0,1),1.26787 # DEPENDENCYPART_ARC
(0,2),-0.808465 # DEPENDENCYPART_ARC
(0,3),-0.946448 # DEPENDENCYPART_ARC
(0,4),-0.572656 # DEPENDENCYPART_ARC
(0,7),0.00899415 # DEPENDENCYPART_ARC
(0,8),-0.877053 # DEPENDENCYPART_ARC
(0,11),-0.218953 # DEPENDENCYPART_ARC
(0,13),-1.36793 # DEPENDENCYPART_ARC
(0,16),-0.349163 # DEPENDENCYPART_ARC
(0,18),-0.192495 # DEPENDENCYPART_ARC
(0,19),-1.57129 # DEPENDENCYPART_ARC
(0,21),-0.52483 # DEPENDENCYPART_ARC
(0,22),-1.74432 # DEPENDENCYPART_ARC
(0,25),-0.814602 # DEPENDENCYPART_ARC
(0,27),-1.62792 # DEPENDENCYPART_ARC
(0,35),-1.6726 # DEPENDENCYPART_ARC
(0,36),-1.35693 # DEPENDENCYPART_ARC
(0,37),-0.906724 # DEPENDENCYPART_ARC
(0,38),-1.60142 # DEPENDENCYPART_ARC
(0,40),-0.927544 # DEPENDENCYPART_ARC
(0,49),4.2633 # DEPENDENCYPART_ARC
(1,2),2.26364 # DEPENDENCYPART_ARC
(1,3),-0.461215 # DEPENDENCYPART_ARC
(1,4),0.252144 # DEPENDENCYPART_ARC
(1,5),-0.986005 # DEPENDENCYPART_ARC
(1,6),-1.31076 # DEPENDENCYPART_ARC
(1,7),-0.247774 # DEPENDENCYPART_ARC
(1,8),-0.32885 # DEPENDENCYPART_ARC
(1,9),0.226927 # DEPENDENCYPART_ARC
(1,10),-1.83274 # DEPENDENCYPART_ARC
(1,11),-0.624141 # DEPENDENCYPART_ARC
(1,12),0.403624 # DEPENDENCYPART_ARC
(1,13),-1.96925 # DEPENDENCYPART_ARC
(1,14),-1.95086 # DEPENDENCYPART_ARC
(1,15),-2.05856 # DEPENDENCYPART_ARC
(1,16),-0.0459146 # DEPENDENCYPART_ARC
(1,17),-2.99076 # DEPENDENCYPART_ARC
(1,18),-0.558219 # DEPENDENCYPART_ARC
(1,19),-0.792977 # DEPENDENCYPART_ARC
(1,20),-3.30198 # DEPENDENCYPART_ARC
(1,23),-1.46443 # DEPENDENCYPART_ARC
(1,26),-0.16973 # DEPENDENCYPART_ARC
(1,28),-3.07557 # DEPENDENCYPART_ARC
(1,29),-3.4842 # DEPENDENCYPART_ARC
(1,32),-1.23748 # DEPENDENCYPART_ARC
(1,41),-1.93021 # DEPENDENCYPART_ARC
(1,42),-1.51247 # DEPENDENCYPART_ARC
(1,43),-1.41349 # DEPENDENCYPART_ARC
(1,46),-0.989374 # DEPENDENCYPART_ARC
(2,3),2.05006 # DEPENDENCYPART_ARC
(2,4),-0.485546 # DEPENDENCYPART_ARC
(2,5),-1.25071 # DEPENDENCYPART_ARC
(2,6),-1.74602 # DEPENDENCYPART_ARC
(2,7),-0.78929 # DEPENDENCYPART_ARC
(2,8),-1.20968 # DEPENDENCYPART_ARC
(2,12),-0.673164 # DEPENDENCYPART_ARC
(3,2),-0.925747 # DEPENDENCYPART_ARC
(3,4),0.11625 # DEPENDENCYPART_ARC
(3,5),-0.729533 # DEPENDENCYPART_ARC
(3,6),-0.931589 # DEPENDENCYPART_ARC
(3,7),-0.843183 # DEPENDENCYPART_ARC
(4,2),-0.325999 # DEPENDENCYPART_ARC
