# _root_ belandiako eliza altua da , labore baten erlaizea bailitzan , ( )
#goldHeads=2,4,4,0,4,8,6,9,4,9,0,0,
#predictedHeads=2,4,4,0,4,9,6,9,0,9,0,0,
(0,1),-0.912671 # DEPENDENCYPART_ARC
(0,2),-0.520029 # DEPENDENCYPART_ARC
(0,3),-1.46185 # DEPENDENCYPART_ARC
(0,4),0.189221 # DEPENDENCYPART_ARC
(0,5),-1.03555 # DEPENDENCYPART_ARC
(0,6),-1.60174 # DEPENDENCYPART_ARC
(0,7),-1.74595 # DEPENDENCYPART_ARC
(0,8),-1.82393 # DEPENDENCYPART_ARC
(0,9),-0.531935 # DEPENDENCYPART_ARC
(0,10),-1.05338 # DEPENDENCYPART_ARC
(0,11),5.16898 # DEPENDENCYPART_ARC
(0,12),3.96829 # DEPENDENCYPART_ARC
(1,2),-2.58017 # DEPENDENCYPART_ARC
(1,4),-2.21283 # DEPENDENCYPART_ARC
(1,9),-2.43677 # DEPENDENCYPART_ARC
(2,1),1.9245 # DEPENDENCYPART_ARC
(2,3),0.191483 # DEPENDENCYPART_ARC
(2,4),-1.22585 # DEPENDENCYPART_ARC
(2,5),-1.18743 # DEPENDENCYPART_ARC
(2,6),-1.32372 # DEPENDENCYPART_ARC
(2,7),-2.19433 # DEPENDENCYPART_ARC
(2,8),-2.79654 # DEPENDENCYPART_ARC
(2,9),-1.74336 # DEPENDENCYPART_ARC
(3,1),-0.0581072 # DEPENDENCYPART_ARC
(3,2),-0.213085 # DEPENDENCYPART_ARC
(3,4),-0.739726 # DEPENDENCYPART_ARC
(3,5),-0.0813628 # DEPENDENCYPART_ARC
(3,6),-0.968987 # DEPENDENCYPART_ARC
(3,8),-1.51365 # DEPENDENCYPART_ARC
(4,1),0.166179 # DEPENDENCYPART_ARC
(4,2),2.27036 # DEPENDENCYPART_ARC
(4,3),1.12644 # DEPENDENCYPART_ARC
(4,5),1.48604 # DEPENDENCYPART_ARC
(4,6),-0.545009 # DEPENDENCYPART_ARC
(4,7),-1.33024 # DEPENDENCYPART_ARC
(4,8),-0.0592066 # DEPENDENCYPART_ARC
(4,9),-0.73783 # DEPENDENCYPART_ARC
(5,4),-0.109405 # DEPENDENCYPART_ARC
(5,6),-0.691627 # DEPENDENCYPART_ARC
(5,7),-0.850203 # DEPENDENCYPART_ARC
(5,9),-0.608729 # DEPENDENCYPART_ARC
(6,1),-1.24456 # DEPENDENCYPART_ARC
(6,2),-1.04184 # DEPENDENCYPART_ARC
(6,3),-0.733635 # DEPENDENCYPART_ARC
(6,4),-0.385589 # DEPENDENCYPART_ARC
(6,5),-0.537202 # DEPENDENCYPART_ARC
(6,7),2.21833 # DEPENDENCYPART_ARC
(6,8),-0.201618 # DEPENDENCYPART_ARC
(6,9),-0.783364 # DEPENDENCYPART_ARC
(7,6),-0.384224 # DEPENDENCYPART_ARC
(7,8),0.514467 # DEPENDENCYPART_ARC
(7,9),-1.32575 # DEPENDENCYPART_ARC
(8,1),-0.0673802 # DEPENDENCYPART_ARC
(8,2),-1.65961 # DEPENDENCYPART_ARC
(8,3),-1.54729 # DEPENDENCYPART_ARC
(8,4),-1.9358 # DEPENDENCYPART_ARC
(8,5),-1.16441 # DEPENDENCYPART_ARC
(8,6),0.477057 # DEPENDENCYPART_ARC
(8,7),1.06902 # DEPENDENCYPART_ARC
(8,9),-0.566723 # DEPENDENCYPART_ARC
(8,10),-0.711386 # DEPENDENCYPART_ARC
(9,1),-1.82549 # DEPENDENCYPART_ARC
(9,2),-0.0629557 # DEPENDENCYPART_ARC
(9,3),-1.18842 # DEPENDENCYPART_ARC
(9,4),-0.795752 # DEPENDENCYPART_ARC
(9,5),-0.895863 # DEPENDENCYPART_ARC
(9,6),0.547272 # DEPENDENCYPART_ARC
(9,7),-0.45463 # DEPENDENCYPART_ARC
(9,8),1.64423 # DEPENDENCYPART_ARC
(9,10),1.35683 # DEPENDENCYPART_ARC
(10,4),-1.02821 # DEPENDENCYPART_ARC
(10,8),-0.94994 # DEPENDENCYPART_ARC
(10,9),-0.150034 # DEPENDENCYPART_ARC
(10,11),0.961394 # DEPENDENCYPART_ARC
(11,2),-1.38611 # DEPENDENCYPART_ARC
(11,6),-1.49306 # DEPENDENCYPART_ARC
(11,8),-1.16485 # DEPENDENCYPART_ARC
(11,12),0.117431 # DEPENDENCYPART_ARC
(12,2),-1.24542 # DEPENDENCYPART_ARC
(12,6),-1.43799 # DEPENDENCYPART_ARC
(12,8),-1.35572 # DEPENDENCYPART_ARC
