# _root_ frantziako langabeziaren jaitsierak erakusten du europaren motorra , dieselen_antzera , pixkanaka berotzen ari_dela .
#goldHeads=2,3,4,0,4,7,13,7,13,9,13,13,4,13,
#predictedHeads=2,3,4,0,4,7,4,7,4,9,12,13,4,13,
(0,1),-0.945466 # DEPENDENCYPART_ARC
(0,2),-1.12009 # DEPENDENCYPART_ARC
(0,3),-1.43763 # DEPENDENCYPART_ARC
(0,4),0.228285 # DEPENDENCYPART_ARC
(0,5),-1.11145 # DEPENDENCYPART_ARC
(0,6),-2.08738 # DEPENDENCYPART_ARC
(0,7),-1.21939 # DEPENDENCYPART_ARC
(0,8),-1.3727 # DEPENDENCYPART_ARC
(0,9),-2.07582 # DEPENDENCYPART_ARC
(0,10),-1.52595 # DEPENDENCYPART_ARC
(0,11),-1.34025 # DEPENDENCYPART_ARC
(0,12),-1.4095 # DEPENDENCYPART_ARC
(0,13),-1.59909 # DEPENDENCYPART_ARC
(0,14),-2.61942 # DEPENDENCYPART_ARC
(1,2),-0.303402 # DEPENDENCYPART_ARC
(1,3),-1.31835 # DEPENDENCYPART_ARC
(1,6),-3.12068 # DEPENDENCYPART_ARC
(2,1),2.52583 # DEPENDENCYPART_ARC
(2,3),0.645115 # DEPENDENCYPART_ARC
(2,4),-1.69805 # DEPENDENCYPART_ARC
(2,5),-1.98037 # DEPENDENCYPART_ARC
(2,6),-1.45671 # DEPENDENCYPART_ARC
(2,7),-1.55262 # DEPENDENCYPART_ARC
(2,13),-2.68082 # DEPENDENCYPART_ARC
(3,1),1.21139 # DEPENDENCYPART_ARC
(3,2),1.92754 # DEPENDENCYPART_ARC
(3,4),-0.884619 # DEPENDENCYPART_ARC
(3,5),-1.2809 # DEPENDENCYPART_ARC
(3,6),-2.43693 # DEPENDENCYPART_ARC
(3,7),-2.07044 # DEPENDENCYPART_ARC
(3,12),-1.89908 # DEPENDENCYPART_ARC
(3,13),-2.66978 # DEPENDENCYPART_ARC
(4,1),-0.476392 # DEPENDENCYPART_ARC
(4,2),-0.12604 # DEPENDENCYPART_ARC
(4,3),2.04482 # DEPENDENCYPART_ARC
(4,5),1.95143 # DEPENDENCYPART_ARC
(4,6),-0.2472 # DEPENDENCYPART_ARC
(4,7),0.916576 # DEPENDENCYPART_ARC
(4,8),-0.48058 # DEPENDENCYPART_ARC
(4,9),0.579258 # DEPENDENCYPART_ARC
(4,10),-0.442232 # DEPENDENCYPART_ARC
(4,11),-1.00885 # DEPENDENCYPART_ARC
(4,12),-0.0180484 # DEPENDENCYPART_ARC
(4,13),0.679591 # DEPENDENCYPART_ARC
(5,2),-1.20461 # DEPENDENCYPART_ARC
(5,3),-1.30265 # DEPENDENCYPART_ARC
(5,4),-1.56047 # DEPENDENCYPART_ARC
(5,6),-1.91414 # DEPENDENCYPART_ARC
(5,7),-1.86904 # DEPENDENCYPART_ARC
(5,9),-2.25576 # DEPENDENCYPART_ARC
(5,11),-1.01055 # DEPENDENCYPART_ARC
(6,2),-2.09417 # DEPENDENCYPART_ARC
(6,3),-4.58111 # DEPENDENCYPART_ARC
(6,4),-0.940549 # DEPENDENCYPART_ARC
(6,7),0.529404 # DEPENDENCYPART_ARC
(6,9),-1.60532 # DEPENDENCYPART_ARC
(7,1),-0.306212 # DEPENDENCYPART_ARC
(7,2),-0.478343 # DEPENDENCYPART_ARC
(7,3),-2.96298 # DEPENDENCYPART_ARC
(7,4),-0.266986 # DEPENDENCYPART_ARC
(7,5),-2.3733 # DEPENDENCYPART_ARC
(7,6),1.77909 # DEPENDENCYPART_ARC
(7,8),1.25898 # DEPENDENCYPART_ARC
(7,9),-1.86275 # DEPENDENCYPART_ARC
(7,10),-0.373084 # DEPENDENCYPART_ARC
(7,11),-1.44005 # DEPENDENCYPART_ARC
(7,12),-1.39287 # DEPENDENCYPART_ARC
(7,13),-2.06994 # DEPENDENCYPART_ARC
(7,14),-1.05411 # DEPENDENCYPART_ARC
(8,4),-0.624262 # DEPENDENCYPART_ARC
(8,5),-0.809803 # DEPENDENCYPART_ARC
(8,9),-0.311606 # DEPENDENCYPART_ARC
(8,12),-0.890641 # DEPENDENCYPART_ARC
(8,13),-0.824789 # DEPENDENCYPART_ARC
(9,1),-1.49505 # DEPENDENCYPART_ARC
(9,2),-1.54481 # DEPENDENCYPART_ARC
(9,3),-4.16397 # DEPENDENCYPART_ARC
(9,4),-1.08089 # DEPENDENCYPART_ARC
(9,6),-1.16309 # DEPENDENCYPART_ARC
(9,7),-2.16639 # DEPENDENCYPART_ARC
(9,8),-0.111746 # DEPENDENCYPART_ARC
(9,10),1.40129 # DEPENDENCYPART_ARC
