# _root_ aznar rodriguez_zapaterorekin eta nicolas_redondo pse-eeko idazkariarekin bildu zen , ez ordea ibarretxerekin , lehendakaritzak adierazitakoaren arabera .
#goldHeads=7,3,7,6,6,3,10,7,8,0,0,11,12,15,11,15,16,
#predictedHeads=7,3,7,3,6,7,0,7,8,7,0,7,12,15,7,15,16,
(0,1),-0.138399 # DEPENDENCYPART_ARC
(0,2),-1.27449 # DEPENDENCYPART_ARC
(0,3),-0.833207 # DEPENDENCYPART_ARC
(0,4),-1.09046 # DEPENDENCYPART_ARC
(0,5),-1.14878 # DEPENDENCYPART_ARC
(0,6),-1.37891 # DEPENDENCYPART_ARC
(0,7),-0.137205 # DEPENDENCYPART_ARC
(0,8),-1.563 # DEPENDENCYPART_ARC
(0,9),-1.27501 # DEPENDENCYPART_ARC
(0,10),-2.00149 # DEPENDENCYPART_ARC
(0,11),0.525681 # DEPENDENCYPART_ARC
(0,12),-1.96454 # DEPENDENCYPART_ARC
(0,13),-1.3983 # DEPENDENCYPART_ARC
(0,14),-1.39712 # DEPENDENCYPART_ARC
(0,15),-1.80764 # DEPENDENCYPART_ARC
(0,16),-1.5783 # DEPENDENCYPART_ARC
(0,17),-2.69681 # DEPENDENCYPART_ARC
(1,2),-1.07256 # DEPENDENCYPART_ARC
(1,6),-1.27614 # DEPENDENCYPART_ARC
(2,1),-1.31636 # DEPENDENCYPART_ARC
(2,4),-2.24513 # DEPENDENCYPART_ARC
(2,6),-1.67374 # DEPENDENCYPART_ARC
(2,7),-3.31814 # DEPENDENCYPART_ARC
(3,1),-0.179004 # DEPENDENCYPART_ARC
(3,2),1.50666 # DEPENDENCYPART_ARC
(3,4),2.16733 # DEPENDENCYPART_ARC
(3,5),0.27246 # DEPENDENCYPART_ARC
(3,6),0.573794 # DEPENDENCYPART_ARC
(3,7),-0.415515 # DEPENDENCYPART_ARC
(3,9),-0.65775 # DEPENDENCYPART_ARC
(3,14),-0.15846 # DEPENDENCYPART_ARC
(3,15),-2.20839 # DEPENDENCYPART_ARC
(4,5),-0.635985 # DEPENDENCYPART_ARC
(4,6),-0.132567 # DEPENDENCYPART_ARC
(4,7),-2.57218 # DEPENDENCYPART_ARC
(5,4),-0.303663 # DEPENDENCYPART_ARC
(5,6),-0.12887 # DEPENDENCYPART_ARC
(5,7),-3.64493 # DEPENDENCYPART_ARC
(6,1),-1.93884 # DEPENDENCYPART_ARC
(6,2),-1.97602 # DEPENDENCYPART_ARC
(6,3),0.151441 # DEPENDENCYPART_ARC
(6,4),0.554485 # DEPENDENCYPART_ARC
(6,5),2.11328 # DEPENDENCYPART_ARC
(6,7),-1.37162 # DEPENDENCYPART_ARC
(6,8),-1.10136 # DEPENDENCYPART_ARC
(6,9),-0.938002 # DEPENDENCYPART_ARC
(6,11),-0.658975 # DEPENDENCYPART_ARC
(6,12),-1.30456 # DEPENDENCYPART_ARC
(6,17),-1.06864 # DEPENDENCYPART_ARC
(7,1),0.39733 # DEPENDENCYPART_ARC
(7,2),-0.344431 # DEPENDENCYPART_ARC
(7,3),0.315064 # DEPENDENCYPART_ARC
(7,4),0.333297 # DEPENDENCYPART_ARC
(7,5),-0.192145 # DEPENDENCYPART_ARC
(7,6),1.86819 # DEPENDENCYPART_ARC
(7,8),1.54593 # DEPENDENCYPART_ARC
(7,9),-0.41817 # DEPENDENCYPART_ARC
(7,10),-0.32249 # DEPENDENCYPART_ARC
(7,11),-0.208552 # DEPENDENCYPART_ARC
(7,12),0.00558005 # DEPENDENCYPART_ARC
(7,13),-0.890128 # DEPENDENCYPART_ARC
(7,14),-0.485754 # DEPENDENCYPART_ARC
(7,15),-0.603195 # DEPENDENCYPART_ARC
(7,16),-0.82129 # DEPENDENCYPART_ARC
(8,1),-1.94935 # DEPENDENCYPART_ARC
(8,2),-1.81273 # DEPENDENCYPART_ARC
(8,3),-1.60867 # DEPENDENCYPART_ARC
(8,4),-1.50071 # DEPENDENCYPART_ARC
(8,5),-1.19324 # DEPENDENCYPART_ARC
(8,6),-0.889207 # DEPENDENCYPART_ARC
(8,9),1.42214 # DEPENDENCYPART_ARC
(8,10),-0.715603 # DEPENDENCYPART_ARC
(9,1),-0.281952 # DEPENDENCYPART_ARC
(9,2),-0.29118 # DEPENDENCYPART_ARC
(9,3),-0.274348 # DEPENDENCYPART_ARC
(9,4),-0.397491 # DEPENDENCYPART_ARC
(9,7),-0.275554 # DEPENDENCYPART_ARC
(9,8),-0.113466 # DEPENDENCYPART_ARC
(9,14),-0.696698 # DEPENDENCYPART_ARC
(10,6),-1.4687 # DEPENDENCYPART_ARC
(10,9),-0.408078 # DEPENDENCYPART_ARC
(10,12),-0.469048 # DEPENDENCYPART_ARC
(10,14),-0.527866 # DEPENDENCYPART_ARC
(11,7),-0.40698 # DEPENDENCYPART_ARC
(11,14),-0.580316 # DEPENDENCYPART_ARC
(12,13),1.37057 # DEPENDENCYPART_ARC
(12,14),-0.431078 # DEPENDENCYPART_ARC
(13,2),-0.692847 # DEPENDENCYPART_ARC
(13,4),-0.748076 # DEPENDENCYPART_ARC
(13,8),-1.11052 # DEPENDENCYPART_ARC
(13,12),-0.248485 # DEPENDENCYPART_ARC
