# _root_ enpresek , aldiz , bai .
#goldHeads=0,3,0,3,1,5,
#predictedHeads=2,3,0,3,0,5,
(0,1),-1.3092 # DEPENDENCYPART_ARC
(0,2),-1.39108 # DEPENDENCYPART_ARC
(0,3),1.58914 # DEPENDENCYPART_ARC
(0,4),-1.44594 # DEPENDENCYPART_ARC
(0,5),-0.901504 # DEPENDENCYPART_ARC
(0,6),-1.03817 # DEPENDENCYPART_ARC
(1,2),-0.535991 # DEPENDENCYPART_ARC
(1,3),-1.00133 # DEPENDENCYPART_ARC
(1,4),-1.35032 # DEPENDENCYPART_ARC
(1,6),-1.44228 # DEPENDENCYPART_ARC
(2,1),-1.13272 # DEPENDENCYPART_ARC
(3,2),0.126754 # DEPENDENCYPART_ARC
(3,4),1.34671 # DEPENDENCYPART_ARC
(5,1),-1.394 # DEPENDENCYPART_ARC
(5,4),-0.518449 # DEPENDENCYPART_ARC
(5,6),1.59146 # DEPENDENCYPART_ARC
