# _root_ hasieran hitz bat izan zen : " agur " ; orain , keinu hotz bat ... eta bihar , auskalo ... .
#goldHeads=4,4,2,17,4,5,6,2,8,9,17,11,17,13,13,15,0,17,18,17,20,21,
#predictedHeads=4,4,2,0,4,5,6,4,8,9,14,11,17,13,13,15,0,17,18,19,20,21,
(0,1),-0.498787 # DEPENDENCYPART_ARC
(0,2),-1.10285 # DEPENDENCYPART_ARC
(0,3),-1.64144 # DEPENDENCYPART_ARC
(0,4),0.000492454 # DEPENDENCYPART_ARC
(0,5),-1.23216 # DEPENDENCYPART_ARC
(0,6),-0.780105 # DEPENDENCYPART_ARC
(0,7),-1.07134 # DEPENDENCYPART_ARC
(0,8),-1.18121 # DEPENDENCYPART_ARC
(0,9),-1.52516 # DEPENDENCYPART_ARC
(0,10),-0.257536 # DEPENDENCYPART_ARC
(0,11),-1.17954 # DEPENDENCYPART_ARC
(0,12),-1.34585 # DEPENDENCYPART_ARC
(0,13),-1.32077 # DEPENDENCYPART_ARC
(0,14),-1.19154 # DEPENDENCYPART_ARC
(0,15),-1.24066 # DEPENDENCYPART_ARC
(0,17),0.814793 # DEPENDENCYPART_ARC
(0,18),-0.729224 # DEPENDENCYPART_ARC
(0,19),-1.57172 # DEPENDENCYPART_ARC
(0,20),-1.26459 # DEPENDENCYPART_ARC
(0,22),-2.00943 # DEPENDENCYPART_ARC
(1,2),-0.648825 # DEPENDENCYPART_ARC
(1,3),-1.72067 # DEPENDENCYPART_ARC
(1,4),-3.43093 # DEPENDENCYPART_ARC
(1,5),-2.99679 # DEPENDENCYPART_ARC
(1,15),-2.86627 # DEPENDENCYPART_ARC
(2,1),0.498068 # DEPENDENCYPART_ARC
(2,3),2.4951 # DEPENDENCYPART_ARC
(2,4),-1.25683 # DEPENDENCYPART_ARC
(2,5),-1.31303 # DEPENDENCYPART_ARC
(2,13),-0.993981 # DEPENDENCYPART_ARC
(2,15),-0.0230213 # DEPENDENCYPART_ARC
(2,17),-0.671121 # DEPENDENCYPART_ARC
(3,1),-0.459959 # DEPENDENCYPART_ARC
(3,2),-0.552086 # DEPENDENCYPART_ARC
(4,1),1.86326 # DEPENDENCYPART_ARC
(4,2),1.33901 # DEPENDENCYPART_ARC
(4,3),0.298859 # DEPENDENCYPART_ARC
(4,5),1.4485 # DEPENDENCYPART_ARC
(4,8),-0.404826 # DEPENDENCYPART_ARC
(4,11),-0.728138 # DEPENDENCYPART_ARC
(4,12),-1.64152 # DEPENDENCYPART_ARC
(4,13),-2.30656 # DEPENDENCYPART_ARC
(4,14),-1.20375 # DEPENDENCYPART_ARC
(4,17),-1.86885 # DEPENDENCYPART_ARC
(5,1),-1.21895 # DEPENDENCYPART_ARC
(5,2),-0.416768 # DEPENDENCYPART_ARC
(5,3),-0.44641 # DEPENDENCYPART_ARC
(5,4),-1.06242 # DEPENDENCYPART_ARC
(5,6),1.6406 # DEPENDENCYPART_ARC
(5,11),-0.797535 # DEPENDENCYPART_ARC
(5,17),-1.38514 # DEPENDENCYPART_ARC
(6,4),-0.0310817 # DEPENDENCYPART_ARC
(6,5),0.14149 # DEPENDENCYPART_ARC
(6,7),1.52053 # DEPENDENCYPART_ARC
(7,1),-1.18383 # DEPENDENCYPART_ARC
(7,2),-1.23522 # DEPENDENCYPART_ARC
(8,9),1.03785 # DEPENDENCYPART_ARC
(9,1),-1.34554 # DEPENDENCYPART_ARC
(9,2),-1.37126 # DEPENDENCYPART_ARC
(9,10),0.802183 # DEPENDENCYPART_ARC
(10,4),-0.863709 # DEPENDENCYPART_ARC
(10,13),-0.810304 # DEPENDENCYPART_ARC
(11,12),1.61438 # DEPENDENCYPART_ARC
(11,13),-0.635428 # DEPENDENCYPART_ARC
(11,17),-0.517673 # DEPENDENCYPART_ARC
(11,18),-0.746184 # DEPENDENCYPART_ARC
(12,13),-1.40309 # DEPENDENCYPART_ARC
(12,14),-1.20973 # DEPENDENCYPART_ARC
(13,1),-2.20922 # DEPENDENCYPART_ARC
(13,2),-2.3762 # DEPENDENCYPART_ARC
(13,4),-2.47948 # DEPENDENCYPART_ARC
(13,11),-1.00214 # DEPENDENCYPART_ARC
(13,12),-0.211698 # DEPENDENCYPART_ARC
(13,14),1.98359 # DEPENDENCYPART_ARC
(13,15),1.5608 # DEPENDENCYPART_ARC
(13,17),-0.501769 # DEPENDENCYPART_ARC
(13,18),-0.762086 # DEPENDENCYPART_ARC
(13,22),-0.653156 # DEPENDENCYPART_ARC
(14,11),-0.537842 # DEPENDENCYPART_ARC
(14,13),0.0197312 # DEPENDENCYPART_ARC
(14,15),0.124535 # DEPENDENCYPART_ARC
(14,17),-0.74583 # DEPENDENCYPART_ARC
(15,11),-0.794676 # DEPENDENCYPART_ARC
(15,13),-0.974978 # DEPENDENCYPART_ARC
(15,16),1.42961 # DEPENDENCYPART_ARC
(17,1),-1.81614 # DEPENDENCYPART_ARC
(17,2),-1.07052 # DEPENDENCYPART_ARC
(17,4),-0.664708 # DEPENDENCYPART_ARC
(17,11),-0.93055 # DEPENDENCYPART_ARC
(17,12),-1.50324 # DEPENDENCYPART_ARC
(17,13),-0.380491 # DEPENDENCYPART_ARC
(17,14),0.137296 # DEPENDENCYPART_ARC
(17,15),-0.677226 # DEPENDENCYPART_ARC
(17,16),-0.196812 # DEPENDENCYPART_ARC
(17,18),-0.571591 # DEPENDENCYPART_ARC
(17,19),-0.492834 # DEPENDENCYPART_ARC
(18,13),-1.99428 # DEPENDENCYPART_ARC
(18,17),-0.958375 # DEPENDENCYPART_ARC
(18,19),1.0055 # DEPENDENCYPART_ARC
(19,17),-0.780338 # DEPENDENCYPART_ARC
(19,20),-0.44556 # DEPENDENCYPART_ARC
(20,21),1.06254 # DEPENDENCYPART_ARC
(21,22),1.23971 # DEPENDENCYPART_ARC
