# _root_ orduan alexander potzu izoztuaren erdialdera joan zen , besoak zabalduta , otsoaren ihesa gordeaz adiunez .
#goldHeads=6,6,5,3,6,0,6,7,10,11,6,13,14,11,14,15,
#predictedHeads=6,3,4,6,6,0,6,7,10,6,10,13,14,6,14,15,
(0,1),-0.741263 # DEPENDENCYPART_ARC
(0,2),-0.867753 # DEPENDENCYPART_ARC
(0,3),-1.31838 # DEPENDENCYPART_ARC
(0,4),-1.72717 # DEPENDENCYPART_ARC
(0,5),-1.33088 # DEPENDENCYPART_ARC
(0,6),-0.661564 # DEPENDENCYPART_ARC
(0,7),-1.50378 # DEPENDENCYPART_ARC
(0,8),-1.56474 # DEPENDENCYPART_ARC
(0,9),-1.51202 # DEPENDENCYPART_ARC
(0,10),-1.59067 # DEPENDENCYPART_ARC
(0,11),-1.51839 # DEPENDENCYPART_ARC
(0,12),-1.55162 # DEPENDENCYPART_ARC
(0,13),-2.04432 # DEPENDENCYPART_ARC
(0,14),-2.37983 # DEPENDENCYPART_ARC
(0,15),-1.90785 # DEPENDENCYPART_ARC
(0,16),-3.47862 # DEPENDENCYPART_ARC
(1,2),-0.579888 # DEPENDENCYPART_ARC
(1,3),-1.48222 # DEPENDENCYPART_ARC
(1,5),-1.60443 # DEPENDENCYPART_ARC
(2,3),0.562987 # DEPENDENCYPART_ARC
(2,4),-1.46841 # DEPENDENCYPART_ARC
(2,5),-1.65667 # DEPENDENCYPART_ARC
(3,1),-0.700394 # DEPENDENCYPART_ARC
(3,2),1.21952 # DEPENDENCYPART_ARC
(3,4),0.883047 # DEPENDENCYPART_ARC
(3,5),-0.0683471 # DEPENDENCYPART_ARC
(3,7),-0.916393 # DEPENDENCYPART_ARC
(4,1),0.449205 # DEPENDENCYPART_ARC
(4,2),-0.0215197 # DEPENDENCYPART_ARC
(4,3),1.77357 # DEPENDENCYPART_ARC
(4,5),0.792399 # DEPENDENCYPART_ARC
(4,6),-1.79845 # DEPENDENCYPART_ARC
(4,7),-1.58488 # DEPENDENCYPART_ARC
(4,8),-1.26685 # DEPENDENCYPART_ARC
(4,9),-1.60407 # DEPENDENCYPART_ARC
(4,10),-1.11154 # DEPENDENCYPART_ARC
(4,11),-0.976119 # DEPENDENCYPART_ARC
(4,12),-3.11901 # DEPENDENCYPART_ARC
(4,13),-2.17227 # DEPENDENCYPART_ARC
(4,14),-1.78266 # DEPENDENCYPART_ARC
(4,15),-1.56801 # DEPENDENCYPART_ARC
(5,1),-1.09691 # DEPENDENCYPART_ARC
(5,2),-3.21579 # DEPENDENCYPART_ARC
(5,3),0.147446 # DEPENDENCYPART_ARC
(5,4),0.355833 # DEPENDENCYPART_ARC
(5,6),-1.65668 # DEPENDENCYPART_ARC
(5,7),-1.40866 # DEPENDENCYPART_ARC
(5,8),-0.818117 # DEPENDENCYPART_ARC
(5,9),-1.86081 # DEPENDENCYPART_ARC
(5,10),-1.44286 # DEPENDENCYPART_ARC
(5,13),-2.41773 # DEPENDENCYPART_ARC
(5,14),-1.70874 # DEPENDENCYPART_ARC
(5,15),-1.78016 # DEPENDENCYPART_ARC
(5,16),-0.75321 # DEPENDENCYPART_ARC
(6,1),1.28678 # DEPENDENCYPART_ARC
(6,2),0.400724 # DEPENDENCYPART_ARC
(6,3),0.0761939 # DEPENDENCYPART_ARC
(6,4),0.375643 # DEPENDENCYPART_ARC
(6,5),2.02076 # DEPENDENCYPART_ARC
(6,7),1.43 # DEPENDENCYPART_ARC
(6,8),-0.597029 # DEPENDENCYPART_ARC
(6,9),-0.911357 # DEPENDENCYPART_ARC
(6,10),0.345301 # DEPENDENCYPART_ARC
(6,11),-0.810371 # DEPENDENCYPART_ARC
(6,12),-1.90849 # DEPENDENCYPART_ARC
(6,13),-1.36898 # DEPENDENCYPART_ARC
(6,14),0.16804 # DEPENDENCYPART_ARC
(6,15),-1.14411 # DEPENDENCYPART_ARC
(7,2),-1.91916 # DEPENDENCYPART_ARC
(7,3),-1.03531 # DEPENDENCYPART_ARC
(7,4),-2.33342 # DEPENDENCYPART_ARC
(7,5),-1.17774 # DEPENDENCYPART_ARC
(7,8),1.5543 # DEPENDENCYPART_ARC
(7,9),-1.20939 # DEPENDENCYPART_ARC
(7,12),-0.984536 # DEPENDENCYPART_ARC
(8,2),-0.381513 # DEPENDENCYPART_ARC
(8,4),-0.500586 # DEPENDENCYPART_ARC
(8,6),-0.242088 # DEPENDENCYPART_ARC
(8,7),-0.0552652 # DEPENDENCYPART_ARC
(8,9),-0.50943 # DEPENDENCYPART_ARC
(8,10),-0.511792 # DEPENDENCYPART_ARC
(8,14),-0.789011 # DEPENDENCYPART_ARC
(8,15),-1.06746 # DEPENDENCYPART_ARC
(9,1),-1.25912 # DEPENDENCYPART_ARC
(9,3),-1.34285 # DEPENDENCYPART_ARC
(9,4),-0.762803 # DEPENDENCYPART_ARC
(9,5),-2.1408 # DEPENDENCYPART_ARC
(9,6),-0.605467 # DEPENDENCYPART_ARC
(9,7),-1.30007 # DEPENDENCYPART_ARC
(9,8),-0.164615 # DEPENDENCYPART_ARC
(9,10),-0.380449 # DEPENDENCYPART_ARC
(9,11),-0.709277 # DEPENDENCYPART_ARC
(9,12),-1.81684 # DEPENDENCYPART_ARC
(9,13),-1.88273 # DEPENDENCYPART_ARC
(9,14),-1.40182 # DEPENDENCYPART_ARC
(9,15),-1.84581 # DEPENDENCYPART_ARC
(9,16),-1.01048 # DEPENDENCYPART_ARC
(10,1),-0.328249 # DEPENDENCYPART_ARC
(10,2),-1.7328 # DEPENDENCYPART_ARC
(10,3),-1.02318 # DEPENDENCYPART_ARC
(10,4),-1.52757 # DEPENDENCYPART_ARC
(10,5),-0.800881 # DEPENDENCYPART_ARC
(10,6),-0.709517 # DEPENDENCYPART_ARC
(10,7),-0.631279 # DEPENDENCYPART_ARC
(10,8),-1.12218 # DEPENDENCYPART_ARC
(10,9),1.89604 # DEPENDENCYPART_ARC
(10,11),1.29193 # DEPENDENCYPART_ARC
(10,12),-1.10324 # DEPENDENCYPART_ARC
(10,13),-0.591601 # DEPENDENCYPART_ARC
(10,14),-0.272301 # DEPENDENCYPART_ARC
(10,15),-0.7137 # DEPENDENCYPART_ARC
(11,6),-0.978033 # DEPENDENCYPART_ARC
(11,7),-1.16387 # DEPENDENCYPART_ARC
(11,9),-0.661921 # DEPENDENCYPART_ARC
(11,10),-0.207343 # DEPENDENCYPART_ARC
(11,12),-0.603843 # DEPENDENCYPART_ARC
(11,13),-1.19784 # DEPENDENCYPART_ARC
(11,14),-0.633105 # DEPENDENCYPART_ARC
(11,15),-1.12089 # DEPENDENCYPART_ARC
(12,8),-1.77995 # DEPENDENCYPART_ARC
(12,10),-1.04861 # DEPENDENCYPART_ARC
(12,11),-0.571228 # DEPENDENCYPART_ARC
(12,13),0.057165 # DEPENDENCYPART_ARC
(12,16),-0.713691 # DEPENDENCYPART_ARC
(13,1),-1.32319 # DEPENDENCYPART_ARC
(13,6),-1.21712 # DEPENDENCYPART_ARC
(13,8),-1.84682 # DEPENDENCYPART_ARC
(13,9),-1.93975 # DEPENDENCYPART_ARC
(13,10),-0.952204 # DEPENDENCYPART_ARC
(13,11),-1.18485 # DEPENDENCYPART_ARC
(13,12),1.75411 # DEPENDENCYPART_ARC
(13,14),-0.261129 # DEPENDENCYPART_ARC
(13,15),-0.979023 # DEPENDENCYPART_ARC
(13,16),-0.796012 # DEPENDENCYPART_ARC
