# _root_ garai hartako tituloak horrelakoak ziren , luzeak , liburu hori normalean izen laburragoz ezagutzen da : robinson crusoe .
#goldHeads=3,1,5,5,8,5,4,0,14,9,14,14,12,8,14,15,12,17,18,
#predictedHeads=14,1,5,5,0,5,5,7,14,9,14,14,12,0,14,15,12,17,18,
(0,1),-0.890442 # DEPENDENCYPART_ARC
(0,2),-1.74615 # DEPENDENCYPART_ARC
(0,3),-1.00303 # DEPENDENCYPART_ARC
(0,4),-2.00709 # DEPENDENCYPART_ARC
(0,5),-0.115981 # DEPENDENCYPART_ARC
(0,6),-0.850317 # DEPENDENCYPART_ARC
(0,7),-1.74815 # DEPENDENCYPART_ARC
(0,8),-0.753652 # DEPENDENCYPART_ARC
(0,10),-2.03122 # DEPENDENCYPART_ARC
(0,11),-0.71713 # DEPENDENCYPART_ARC
(0,12),-2.22793 # DEPENDENCYPART_ARC
(0,13),-1.75779 # DEPENDENCYPART_ARC
(0,14),-0.655518 # DEPENDENCYPART_ARC
(0,15),-1.32686 # DEPENDENCYPART_ARC
(0,16),-0.663379 # DEPENDENCYPART_ARC
(0,17),-2.27435 # DEPENDENCYPART_ARC
(0,18),-2.57351 # DEPENDENCYPART_ARC
(0,19),-2.24814 # DEPENDENCYPART_ARC
(1,2),2.00922 # DEPENDENCYPART_ARC
(1,3),-0.550902 # DEPENDENCYPART_ARC
(1,4),-0.7655 # DEPENDENCYPART_ARC
(1,5),-1.85638 # DEPENDENCYPART_ARC
(1,7),-1.29438 # DEPENDENCYPART_ARC
(2,3),-1.65112 # DEPENDENCYPART_ARC
(2,9),-1.75239 # DEPENDENCYPART_ARC
(2,14),-1.86049 # DEPENDENCYPART_ARC
(3,1),0.820183 # DEPENDENCYPART_ARC
(3,2),0.107264 # DEPENDENCYPART_ARC
(3,4),-0.519619 # DEPENDENCYPART_ARC
(3,5),-1.8068 # DEPENDENCYPART_ARC
(3,6),-0.988649 # DEPENDENCYPART_ARC
(3,7),-2.51692 # DEPENDENCYPART_ARC
(3,9),-1.86144 # DEPENDENCYPART_ARC
(3,12),-1.60314 # DEPENDENCYPART_ARC
(3,14),-2.30802 # DEPENDENCYPART_ARC
(4,1),-1.14491 # DEPENDENCYPART_ARC
(4,3),-0.835967 # DEPENDENCYPART_ARC
(4,5),-0.646838 # DEPENDENCYPART_ARC
(4,6),-0.321693 # DEPENDENCYPART_ARC
(4,7),-0.50021 # DEPENDENCYPART_ARC
(4,14),-2.03854 # DEPENDENCYPART_ARC
(5,1),0.874632 # DEPENDENCYPART_ARC
