# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,0,24,9,24,25,26,
(0,1),-0.787999 # DEPENDENCYPART_ARC
(0,2),-0.889865 # DEPENDENCYPART_ARC
(0,3),-1.47372 # DEPENDENCYPART_ARC
(0,4),-1.13965 # DEPENDENCYPART_ARC
(0,5),-1.01751 # DEPENDENCYPART_ARC
(0,7),-0.907092 # DEPENDENCYPART_ARC
(0,8),-1.01606 # DEPENDENCYPART_ARC
(0,9),-0.241269 # DEPENDENCYPART_ARC
(0,10),-1.0836 # DEPENDENCYPART_ARC
(0,11),-1.02717 # DEPENDENCYPART_ARC
(0,13),-2.11539 # DEPENDENCYPART_ARC
(0,14),-1.53428 # DEPENDENCYPART_ARC
(0,16),-2.00811 # DEPENDENCYPART_ARC
(0,17),-1.38452 # DEPENDENCYPART_ARC
(0,18),-3.0937 # DEPENDENCYPART_ARC
(0,19),-2.2041 # DEPENDENCYPART_ARC
(0,21),-1.49142 # DEPENDENCYPART_ARC
(0,23),-2.25218 # DEPENDENCYPART_ARC
(0,24),-2.58529 # DEPENDENCYPART_ARC
(0,25),-2.22332 # DEPENDENCYPART_ARC
(0,26),-4.89312 # DEPENDENCYPART_ARC
(0,27),-3.39875 # DEPENDENCYPART_ARC
(1,3),0.273576 # DEPENDENCYPART_ARC
(2,1),2.01651 # DEPENDENCYPART_ARC
(2,3),1.84243 # DEPENDENCYPART_ARC
(2,4),-0.345579 # DEPENDENCYPART_ARC
(2,5),-0.0332395 # DEPENDENCYPART_ARC
(2,6),-0.375978 # DEPENDENCYPART_ARC
(2,9),-1.22084 # DEPENDENCYPART_ARC
(2,11),-1.00417 # DEPENDENCYPART_ARC
(2,13),-1.45863 # DEPENDENCYPART_ARC
(2,14),-1.18631 # DEPENDENCYPART_ARC
(2,15),-1.23896 # DEPENDENCYPART_ARC
(2,20),-1.56577 # DEPENDENCYPART_ARC
(2,24),-2.36541 # DEPENDENCYPART_ARC
(3,4),2.0483 # DEPENDENCYPART_ARC
(3,5),-1.22132 # DEPENDENCYPART_ARC
(3,6),-1.55532 # DEPENDENCYPART_ARC
(4,1),-1.06912 # DEPENDENCYPART_ARC
(4,2),-0.957132 # DEPENDENCYPART_ARC
(4,3),-0.458231 # DEPENDENCYPART_ARC
(4,7),-0.917856 # DEPENDENCYPART_ARC
(4,9),-1.0855 # DEPENDENCYPART_ARC
(5,3),-1.74893 # DEPENDENCYPART_ARC
(5,4),-0.383912 # DEPENDENCYPART_ARC
(5,6),-1.28545 # DEPENDENCYPART_ARC
(6,1),-0.720582 # DEPENDENCYPART_ARC
(6,2),-0.675601 # DEPENDENCYPART_ARC
(6,3),-1.31479 # DEPENDENCYPART_ARC
(6,4),-1.03211 # DEPENDENCYPART_ARC
(6,5),0.625688 # DEPENDENCYPART_ARC
(6,7),1.86509 # DEPENDENCYPART_ARC
(6,8),-0.120978 # DEPENDENCYPART_ARC
(6,9),-1.00512 # DEPENDENCYPART_ARC
(6,10),-1.24784 # DEPENDENCYPART_ARC
(6,11),-0.494881 # DEPENDENCYPART_ARC
(6,12),-0.698359 # DEPENDENCYPART_ARC
(6,13),-1.14204 # DEPENDENCYPART_ARC
(6,14),-0.84522 # DEPENDENCYPART_ARC
(6,15),-1.17338 # DEPENDENCYPART_ARC
(6,16),-0.564438 # DEPENDENCYPART_ARC
(7,5),0.325435 # DEPENDENCYPART_ARC
(7,6),0.101877 # DEPENDENCYPART_ARC
(7,8),0.759801 # DEPENDENCYPART_ARC
(7,9),-0.935964 # DEPENDENCYPART_ARC
(8,6),-0.719461 # DEPENDENCYPART_ARC
(8,9),-0.268472 # DEPENDENCYPART_ARC
(8,11),-0.678425 # DEPENDENCYPART_ARC
(8,13),-0.725472 # DEPENDENCYPART_ARC
(8,14),-0.604482 # DEPENDENCYPART_ARC
(8,21),-0.868444 # DEPENDENCYPART_ARC
(9,1),-0.482909 # DEPENDENCYPART_ARC
(9,2),-0.517638 # DEPENDENCYPART_ARC
(9,3),-0.0748373 # DEPENDENCYPART_ARC
(9,4),-1.62761 # DEPENDENCYPART_ARC
(9,5),1.01395 # DEPENDENCYPART_ARC
(9,6),0.693611 # DEPENDENCYPART_ARC
(9,7),0.127 # DEPENDENCYPART_ARC
(9,8),0.239728 # DEPENDENCYPART_ARC
(9,10),1.61907 # DEPENDENCYPART_ARC
(9,11),1.37534 # DEPENDENCYPART_ARC
(9,12),-0.801389 # DEPENDENCYPART_ARC
(9,13),0.241147 # DEPENDENCYPART_ARC
(9,14),0.0622326 # DEPENDENCYPART_ARC
(9,15),-0.57179 # DEPENDENCYPART_ARC
(9,17),-0.292073 # DEPENDENCYPART_ARC
(9,19),-2.31718 # DEPENDENCYPART_ARC
(9,20),-0.320771 # DEPENDENCYPART_ARC
(9,21),-1.26378 # DEPENDENCYPART_ARC
(9,23),-0.263205 # DEPENDENCYPART_ARC
(9,24),-0.971362 # DEPENDENCYPART_ARC
(10,1),-1.63458 # DEPENDENCYPART_ARC
(10,2),-1.26861 # DEPENDENCYPART_ARC
(10,3),-2.25728 # DEPENDENCYPART_ARC
(10,8),-1.01045 # DEPENDENCYPART_ARC
(10,11),-0.959881 # DEPENDENCYPART_ARC
(11,2),-1.42577 # DEPENDENCYPART_ARC
(11,4),-2.0802 # DEPENDENCYPART_ARC
(11,5),-2.1767 # DEPENDENCYPART_ARC
(11,6),-1.08143 # DEPENDENCYPART_ARC
(11,7),-2.38975 # DEPENDENCYPART_ARC
(11,8),-1.29318 # DEPENDENCYPART_ARC
(11,9),0.122378 # DEPENDENCYPART_ARC
(11,10),-1.80812 # DEPENDENCYPART_ARC
(11,12),-0.292283 # DEPENDENCYPART_ARC
(11,13),-1.31112 # DEPENDENCYPART_ARC
(11,14),-1.29441 # DEPENDENCYPART_ARC
(11,15),-1.8372 # DEPENDENCYPART_ARC
(11,16),-2.23858 # DEPENDENCYPART_ARC
(11,19),-2.61452 # DEPENDENCYPART_ARC
(11,23),-2.15117 # DEPENDENCYPART_ARC
(13,2),-1.49395 # DEPENDENCYPART_ARC
(13,5),-2.18217 # DEPENDENCYPART_ARC
(13,6),-0.80974 # DEPENDENCYPART_ARC
(13,7),-2.27922 # DEPENDENCYPART_ARC
(13,8),-1.3734 # DEPENDENCYPART_ARC
(13,9),-1.10651 # DEPENDENCYPART_ARC
(13,11),-0.635564 # DEPENDENCYPART_ARC
(13,12),0.696687 # DEPENDENCYPART_ARC
(13,14),0.628598 # DEPENDENCYPART_ARC
(13,15),-0.576461 # DEPENDENCYPART_ARC
(13,16),-0.429578 # DEPENDENCYPART_ARC
(13,19),-1.13048 # DEPENDENCYPART_ARC
(13,23),-1.99148 # DEPENDENCYPART_ARC
(14,1),-0.486817 # DEPENDENCYPART_ARC
(14,2),-0.981365 # DEPENDENCYPART_ARC
