# _root_ jean_francois_lefort_koordinaketako kidearekin_batera eskainitako prentsaurrekoan , abuztuko polizi operazioak " porrot hutsa " izan direla esan zuen , eta " poliziaren azpijokoak porrot " egin duela .
#goldHeads=2,3,4,15,4,8,8,13,8,24,10,11,18,13,0,15,16,15,18,21,24,24,22,18,24,25,
#predictedHeads=2,3,4,13,4,7,8,13,8,13,10,11,15,13,18,15,16,0,18,21,24,24,22,18,24,25,
(0,1),-0.668842 # DEPENDENCYPART_ARC
(0,2),-1.18817 # DEPENDENCYPART_ARC
(0,3),-1.09955 # DEPENDENCYPART_ARC
(0,4),-1.74989 # DEPENDENCYPART_ARC
(0,5),-1.25811 # DEPENDENCYPART_ARC
(0,9),-2.55178 # DEPENDENCYPART_ARC
(0,12),-2.74275 # DEPENDENCYPART_ARC
(0,13),-0.0525918 # DEPENDENCYPART_ARC
(0,14),-1.8114 # DEPENDENCYPART_ARC
(0,15),0.915112 # DEPENDENCYPART_ARC
(0,16),-1.42185 # DEPENDENCYPART_ARC
(0,17),-1.3394 # DEPENDENCYPART_ARC
(0,18),0.382581 # DEPENDENCYPART_ARC
(0,19),-3.60954 # DEPENDENCYPART_ARC
(0,23),-4.95455 # DEPENDENCYPART_ARC
(0,24),-1.51971 # DEPENDENCYPART_ARC
(0,25),-3.05835 # DEPENDENCYPART_ARC
(0,26),-3.9285 # DEPENDENCYPART_ARC
(1,2),-0.878807 # DEPENDENCYPART_ARC
(2,1),2.49603 # DEPENDENCYPART_ARC
(2,5),-0.594413 # DEPENDENCYPART_ARC
(3,1),1.22324 # DEPENDENCYPART_ARC
(3,2),2.48321 # DEPENDENCYPART_ARC
(3,4),0.319374 # DEPENDENCYPART_ARC
(3,5),-0.813483 # DEPENDENCYPART_ARC
(3,6),-2.41955 # DEPENDENCYPART_ARC
(3,7),-1.30983 # DEPENDENCYPART_ARC
(3,8),-2.49029 # DEPENDENCYPART_ARC
(3,11),-2.81446 # DEPENDENCYPART_ARC
(3,13),-1.83374 # DEPENDENCYPART_ARC
(3,14),-0.596497 # DEPENDENCYPART_ARC
(3,16),-2.16673 # DEPENDENCYPART_ARC
(4,1),0.681823 # DEPENDENCYPART_ARC
