# _root_ has nadin holako batzu , ez denak , aipatzen .
#goldHeads=0,1,4,5,9,9,5,7,1,9,
#predictedHeads=0,1,4,1,4,9,9,7,1,9,
(0,1),0.129169 # DEPENDENCYPART_ARC
(0,2),-0.462571 # DEPENDENCYPART_ARC
(0,3),-1.18261 # DEPENDENCYPART_ARC
(0,4),-1.73785 # DEPENDENCYPART_ARC
(0,5),-0.666764 # DEPENDENCYPART_ARC
(0,6),-0.748476 # DEPENDENCYPART_ARC
(0,7),-2.02039 # DEPENDENCYPART_ARC
(0,8),-0.430183 # DEPENDENCYPART_ARC
(0,9),-0.546922 # DEPENDENCYPART_ARC
(0,10),-1.00148 # DEPENDENCYPART_ARC
(1,2),1.8118 # DEPENDENCYPART_ARC
(1,3),-0.91718 # DEPENDENCYPART_ARC
(1,4),-0.851788 # DEPENDENCYPART_ARC
(1,5),-1.14411 # DEPENDENCYPART_ARC
(1,6),-0.733381 # DEPENDENCYPART_ARC
(1,8),-1.20214 # DEPENDENCYPART_ARC
(1,9),-0.469631 # DEPENDENCYPART_ARC
(2,1),-0.544193 # DEPENDENCYPART_ARC
(2,3),-0.780542 # DEPENDENCYPART_ARC
(2,9),-1.27835 # DEPENDENCYPART_ARC
(3,1),0.0169327 # DEPENDENCYPART_ARC
(3,4),-0.87984 # DEPENDENCYPART_ARC
(3,5),-0.469075 # DEPENDENCYPART_ARC
(3,9),-1.53178 # DEPENDENCYPART_ARC
(4,3),0.392079 # DEPENDENCYPART_ARC
(4,5),1.36669 # DEPENDENCYPART_ARC
(4,9),-0.615244 # DEPENDENCYPART_ARC
(5,1),-0.566248 # DEPENDENCYPART_ARC
(5,2),-0.636487 # DEPENDENCYPART_ARC
(5,9),-0.860178 # DEPENDENCYPART_ARC
(6,5),-0.408798 # DEPENDENCYPART_ARC
(6,9),-1.04542 # DEPENDENCYPART_ARC
(7,8),1.20818 # DEPENDENCYPART_ARC
(8,9),-0.302386 # DEPENDENCYPART_ARC
(9,1),-0.763153 # DEPENDENCYPART_ARC
(9,2),-1.18912 # DEPENDENCYPART_ARC
(9,3),-0.90236 # DEPENDENCYPART_ARC
(9,4),-1.08376 # DEPENDENCYPART_ARC
(9,5),-0.896612 # DEPENDENCYPART_ARC
(9,6),-0.572452 # DEPENDENCYPART_ARC
(9,7),-0.478627 # DEPENDENCYPART_ARC
(9,8),-0.278743 # DEPENDENCYPART_ARC
(9,10),1.52069 # DEPENDENCYPART_ARC
(10,9),-0.501023 # DEPENDENCYPART_ARC
