# _root_ preso gasteiztarrak , gainera , bere garaian esan zuen azken egunetan egarri greba hasteko asmoa duela .
#goldHeads=8,1,2,0,4,7,8,0,8,11,8,13,14,16,16,8,16,
#predictedHeads=8,1,2,0,4,7,8,0,8,11,14,13,14,15,16,8,16,
(0,1),-0.940366 # DEPENDENCYPART_ARC
(0,2),-2.19273 # DEPENDENCYPART_ARC
(0,3),-1.02594 # DEPENDENCYPART_ARC
(0,4),1.38162 # DEPENDENCYPART_ARC
(0,5),-1.13358 # DEPENDENCYPART_ARC
(0,7),-1.64703 # DEPENDENCYPART_ARC
(0,8),0.5602 # DEPENDENCYPART_ARC
(0,9),-1.4318 # DEPENDENCYPART_ARC
(0,11),-2.04466 # DEPENDENCYPART_ARC
(0,12),-1.75088 # DEPENDENCYPART_ARC
(0,13),-2.23721 # DEPENDENCYPART_ARC
(0,14),-1.85174 # DEPENDENCYPART_ARC
(0,15),-1.6375 # DEPENDENCYPART_ARC
(0,16),-2.65737 # DEPENDENCYPART_ARC
(0,17),-2.58444 # DEPENDENCYPART_ARC
(1,2),1.60601 # DEPENDENCYPART_ARC
(1,3),-0.816297 # DEPENDENCYPART_ARC
(1,4),-0.998283 # DEPENDENCYPART_ARC
(1,6),-0.683255 # DEPENDENCYPART_ARC
(2,1),-0.0788075 # DEPENDENCYPART_ARC
(2,3),1.06856 # DEPENDENCYPART_ARC
(2,5),-0.484665 # DEPENDENCYPART_ARC
(2,7),-3.50445 # DEPENDENCYPART_ARC
(2,11),-3.6346 # DEPENDENCYPART_ARC
(2,12),-2.23692 # DEPENDENCYPART_ARC
(2,13),-2.4916 # DEPENDENCYPART_ARC
(2,14),-1.51956 # DEPENDENCYPART_ARC
(2,15),-2.9859 # DEPENDENCYPART_ARC
(3,1),-0.845514 # DEPENDENCYPART_ARC
(3,2),-0.0598913 # DEPENDENCYPART_ARC
(4,3),-0.719741 # DEPENDENCYPART_ARC
(4,5),0.56285 # DEPENDENCYPART_ARC
(4,7),-1.17286 # DEPENDENCYPART_ARC
(4,8),-0.87539 # DEPENDENCYPART_ARC
(4,14),-2.08579 # DEPENDENCYPART_ARC
(5,7),-1.20475 # DEPENDENCYPART_ARC
(5,8),-1.05127 # DEPENDENCYPART_ARC
(5,14),-1.99591 # DEPENDENCYPART_ARC
(5,15),-1.57629 # DEPENDENCYPART_ARC
(6,5),-0.223798 # DEPENDENCYPART_ARC
(7,1),-0.879377 # DEPENDENCYPART_ARC
(7,2),-2.42344 # DEPENDENCYPART_ARC
(7,3),-1.3496 # DEPENDENCYPART_ARC
(7,5),-0.896943 # DEPENDENCYPART_ARC
(7,6),1.49452 # DEPENDENCYPART_ARC
(7,8),-2.10596 # DEPENDENCYPART_ARC
(7,9),-1.98171 # DEPENDENCYPART_ARC
(7,11),-2.47858 # DEPENDENCYPART_ARC
(7,12),-1.85349 # DEPENDENCYPART_ARC
(7,13),-2.73976 # DEPENDENCYPART_ARC
(7,14),-2.37315 # DEPENDENCYPART_ARC
(7,16),-2.02358 # DEPENDENCYPART_ARC
(7,17),-1.60292 # DEPENDENCYPART_ARC
(8,1),-0.778923 # DEPENDENCYPART_ARC
