# _root_ galtza beltzak jantzi , alkandora zuria lotu eta txaleko gorria sartu nuen sorbaldetan_behera , ( )
#goldHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
#predictedHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
(0,1),-0.759819 # DEPENDENCYPART_ARC
(0,2),-1.55503 # DEPENDENCYPART_ARC
(0,3),-0.45918 # DEPENDENCYPART_ARC
(0,4),-0.815431 # DEPENDENCYPART_ARC
(0,5),-1.39346 # DEPENDENCYPART_ARC
(0,6),-1.66124 # DEPENDENCYPART_ARC
(0,7),-0.79428 # DEPENDENCYPART_ARC
(0,8),-0.208289 # DEPENDENCYPART_ARC
(0,9),-1.99531 # DEPENDENCYPART_ARC
(0,10),-1.72713 # DEPENDENCYPART_ARC
(0,11),0.173248 # DEPENDENCYPART_ARC
(0,12),-1.2032 # DEPENDENCYPART_ARC
(0,14),-0.739147 # DEPENDENCYPART_ARC
(0,15),6.30045 # DEPENDENCYPART_ARC
(0,16),4.49561 # DEPENDENCYPART_ARC
(1,2),1.98579 # DEPENDENCYPART_ARC
(1,3),-0.679445 # DEPENDENCYPART_ARC
(1,4),-1.63117 # DEPENDENCYPART_ARC
(1,5),-0.856369 # DEPENDENCYPART_ARC
(1,6),0.178615 # DEPENDENCYPART_ARC
(1,8),-0.868468 # DEPENDENCYPART_ARC
(2,1),-0.00951982 # DEPENDENCYPART_ARC
(2,3),-0.817587 # DEPENDENCYPART_ARC
(2,4),-0.457396 # DEPENDENCYPART_ARC
(2,6),-1.40673 # DEPENDENCYPART_ARC
(2,8),-1.12754 # DEPENDENCYPART_ARC
(3,1),1.40906 # DEPENDENCYPART_ARC
(3,2),0.51615 # DEPENDENCYPART_ARC
(3,4),1.49521 # DEPENDENCYPART_ARC
(3,5),-0.354893 # DEPENDENCYPART_ARC
(3,6),-0.739246 # DEPENDENCYPART_ARC
(3,7),0.0468764 # DEPENDENCYPART_ARC
(3,8),-0.400932 # DEPENDENCYPART_ARC
(3,9),-1.27901 # DEPENDENCYPART_ARC
(3,10),-1.23814 # DEPENDENCYPART_ARC
(3,11),-0.449074 # DEPENDENCYPART_ARC
(3,12),-0.532401 # DEPENDENCYPART_ARC
(3,13),-0.436666 # DEPENDENCYPART_ARC
(4,3),-0.146341 # DEPENDENCYPART_ARC
(4,5),-0.935479 # DEPENDENCYPART_ARC
(4,6),-0.62867 # DEPENDENCYPART_ARC
(4,7),-0.63253 # DEPENDENCYPART_ARC
(4,11),-0.90387 # DEPENDENCYPART_ARC
(5,1),-0.792565 # DEPENDENCYPART_ARC
(5,2),-1.77614 # DEPENDENCYPART_ARC
(5,3),-0.0906978 # DEPENDENCYPART_ARC
(5,4),-0.372447 # DEPENDENCYPART_ARC
(5,6),2.41561 # DEPENDENCYPART_ARC
(5,7),-0.390211 # DEPENDENCYPART_ARC
(5,8),-0.551788 # DEPENDENCYPART_ARC
