# _root_ " ez dizkiegu gauzak errazak jarriko andaluzian " , esan zuen torresek , eta polizia lanean ari_dela gehitu zuen .
#goldHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
#predictedHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
(0,1),0.916731 # DEPENDENCYPART_ARC
(0,2),-0.887694 # DEPENDENCYPART_ARC
(0,3),-0.61692 # DEPENDENCYPART_ARC
(0,4),-0.92769 # DEPENDENCYPART_ARC
(0,5),-1.72305 # DEPENDENCYPART_ARC
(0,6),-0.654958 # DEPENDENCYPART_ARC
(0,7),-2.06141 # DEPENDENCYPART_ARC
(0,8),-1.06829 # DEPENDENCYPART_ARC
(0,9),-0.694301 # DEPENDENCYPART_ARC
(0,10),1.44737 # DEPENDENCYPART_ARC
(0,11),-0.569848 # DEPENDENCYPART_ARC
(0,12),-2.1711 # DEPENDENCYPART_ARC
(0,13),-0.927675 # DEPENDENCYPART_ARC
(0,14),0.322055 # DEPENDENCYPART_ARC
(0,15),-0.571858 # DEPENDENCYPART_ARC
(0,16),-1.73333 # DEPENDENCYPART_ARC
(0,17),-1.34456 # DEPENDENCYPART_ARC
(0,18),-0.0405893 # DEPENDENCYPART_ARC
(0,19),-1.04239 # DEPENDENCYPART_ARC
(0,20),-2.43296 # DEPENDENCYPART_ARC
(1,2),-1.76642 # DEPENDENCYPART_ARC
(1,3),-1.96537 # DEPENDENCYPART_ARC
(2,4),-1.03548 # DEPENDENCYPART_ARC
(2,6),-1.06802 # DEPENDENCYPART_ARC
(3,2),-0.566828 # DEPENDENCYPART_ARC
(3,4),-1.33707 # DEPENDENCYPART_ARC
(3,5),-1.80987 # DEPENDENCYPART_ARC
(3,7),-0.958901 # DEPENDENCYPART_ARC
(3,11),-1.59411 # DEPENDENCYPART_ARC
(4,2),-0.149608 # DEPENDENCYPART_ARC
(4,3),-1.4711 # DEPENDENCYPART_ARC
(4,5),-0.00850828 # DEPENDENCYPART_ARC
(4,6),-1.87157 # DEPENDENCYPART_ARC
(4,7),-2.74157 # DEPENDENCYPART_ARC
(4,11),-1.68845 # DEPENDENCYPART_ARC
(4,14),-1.66934 # DEPENDENCYPART_ARC
(4,15),-2.34686 # DEPENDENCYPART_ARC
(4,16),-2.06401 # DEPENDENCYPART_ARC
(4,17),-2.86683 # DEPENDENCYPART_ARC
(4,18),-3.08743 # DEPENDENCYPART_ARC
(5,4),-0.457926 # DEPENDENCYPART_ARC
(5,6),-1.2345 # DEPENDENCYPART_ARC
