# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,6,2,6,6,7,0,7,8,11,12,16,15,13,16,7,16,17,
(0,1),0.120118 # DEPENDENCYPART_ARC
(0,2),-0.836806 # DEPENDENCYPART_ARC
(0,3),-1.04933 # DEPENDENCYPART_ARC
(0,4),-0.459389 # DEPENDENCYPART_ARC
(0,5),-1.86663 # DEPENDENCYPART_ARC
(0,6),-1.03911 # DEPENDENCYPART_ARC
(0,7),-0.0305109 # DEPENDENCYPART_ARC
(0,8),-0.763163 # DEPENDENCYPART_ARC
(0,9),-0.695859 # DEPENDENCYPART_ARC
(0,11),-1.40992 # DEPENDENCYPART_ARC
(0,12),-1.86255 # DEPENDENCYPART_ARC
(0,13),-2.06531 # DEPENDENCYPART_ARC
(0,15),-1.30981 # DEPENDENCYPART_ARC
(0,16),-1.49301 # DEPENDENCYPART_ARC
(0,17),-1.01415 # DEPENDENCYPART_ARC
(0,18),-2.63438 # DEPENDENCYPART_ARC
(1,2),-0.511674 # DEPENDENCYPART_ARC
(1,3),-1.29913 # DEPENDENCYPART_ARC
(1,4),-1.59981 # DEPENDENCYPART_ARC
(2,1),1.52972 # DEPENDENCYPART_ARC
(2,3),1.11259 # DEPENDENCYPART_ARC
(2,4),-0.161037 # DEPENDENCYPART_ARC
(2,5),-2.02425 # DEPENDENCYPART_ARC
(2,6),-0.641795 # DEPENDENCYPART_ARC
(2,7),-1.44235 # DEPENDENCYPART_ARC
(2,8),-0.905275 # DEPENDENCYPART_ARC
(2,11),-1.42112 # DEPENDENCYPART_ARC
(2,12),-1.42189 # DEPENDENCYPART_ARC
(2,15),-2.85595 # DEPENDENCYPART_ARC
(2,16),-2.59781 # DEPENDENCYPART_ARC
(3,2),0.162468 # DEPENDENCYPART_ARC
(3,5),-0.496656 # DEPENDENCYPART_ARC
(3,6),-0.481234 # DEPENDENCYPART_ARC
(3,7),-0.467667 # DEPENDENCYPART_ARC
(3,16),-1.54779 # DEPENDENCYPART_ARC
(4,3),-0.660505 # DEPENDENCYPART_ARC
(4,5),0.732014 # DEPENDENCYPART_ARC
(4,6),-0.840305 # DEPENDENCYPART_ARC
(4,11),-2.02689 # DEPENDENCYPART_ARC
(5,1),-0.741267 # DEPENDENCYPART_ARC
(5,4),-0.189359 # DEPENDENCYPART_ARC
(5,6),-1.23772 # DEPENDENCYPART_ARC
(5,16),-2.69617 # DEPENDENCYPART_ARC
(6,1),-0.208205 # DEPENDENCYPART_ARC
(6,2),1.13961 # DEPENDENCYPART_ARC
(6,3),-0.736789 # DEPENDENCYPART_ARC
(6,4),0.434873 # DEPENDENCYPART_ARC
