# _root_ - abuztuaren 9an , berriozarren espainiako ejerzitoaren_aurka armaz burututako ekintza , zeinaren ondorioz francisco_casanova vicente tenienteordea hilik gertatu zen .
#goldHeads=0,3,9,3,9,7,9,9,10,0,10,13,18,16,14,18,18,10,18,19,
#predictedHeads=0,3,18,3,9,7,9,9,10,18,10,13,18,16,16,18,18,0,18,19,
(0,1),0.902596 # DEPENDENCYPART_ARC
(0,2),-0.751333 # DEPENDENCYPART_ARC
(0,3),-1.10565 # DEPENDENCYPART_ARC
(0,4),-1.01774 # DEPENDENCYPART_ARC
(0,5),-1.02568 # DEPENDENCYPART_ARC
(0,6),-1.22298 # DEPENDENCYPART_ARC
(0,7),-0.87709 # DEPENDENCYPART_ARC
(0,8),-1.06285 # DEPENDENCYPART_ARC
(0,9),-1.4335 # DEPENDENCYPART_ARC
(0,10),-1.05905 # DEPENDENCYPART_ARC
(0,11),-1.22818 # DEPENDENCYPART_ARC
(0,12),-2.12257 # DEPENDENCYPART_ARC
(0,13),-0.674279 # DEPENDENCYPART_ARC
(0,14),-1.5052 # DEPENDENCYPART_ARC
(0,15),-1.39284 # DEPENDENCYPART_ARC
(0,16),-1.73002 # DEPENDENCYPART_ARC
(0,17),-2.0124 # DEPENDENCYPART_ARC
(0,18),-1.81483 # DEPENDENCYPART_ARC
(0,19),-2.21274 # DEPENDENCYPART_ARC
(0,20),-3.48888 # DEPENDENCYPART_ARC
(1,2),-1.8711 # DEPENDENCYPART_ARC
(1,9),-1.95778 # DEPENDENCYPART_ARC
(2,1),-0.698669 # DEPENDENCYPART_ARC
(2,3),1.56217 # DEPENDENCYPART_ARC
(2,4),-0.00206319 # DEPENDENCYPART_ARC
(2,5),-0.88526 # DEPENDENCYPART_ARC
(2,6),-0.228811 # DEPENDENCYPART_ARC
(2,7),-0.916642 # DEPENDENCYPART_ARC
(2,8),-0.658756 # DEPENDENCYPART_ARC
(2,9),-1.24007 # DEPENDENCYPART_ARC
(2,10),-1.25355 # DEPENDENCYPART_ARC
(2,18),-1.88958 # DEPENDENCYPART_ARC
(3,2),0.911271 # DEPENDENCYPART_ARC
(3,4),1.62648 # DEPENDENCYPART_ARC
(3,7),-2.54172 # DEPENDENCYPART_ARC
(4,8),-0.79497 # DEPENDENCYPART_ARC
(4,9),-1.21741 # DEPENDENCYPART_ARC
(4,18),-2.37772 # DEPENDENCYPART_ARC
(5,2),-2.32014 # DEPENDENCYPART_ARC
(5,4),-0.617156 # DEPENDENCYPART_ARC
(5,6),0.0120201 # DEPENDENCYPART_ARC
(5,7),-1.56245 # DEPENDENCYPART_ARC
(5,8),-1.73021 # DEPENDENCYPART_ARC
(6,2),-2.27878 # DEPENDENCYPART_ARC
(6,4),-1.74777 # DEPENDENCYPART_ARC
(6,5),-3.90474 # DEPENDENCYPART_ARC
(6,7),-0.850471 # DEPENDENCYPART_ARC
(6,8),-1.4569 # DEPENDENCYPART_ARC
(7,2),-0.719503 # DEPENDENCYPART_ARC
(7,4),-1.78126 # DEPENDENCYPART_ARC
(7,5),-1.88782 # DEPENDENCYPART_ARC
(7,6),2.09853 # DEPENDENCYPART_ARC
(7,8),-0.210631 # DEPENDENCYPART_ARC
(7,14),-2.14337 # DEPENDENCYPART_ARC
(8,2),-1.36053 # DEPENDENCYPART_ARC
(8,4),-1.85752 # DEPENDENCYPART_ARC
(8,5),-2.28681 # DEPENDENCYPART_ARC
(8,6),0.302091 # DEPENDENCYPART_ARC
(8,7),0.979319 # DEPENDENCYPART_ARC
(8,9),-0.0963671 # DEPENDENCYPART_ARC
(8,10),-0.768152 # DEPENDENCYPART_ARC
(8,11),-0.64395 # DEPENDENCYPART_ARC
(8,12),-2.08634 # DEPENDENCYPART_ARC
(8,14),-2.07651 # DEPENDENCYPART_ARC
(8,18),-2.32026 # DEPENDENCYPART_ARC
(9,2),-1.11999 # DEPENDENCYPART_ARC
(9,3),-0.47166 # DEPENDENCYPART_ARC
(9,4),-2.05354 # DEPENDENCYPART_ARC
(9,5),0.875658 # DEPENDENCYPART_ARC
(9,6),-0.509569 # DEPENDENCYPART_ARC
(9,7),1.33811 # DEPENDENCYPART_ARC
(9,8),1.836 # DEPENDENCYPART_ARC
(9,10),-0.673173 # DEPENDENCYPART_ARC
(9,11),-0.675536 # DEPENDENCYPART_ARC
(9,13),-1.82587 # DEPENDENCYPART_ARC
(9,14),-3.83019 # DEPENDENCYPART_ARC
(9,15),-1.76325 # DEPENDENCYPART_ARC
(9,16),-2.05191 # DEPENDENCYPART_ARC
(9,17),-2.21338 # DEPENDENCYPART_ARC
(9,18),-1.775 # DEPENDENCYPART_ARC
(9,19),-1.85142 # DEPENDENCYPART_ARC
(10,2),-0.78138 # DEPENDENCYPART_ARC
(10,4),-1.30246 # DEPENDENCYPART_ARC
(10,5),-2.54477 # DEPENDENCYPART_ARC
(10,6),-0.0552953 # DEPENDENCYPART_ARC
(10,7),-1.4159 # DEPENDENCYPART_ARC
(10,8),-1.26039 # DEPENDENCYPART_ARC
(10,9),2.38763 # DEPENDENCYPART_ARC
(10,11),1.19829 # DEPENDENCYPART_ARC
(10,12),-1.3586 # DEPENDENCYPART_ARC
(10,13),-1.59701 # DEPENDENCYPART_ARC
(10,14),-2.29078 # DEPENDENCYPART_ARC
(10,15),-0.605689 # DEPENDENCYPART_ARC
(10,16),-2.23687 # DEPENDENCYPART_ARC
(10,17),-0.879372 # DEPENDENCYPART_ARC
(10,18),-1.888 # DEPENDENCYPART_ARC
(10,20),-0.606359 # DEPENDENCYPART_ARC
(11,9),-0.288059 # DEPENDENCYPART_ARC
(11,10),0.0725914 # DEPENDENCYPART_ARC
(11,13),-0.476244 # DEPENDENCYPART_ARC
(11,16),-0.465949 # DEPENDENCYPART_ARC
(11,18),-1.45517 # DEPENDENCYPART_ARC
(12,11),-0.432998 # DEPENDENCYPART_ARC
(12,13),1.17975 # DEPENDENCYPART_ARC
(13,5),-2.97877 # DEPENDENCYPART_ARC
(13,6),-0.978437 # DEPENDENCYPART_ARC
(13,7),-1.45123 # DEPENDENCYPART_ARC
(13,8),-2.54843 # DEPENDENCYPART_ARC
(13,9),-0.62736 # DEPENDENCYPART_ARC
(13,10),-2.36943 # DEPENDENCYPART_ARC
(13,11),-1.321 # DEPENDENCYPART_ARC
(13,12),1.10791 # DEPENDENCYPART_ARC
(13,14),-1.13253 # DEPENDENCYPART_ARC
(13,15),-0.591824 # DEPENDENCYPART_ARC
(13,16),-2.02105 # DEPENDENCYPART_ARC
(13,17),-1.51403 # DEPENDENCYPART_ARC
(13,19),-2.2666 # DEPENDENCYPART_ARC
(14,10),-4.63835 # DEPENDENCYPART_ARC
(14,11),-1.71056 # DEPENDENCYPART_ARC
(14,13),-2.96697 # DEPENDENCYPART_ARC
(14,15),0.961985 # DEPENDENCYPART_ARC
(14,16),-1.51005 # DEPENDENCYPART_ARC
(15,10),-2.98784 # DEPENDENCYPART_ARC
(15,13),-1.37838 # DEPENDENCYPART_ARC
(15,14),-0.882275 # DEPENDENCYPART_ARC
(15,16),1.16164 # DEPENDENCYPART_ARC
(16,5),-2.6512 # DEPENDENCYPART_ARC
(16,6),-0.902971 # DEPENDENCYPART_ARC
(16,9),-0.4838 # DEPENDENCYPART_ARC
(16,10),-2.41945 # DEPENDENCYPART_ARC
(16,11),-2.0429 # DEPENDENCYPART_ARC
(16,12),-1.47558 # DEPENDENCYPART_ARC
(16,13),-1.80377 # DEPENDENCYPART_ARC
(16,14),0.660894 # DEPENDENCYPART_ARC
(16,15),1.03605 # DEPENDENCYPART_ARC
(16,17),-0.302421 # DEPENDENCYPART_ARC
(16,19),-2.09679 # DEPENDENCYPART_ARC
(16,20),-1.41064 # DEPENDENCYPART_ARC
(17,13),-0.948493 # DEPENDENCYPART_ARC
(17,16),-0.108833 # DEPENDENCYPART_ARC
(17,18),-0.621935 # DEPENDENCYPART_ARC
(18,2),-1.197 # DEPENDENCYPART_ARC
(18,3),-0.0252704 # DEPENDENCYPART_ARC
(18,4),-2.1581 # DEPENDENCYPART_ARC
(18,5),0.521509 # DEPENDENCYPART_ARC
(18,6),-1.5231 # DEPENDENCYPART_ARC
(18,7),0.245347 # DEPENDENCYPART_ARC
(18,8),-0.046433 # DEPENDENCYPART_ARC
(18,9),-0.849282 # DEPENDENCYPART_ARC
(18,10),0.276614 # DEPENDENCYPART_ARC
(18,11),-1.4847 # DEPENDENCYPART_ARC
(18,12),-0.931364 # DEPENDENCYPART_ARC
(18,13),1.32299 # DEPENDENCYPART_ARC
(18,14),-0.307035 # DEPENDENCYPART_ARC
(18,15),0.577938 # DEPENDENCYPART_ARC
(18,16),1.99826 # DEPENDENCYPART_ARC
(18,17),1.3428 # DEPENDENCYPART_ARC
(18,19),1.36839 # DEPENDENCYPART_ARC
(18,20),-0.279625 # DEPENDENCYPART_ARC
(19,15),-1.08416 # DEPENDENCYPART_ARC
(19,16),-0.894447 # DEPENDENCYPART_ARC
(19,17),-1.03378 # DEPENDENCYPART_ARC
(19,18),-1.50421 # DEPENDENCYPART_ARC
(19,20),1.73138 # DEPENDENCYPART_ARC
(20,18),-0.847352 # DEPENDENCYPART_ARC
