# _root_ burutzean , amoranteak , apalki eta elkarri begiratu gabe berezirik joango dira garbilekura .
#goldHeads=11,3,11,3,11,0,8,11,8,11,6,11,11,13,
#predictedHeads=3,1,6,3,6,0,8,11,8,11,6,11,11,13,
(0,1),-0.501411 # DEPENDENCYPART_ARC
(0,2),-0.753554 # DEPENDENCYPART_ARC
(0,3),-0.385135 # DEPENDENCYPART_ARC
(0,4),-0.852457 # DEPENDENCYPART_ARC
(0,5),-1.10951 # DEPENDENCYPART_ARC
(0,6),-0.36606 # DEPENDENCYPART_ARC
(0,8),-0.627269 # DEPENDENCYPART_ARC
(0,9),-0.700022 # DEPENDENCYPART_ARC
(0,10),-1.21 # DEPENDENCYPART_ARC
(0,11),-0.323134 # DEPENDENCYPART_ARC
(0,12),-0.329439 # DEPENDENCYPART_ARC
(0,13),-1.59436 # DEPENDENCYPART_ARC
(0,14),-1.51549 # DEPENDENCYPART_ARC
(1,2),0.497696 # DEPENDENCYPART_ARC
(1,3),-0.866202 # DEPENDENCYPART_ARC
(1,4),-0.979799 # DEPENDENCYPART_ARC
(1,5),-1.30604 # DEPENDENCYPART_ARC
(1,6),-1.21126 # DEPENDENCYPART_ARC
(1,8),-1.3932 # DEPENDENCYPART_ARC
(1,9),-1.46782 # DEPENDENCYPART_ARC
(1,10),-1.11511 # DEPENDENCYPART_ARC
(1,11),-1.82682 # DEPENDENCYPART_ARC
(1,12),-1.72847 # DEPENDENCYPART_ARC
(1,13),-1.69642 # DEPENDENCYPART_ARC
(2,1),-0.0161516 # DEPENDENCYPART_ARC
(2,3),-0.624183 # DEPENDENCYPART_ARC
(2,6),-0.761553 # DEPENDENCYPART_ARC
(2,8),-1.03303 # DEPENDENCYPART_ARC
(2,11),-1.21818 # DEPENDENCYPART_ARC
(3,1),0.0153968 # DEPENDENCYPART_ARC
(3,2),-0.300386 # DEPENDENCYPART_ARC
(3,4),1.31004 # DEPENDENCYPART_ARC
(3,5),-0.558047 # DEPENDENCYPART_ARC
(3,6),-0.946138 # DEPENDENCYPART_ARC
(3,8),-1.24821 # DEPENDENCYPART_ARC
(3,9),-0.632341 # DEPENDENCYPART_ARC
(3,11),-1.66689 # DEPENDENCYPART_ARC
(3,13),-1.45189 # DEPENDENCYPART_ARC
(3,14),-0.191178 # DEPENDENCYPART_ARC
(4,1),-0.673788 # DEPENDENCYPART_ARC
(4,3),-0.45826 # DEPENDENCYPART_ARC
(4,6),-0.914165 # DEPENDENCYPART_ARC
(4,8),-0.906086 # DEPENDENCYPART_ARC
(4,11),-1.00063 # DEPENDENCYPART_ARC
(5,1),-1.2287 # DEPENDENCYPART_ARC
(5,3),-0.870952 # DEPENDENCYPART_ARC
(5,4),-0.151545 # DEPENDENCYPART_ARC
(5,6),-0.604809 # DEPENDENCYPART_ARC
(5,9),-1.33984 # DEPENDENCYPART_ARC
(5,13),-1.50328 # DEPENDENCYPART_ARC
(6,1),-0.567128 # DEPENDENCYPART_ARC
(6,2),-1.4322 # DEPENDENCYPART_ARC
(6,3),-0.0250212 # DEPENDENCYPART_ARC
(6,4),-1.15286 # DEPENDENCYPART_ARC
(6,5),0.697698 # DEPENDENCYPART_ARC
(6,8),0.167929 # DEPENDENCYPART_ARC
(6,9),-0.502534 # DEPENDENCYPART_ARC
(6,10),-0.328616 # DEPENDENCYPART_ARC
(6,11),0.221355 # DEPENDENCYPART_ARC
(6,13),-1.1743 # DEPENDENCYPART_ARC
(8,1),-0.784889 # DEPENDENCYPART_ARC
(8,2),-1.85953 # DEPENDENCYPART_ARC
(8,3),-0.551061 # DEPENDENCYPART_ARC
(8,4),-1.62122 # DEPENDENCYPART_ARC
