# _root_ bere iritziz , egungo egoera gainditzeko , sindikatu abertzaleak " gakoetako bat " izan daitezke .
#goldHeads=2,14,2,5,6,14,6,14,8,9,12,14,12,0,14,15,
#predictedHeads=2,14,2,5,6,14,6,14,8,9,14,8,12,0,14,15,
(0,2),-0.917344 # DEPENDENCYPART_ARC
(0,3),-0.926846 # DEPENDENCYPART_ARC
(0,4),-1.45717 # DEPENDENCYPART_ARC
(0,5),-0.99179 # DEPENDENCYPART_ARC
(0,6),-0.743469 # DEPENDENCYPART_ARC
(0,7),-0.801088 # DEPENDENCYPART_ARC
(0,8),-1.368 # DEPENDENCYPART_ARC
(0,9),-1.59903 # DEPENDENCYPART_ARC
(0,10),-1.55965 # DEPENDENCYPART_ARC
(0,11),-1.76447 # DEPENDENCYPART_ARC
(0,12),-1.51096 # DEPENDENCYPART_ARC
(0,13),-2.20026 # DEPENDENCYPART_ARC
(0,14),-0.313096 # DEPENDENCYPART_ARC
(0,15),-1.23186 # DEPENDENCYPART_ARC
(0,16),-1.8543 # DEPENDENCYPART_ARC
(2,1),1.28622 # DEPENDENCYPART_ARC
(2,3),1.41059 # DEPENDENCYPART_ARC
(2,4),-0.744205 # DEPENDENCYPART_ARC
(2,5),-0.750997 # DEPENDENCYPART_ARC
(2,6),-1.41574 # DEPENDENCYPART_ARC
(2,12),-1.01357 # DEPENDENCYPART_ARC
(2,14),-1.37476 # DEPENDENCYPART_ARC
(3,2),-0.0813077 # DEPENDENCYPART_ARC
(3,4),-0.558487 # DEPENDENCYPART_ARC
(3,5),-0.739968 # DEPENDENCYPART_ARC
(3,6),-0.795504 # DEPENDENCYPART_ARC
(3,11),-0.818062 # DEPENDENCYPART_ARC
(3,14),-1.47156 # DEPENDENCYPART_ARC
(4,2),-1.14151 # DEPENDENCYPART_ARC
(4,3),-0.602794 # DEPENDENCYPART_ARC
(4,5),-0.234926 # DEPENDENCYPART_ARC
(4,6),-0.625719 # DEPENDENCYPART_ARC
(4,7),-0.22045 # DEPENDENCYPART_ARC
(4,8),-1.44658 # DEPENDENCYPART_ARC
(4,14),-0.97726 # DEPENDENCYPART_ARC
(5,2),-1.76205 # DEPENDENCYPART_ARC
(5,3),-0.370055 # DEPENDENCYPART_ARC
(5,4),2.49631 # DEPENDENCYPART_ARC
(5,6),-0.302968 # DEPENDENCYPART_ARC
(5,7),-0.677412 # DEPENDENCYPART_ARC
(5,8),-1.74115 # DEPENDENCYPART_ARC
(5,9),-3.41707 # DEPENDENCYPART_ARC
(5,11),-1.56656 # DEPENDENCYPART_ARC
(5,12),-1.99904 # DEPENDENCYPART_ARC
(5,14),-1.94659 # DEPENDENCYPART_ARC
(6,1),-0.964391 # DEPENDENCYPART_ARC
(6,2),0.130741 # DEPENDENCYPART_ARC
(6,3),-0.867843 # DEPENDENCYPART_ARC
(6,4),0.194229 # DEPENDENCYPART_ARC
(6,5),2.52447 # DEPENDENCYPART_ARC
(6,7),0.910776 # DEPENDENCYPART_ARC
(6,8),-1.28633 # DEPENDENCYPART_ARC
(6,9),-1.87265 # DEPENDENCYPART_ARC
(6,11),-3.5543 # DEPENDENCYPART_ARC
(6,14),-1.74709 # DEPENDENCYPART_ARC
(6,15),-2.52245 # DEPENDENCYPART_ARC
(7,5),-0.592539 # DEPENDENCYPART_ARC
(7,6),-0.121691 # DEPENDENCYPART_ARC
(7,8),-0.990713 # DEPENDENCYPART_ARC
(7,9),-0.804287 # DEPENDENCYPART_ARC
(7,14),-1.34936 # DEPENDENCYPART_ARC
(8,3),-1.63751 # DEPENDENCYPART_ARC
(8,4),-0.732657 # DEPENDENCYPART_ARC
(8,5),-2.1032 # DEPENDENCYPART_ARC
(8,6),-1.28189 # DEPENDENCYPART_ARC
(8,7),-0.386024 # DEPENDENCYPART_ARC
(8,9),1.46318 # DEPENDENCYPART_ARC
(8,11),-0.620633 # DEPENDENCYPART_ARC
(8,12),0.538673 # DEPENDENCYPART_ARC
(8,14),-1.30069 # DEPENDENCYPART_ARC
(8,15),-1.42627 # DEPENDENCYPART_ARC
(8,16),-0.977727 # DEPENDENCYPART_ARC
(9,2),-2.02148 # DEPENDENCYPART_ARC
(9,5),-1.9274 # DEPENDENCYPART_ARC
(9,6),-1.56928 # DEPENDENCYPART_ARC
(9,8),-0.326832 # DEPENDENCYPART_ARC
(9,10),1.37777 # DEPENDENCYPART_ARC
(9,11),-0.943248 # DEPENDENCYPART_ARC
(9,14),-1.74997 # DEPENDENCYPART_ARC
(10,2),-1.08264 # DEPENDENCYPART_ARC
(10,11),-1.13075 # DEPENDENCYPART_ARC
(11,2),-3.65222 # DEPENDENCYPART_ARC
(11,4),-0.532905 # DEPENDENCYPART_ARC
(11,5),-4.02484 # DEPENDENCYPART_ARC
(11,6),-3.15349 # DEPENDENCYPART_ARC
(11,7),-1.37152 # DEPENDENCYPART_ARC
