# _root_ kataluniako kofradiek , berriz , akordioa lortu zuten generalitatearekin .
#goldHeads=2,7,2,0,4,7,0,7,7,9,
#predictedHeads=2,7,2,0,4,7,0,7,7,9,
(0,1),-0.939889 # DEPENDENCYPART_ARC
(0,2),-1.47476 # DEPENDENCYPART_ARC
(0,3),-1.10629 # DEPENDENCYPART_ARC
(0,4),1.64922 # DEPENDENCYPART_ARC
(0,5),-1.3329 # DEPENDENCYPART_ARC
(0,6),-0.435818 # DEPENDENCYPART_ARC
(0,7),-0.128554 # DEPENDENCYPART_ARC
(0,8),-1.31238 # DEPENDENCYPART_ARC
(0,9),-2.15643 # DEPENDENCYPART_ARC
(0,10),-1.84916 # DEPENDENCYPART_ARC
(1,2),-1.02027 # DEPENDENCYPART_ARC
(1,6),-2.39474 # DEPENDENCYPART_ARC
(1,7),-3.37008 # DEPENDENCYPART_ARC
(2,1),2.05629 # DEPENDENCYPART_ARC
(2,3),1.39891 # DEPENDENCYPART_ARC
(2,4),-0.371412 # DEPENDENCYPART_ARC
(2,5),-0.585614 # DEPENDENCYPART_ARC
(2,6),-1.63584 # DEPENDENCYPART_ARC
(2,7),-2.05133 # DEPENDENCYPART_ARC
(2,8),-2.19668 # DEPENDENCYPART_ARC
(2,9),-2.90135 # DEPENDENCYPART_ARC
(2,10),-0.479083 # DEPENDENCYPART_ARC
(3,2),-0.75107 # DEPENDENCYPART_ARC
(3,6),-0.811864 # DEPENDENCYPART_ARC
(3,7),-0.856938 # DEPENDENCYPART_ARC
(4,3),-0.346532 # DEPENDENCYPART_ARC
(4,5),1.73406 # DEPENDENCYPART_ARC
(4,6),-0.724979 # DEPENDENCYPART_ARC
(4,7),-0.528253 # DEPENDENCYPART_ARC
(5,6),-0.941693 # DEPENDENCYPART_ARC
(5,7),-1.23601 # DEPENDENCYPART_ARC
(6,1),-1.09954 # DEPENDENCYPART_ARC
(6,2),-3.32392 # DEPENDENCYPART_ARC
(6,3),-1.25571 # DEPENDENCYPART_ARC
(6,5),0.05189 # DEPENDENCYPART_ARC
(6,7),-1.39036 # DEPENDENCYPART_ARC
(6,8),-1.48024 # DEPENDENCYPART_ARC
(6,9),-2.48838 # DEPENDENCYPART_ARC
(6,10),-0.76676 # DEPENDENCYPART_ARC
(7,1),-1.58535 # DEPENDENCYPART_ARC
(7,2),-0.130732 # DEPENDENCYPART_ARC
(7,3),-1.24398 # DEPENDENCYPART_ARC
(7,4),-0.29393 # DEPENDENCYPART_ARC
(7,5),-1.21636 # DEPENDENCYPART_ARC
(7,6),2.2172 # DEPENDENCYPART_ARC
(7,8),1.79507 # DEPENDENCYPART_ARC
(7,9),1.03708 # DEPENDENCYPART_ARC
(8,2),-1.59903 # DEPENDENCYPART_ARC
(8,6),-1.33136 # DEPENDENCYPART_ARC
(8,7),-1.69516 # DEPENDENCYPART_ARC
(8,9),-2.14124 # DEPENDENCYPART_ARC
(9,2),-5.04223 # DEPENDENCYPART_ARC
(9,3),-1.93825 # DEPENDENCYPART_ARC
(9,5),-1.86063 # DEPENDENCYPART_ARC
(9,6),-4.0273 # DEPENDENCYPART_ARC
(9,7),-0.716306 # DEPENDENCYPART_ARC
(9,10),1.44825 # DEPENDENCYPART_ARC
(10,6),-0.861159 # DEPENDENCYPART_ARC
(10,9),-0.610604 # DEPENDENCYPART_ARC
