# _root_ bestalde , iñaki_sanchez preso ohia basaurin espetxeratu zuten atzo , ezarritako zigorra osorik bete dezan .
#goldHeads=0,3,4,7,4,7,0,7,7,9,12,14,14,7,14,15,
#predictedHeads=0,3,4,6,4,7,0,7,7,9,12,14,14,7,14,15,
(0,1),1.34019 # DEPENDENCYPART_ARC
(0,2),-1.4432 # DEPENDENCYPART_ARC
(0,3),-1.03191 # DEPENDENCYPART_ARC
(0,4),-1.19175 # DEPENDENCYPART_ARC
(0,5),-1.80167 # DEPENDENCYPART_ARC
(0,6),-2.11987 # DEPENDENCYPART_ARC
(0,7),0.195827 # DEPENDENCYPART_ARC
(0,8),-1.30709 # DEPENDENCYPART_ARC
(0,9),-1.45686 # DEPENDENCYPART_ARC
(0,10),-1.38949 # DEPENDENCYPART_ARC
(0,11),-1.11305 # DEPENDENCYPART_ARC
(0,12),-1.38298 # DEPENDENCYPART_ARC
(0,13),-0.18589 # DEPENDENCYPART_ARC
(0,14),-0.974099 # DEPENDENCYPART_ARC
(0,15),-0.997759 # DEPENDENCYPART_ARC
(0,16),-2.48475 # DEPENDENCYPART_ARC
(1,2),-1.14161 # DEPENDENCYPART_ARC
(1,4),-2.89889 # DEPENDENCYPART_ARC
(1,7),-3.18943 # DEPENDENCYPART_ARC
(2,5),-1.21006 # DEPENDENCYPART_ARC
(2,7),-1.68426 # DEPENDENCYPART_ARC
(2,14),-2.05558 # DEPENDENCYPART_ARC
(3,2),-0.399243 # DEPENDENCYPART_ARC
(3,4),0.393067 # DEPENDENCYPART_ARC
(3,5),-1.99746 # DEPENDENCYPART_ARC
(4,2),-1.37983 # DEPENDENCYPART_ARC
(4,3),1.26384 # DEPENDENCYPART_ARC
(4,5),2.31027 # DEPENDENCYPART_ARC
(4,6),0.129463 # DEPENDENCYPART_ARC
(4,7),-0.891253 # DEPENDENCYPART_ARC
(4,8),-0.901782 # DEPENDENCYPART_ARC
(4,9),-0.96822 # DEPENDENCYPART_ARC
(4,11),-0.728602 # DEPENDENCYPART_ARC
(4,12),-0.886014 # DEPENDENCYPART_ARC
(4,14),-0.961774 # DEPENDENCYPART_ARC
(4,16),-0.732997 # DEPENDENCYPART_ARC
(5,3),0.269268 # DEPENDENCYPART_ARC
(5,4),0.110224 # DEPENDENCYPART_ARC
(5,14),-2.00676 # DEPENDENCYPART_ARC
(6,2),-1.65479 # DEPENDENCYPART_ARC
(6,4),0.382362 # DEPENDENCYPART_ARC
(6,7),-1.93891 # DEPENDENCYPART_ARC
(6,11),-1.88312 # DEPENDENCYPART_ARC
(6,12),-1.76985 # DEPENDENCYPART_ARC
(6,14),-1.61926 # DEPENDENCYPART_ARC
(7,1),-0.299544 # DEPENDENCYPART_ARC
(7,2),-1.74323 # DEPENDENCYPART_ARC
(7,3),0.210697 # DEPENDENCYPART_ARC
(7,4),0.235895 # DEPENDENCYPART_ARC
(7,5),-0.109944 # DEPENDENCYPART_ARC
(7,6),1.72812 # DEPENDENCYPART_ARC
(7,8),1.88823 # DEPENDENCYPART_ARC
(7,9),1.44474 # DEPENDENCYPART_ARC
(7,10),-0.505132 # DEPENDENCYPART_ARC
(7,11),-0.460848 # DEPENDENCYPART_ARC
(7,12),0.468929 # DEPENDENCYPART_ARC
