# _root_ umeak ginen artean , eta gauzak betirako zirela uste_genuen , eta ziur nengoen gure konplizitatea ez zuela ezerk zirdinduko .
#goldHeads=2,5,2,3,0,8,8,9,5,9,0,13,5,15,19,19,19,19,13,19,
#predictedHeads=2,5,2,3,0,8,8,9,11,9,0,13,11,15,19,19,19,19,13,19,
(0,1),-0.25063 # DEPENDENCYPART_ARC
(0,2),-0.50209 # DEPENDENCYPART_ARC
(0,3),-1.04452 # DEPENDENCYPART_ARC
(0,4),-1.27309 # DEPENDENCYPART_ARC
(0,5),0.664765 # DEPENDENCYPART_ARC
(0,7),-0.836387 # DEPENDENCYPART_ARC
(0,8),-1.27004 # DEPENDENCYPART_ARC
(0,9),0.0520624 # DEPENDENCYPART_ARC
(0,10),-1.04006 # DEPENDENCYPART_ARC
(0,11),0.272377 # DEPENDENCYPART_ARC
(0,12),-0.942593 # DEPENDENCYPART_ARC
(0,13),-0.222845 # DEPENDENCYPART_ARC
(0,14),-2.08811 # DEPENDENCYPART_ARC
(0,16),-1.04483 # DEPENDENCYPART_ARC
(0,17),-1.13655 # DEPENDENCYPART_ARC
(0,18),-2.00993 # DEPENDENCYPART_ARC
(0,19),-1.29502 # DEPENDENCYPART_ARC
(0,20),-1.64309 # DEPENDENCYPART_ARC
(1,3),-0.961096 # DEPENDENCYPART_ARC
(1,4),-1.6848 # DEPENDENCYPART_ARC
(2,1),2.32225 # DEPENDENCYPART_ARC
(2,3),0.923088 # DEPENDENCYPART_ARC
(2,4),-0.11072 # DEPENDENCYPART_ARC
(2,5),-0.499971 # DEPENDENCYPART_ARC
(2,6),-0.0947742 # DEPENDENCYPART_ARC
(2,7),-0.56326 # DEPENDENCYPART_ARC
(2,8),-0.597667 # DEPENDENCYPART_ARC
(2,9),-0.120484 # DEPENDENCYPART_ARC
(2,11),-1.14252 # DEPENDENCYPART_ARC
(2,13),-0.720566 # DEPENDENCYPART_ARC
(2,15),-1.3089 # DEPENDENCYPART_ARC
(2,19),-0.460056 # DEPENDENCYPART_ARC
(3,1),-0.690558 # DEPENDENCYPART_ARC
(3,2),-0.195623 # DEPENDENCYPART_ARC
(3,4),1.28019 # DEPENDENCYPART_ARC
(3,5),-0.501469 # DEPENDENCYPART_ARC
(3,6),-0.795268 # DEPENDENCYPART_ARC
(3,7),-0.873764 # DEPENDENCYPART_ARC
