# _root_ azkenik , lizarra-garaziko_akordioaren bilera eskatu duela iragarri zuen , ehren jarrera zein den jakin asmoz .
#goldHeads=0,3,4,5,7,5,0,7,8,11,13,13,14,7,14,15,
#predictedHeads=5,3,4,5,7,5,0,7,8,11,13,13,14,15,7,15,
(0,1),-0.147263 # DEPENDENCYPART_ARC
(0,2),-1.543 # DEPENDENCYPART_ARC
(0,3),-0.672602 # DEPENDENCYPART_ARC
(0,4),-0.339843 # DEPENDENCYPART_ARC
(0,5),0.132979 # DEPENDENCYPART_ARC
(0,6),-1.19301 # DEPENDENCYPART_ARC
(0,7),-0.045096 # DEPENDENCYPART_ARC
(0,8),-0.986694 # DEPENDENCYPART_ARC
(0,9),-1.17806 # DEPENDENCYPART_ARC
(0,10),-1.23264 # DEPENDENCYPART_ARC
(0,11),-0.34998 # DEPENDENCYPART_ARC
(0,12),-2.11216 # DEPENDENCYPART_ARC
(0,13),-2.30043 # DEPENDENCYPART_ARC
(0,14),-1.83679 # DEPENDENCYPART_ARC
(0,15),-1.83753 # DEPENDENCYPART_ARC
(0,16),-2.73101 # DEPENDENCYPART_ARC
(1,2),-0.969269 # DEPENDENCYPART_ARC
(1,4),-1.60587 # DEPENDENCYPART_ARC
(2,5),-1.42516 # DEPENDENCYPART_ARC
(2,7),-1.51487 # DEPENDENCYPART_ARC
(2,14),-1.96167 # DEPENDENCYPART_ARC
(2,15),-2.17243 # DEPENDENCYPART_ARC
(3,2),-0.0442948 # DEPENDENCYPART_ARC
(3,4),-0.497979 # DEPENDENCYPART_ARC
(3,13),-1.01153 # DEPENDENCYPART_ARC
(4,1),-0.719856 # DEPENDENCYPART_ARC
(4,2),-0.849338 # DEPENDENCYPART_ARC
(4,3),2.70768 # DEPENDENCYPART_ARC
(4,5),-1.64631 # DEPENDENCYPART_ARC
(4,6),-1.52261 # DEPENDENCYPART_ARC
(4,8),-1.9501 # DEPENDENCYPART_ARC
(4,10),-1.73631 # DEPENDENCYPART_ARC
(4,15),-2.07583 # DEPENDENCYPART_ARC
(4,16),-1.19547 # DEPENDENCYPART_ARC
(5,1),0.484153 # DEPENDENCYPART_ARC
(5,2),-1.28257 # DEPENDENCYPART_ARC
(5,3),1.1222 # DEPENDENCYPART_ARC
(5,4),2.16285 # DEPENDENCYPART_ARC
(5,6),1.9127 # DEPENDENCYPART_ARC
(5,7),-0.367094 # DEPENDENCYPART_ARC
(5,8),-0.579817 # DEPENDENCYPART_ARC
(5,9),-1.18946 # DEPENDENCYPART_ARC
(5,10),-0.964282 # DEPENDENCYPART_ARC
(5,11),-0.491893 # DEPENDENCYPART_ARC
(5,13),-0.383594 # DEPENDENCYPART_ARC
(5,14),-0.378167 # DEPENDENCYPART_ARC
(5,15),0.31547 # DEPENDENCYPART_ARC
(6,3),-0.662673 # DEPENDENCYPART_ARC
(6,4),-0.315713 # DEPENDENCYPART_ARC
(6,7),-1.80529 # DEPENDENCYPART_ARC
(6,8),-1.21778 # DEPENDENCYPART_ARC
(6,10),-2.41673 # DEPENDENCYPART_ARC
(7,1),0.262071 # DEPENDENCYPART_ARC
(7,2),-1.28308 # DEPENDENCYPART_ARC
(7,3),0.060057 # DEPENDENCYPART_ARC
(7,4),0.491525 # DEPENDENCYPART_ARC
(7,5),1.64561 # DEPENDENCYPART_ARC
(7,6),-0.0394967 # DEPENDENCYPART_ARC
(7,8),1.47299 # DEPENDENCYPART_ARC
(7,9),-0.296661 # DEPENDENCYPART_ARC
(7,10),-0.40245 # DEPENDENCYPART_ARC
(7,11),0.1976 # DEPENDENCYPART_ARC
(7,13),0.0716034 # DEPENDENCYPART_ARC
(7,14),-0.278993 # DEPENDENCYPART_ARC
(7,15),0.709084 # DEPENDENCYPART_ARC
(8,4),-1.12779 # DEPENDENCYPART_ARC
