# _root_ haren iritziz , irtenbide onena " hemengo jendea lortzea da " ; eta hori erdietsi ezean , kanpotik ekartzeko aukera ez du baztertzen .
#goldHeads=10,1,2,10,4,5,8,9,10,13,10,11,0,15,23,15,16,19,20,23,23,23,13,23,
#predictedHeads=2,10,2,10,4,5,8,9,10,13,10,11,0,15,13,15,16,19,20,23,23,23,15,23,
(0,1),-0.969071 # DEPENDENCYPART_ARC
(0,2),-0.937414 # DEPENDENCYPART_ARC
(0,3),-0.940234 # DEPENDENCYPART_ARC
(0,4),-0.961219 # DEPENDENCYPART_ARC
(0,5),-1.41007 # DEPENDENCYPART_ARC
(0,6),-1.06822 # DEPENDENCYPART_ARC
(0,7),-0.965868 # DEPENDENCYPART_ARC
(0,8),-1.3446 # DEPENDENCYPART_ARC
(0,9),-0.908995 # DEPENDENCYPART_ARC
(0,10),0.188401 # DEPENDENCYPART_ARC
(0,11),-1.70159 # DEPENDENCYPART_ARC
(0,12),0.0406662 # DEPENDENCYPART_ARC
(0,13),0.580487 # DEPENDENCYPART_ARC
(0,14),-1.87979 # DEPENDENCYPART_ARC
(0,15),-0.157038 # DEPENDENCYPART_ARC
(0,16),-1.61797 # DEPENDENCYPART_ARC
(0,17),-1.03196 # DEPENDENCYPART_ARC
(0,18),-1.42314 # DEPENDENCYPART_ARC
(0,19),-1.46123 # DEPENDENCYPART_ARC
(0,20),-1.75341 # DEPENDENCYPART_ARC
(0,21),-1.6764 # DEPENDENCYPART_ARC
(0,22),-1.1198 # DEPENDENCYPART_ARC
(0,23),-0.927501 # DEPENDENCYPART_ARC
(0,24),-3.08624 # DEPENDENCYPART_ARC
(1,2),-0.505519 # DEPENDENCYPART_ARC
(2,1),1.07579 # DEPENDENCYPART_ARC
(2,3),1.42315 # DEPENDENCYPART_ARC
(2,4),-0.343408 # DEPENDENCYPART_ARC
(2,5),0.262287 # DEPENDENCYPART_ARC
(3,4),-0.940664 # DEPENDENCYPART_ARC
(3,5),-0.892955 # DEPENDENCYPART_ARC
(4,1),-1.49542 # DEPENDENCYPART_ARC
(4,2),-1.09809 # DEPENDENCYPART_ARC
(4,3),-0.0726477 # DEPENDENCYPART_ARC
(4,5),2.39646 # DEPENDENCYPART_ARC
(4,7),-0.476714 # DEPENDENCYPART_ARC
(4,8),-0.692117 # DEPENDENCYPART_ARC
(4,9),-0.673706 # DEPENDENCYPART_ARC
(4,13),-0.53978 # DEPENDENCYPART_ARC
(5,2),-2.08686 # DEPENDENCYPART_ARC
(5,4),-0.521922 # DEPENDENCYPART_ARC
(5,6),1.51461 # DEPENDENCYPART_ARC
(5,7),-0.520331 # DEPENDENCYPART_ARC
(5,8),-0.829578 # DEPENDENCYPART_ARC
(7,2),-1.43673 # DEPENDENCYPART_ARC
(7,4),-0.922351 # DEPENDENCYPART_ARC
