# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,19,17,14,17,19,17,20,11,20,21,
(0,1),-0.415116 # DEPENDENCYPART_ARC
(0,6),-0.691226 # DEPENDENCYPART_ARC
(0,7),-1.39035 # DEPENDENCYPART_ARC
(0,8),-0.48664 # DEPENDENCYPART_ARC
(0,9),-1.57963 # DEPENDENCYPART_ARC
(0,10),-1.08122 # DEPENDENCYPART_ARC
(0,11),0.580877 # DEPENDENCYPART_ARC
(0,15),-1.34537 # DEPENDENCYPART_ARC
(0,17),-1.80632 # DEPENDENCYPART_ARC
(0,19),-1.79558 # DEPENDENCYPART_ARC
(0,20),-0.983183 # DEPENDENCYPART_ARC
(0,21),-2.06862 # DEPENDENCYPART_ARC
(0,22),-3.83901 # DEPENDENCYPART_ARC
(1,2),0.607678 # DEPENDENCYPART_ARC
(1,3),-0.397194 # DEPENDENCYPART_ARC
(1,5),-0.664646 # DEPENDENCYPART_ARC
(2,1),1.47393 # DEPENDENCYPART_ARC
(2,3),0.0981466 # DEPENDENCYPART_ARC
(2,4),-1.57388 # DEPENDENCYPART_ARC
(2,5),-3.24798 # DEPENDENCYPART_ARC
(3,1),0.153713 # DEPENDENCYPART_ARC
(3,2),0.973643 # DEPENDENCYPART_ARC
(3,4),0.11229 # DEPENDENCYPART_ARC
(3,5),0.208812 # DEPENDENCYPART_ARC
(3,9),-1.26574 # DEPENDENCYPART_ARC
(4,1),0.120718 # DEPENDENCYPART_ARC
(4,2),-0.460346 # DEPENDENCYPART_ARC
(4,3),1.49138 # DEPENDENCYPART_ARC
(4,5),2.45242 # DEPENDENCYPART_ARC
(4,6),-0.603772 # DEPENDENCYPART_ARC
(4,7),-0.374498 # DEPENDENCYPART_ARC
(4,9),-1.34274 # DEPENDENCYPART_ARC
(4,12),-0.645092 # DEPENDENCYPART_ARC
(4,13),-0.513005 # DEPENDENCYPART_ARC
(4,14),-0.722348 # DEPENDENCYPART_ARC
(4,16),-0.422306 # DEPENDENCYPART_ARC
(4,17),-1.44395 # DEPENDENCYPART_ARC
(4,18),-0.771373 # DEPENDENCYPART_ARC
(4,19),-0.706631 # DEPENDENCYPART_ARC
(5,1),-1.64452 # DEPENDENCYPART_ARC
(5,2),-1.38087 # DEPENDENCYPART_ARC
(5,3),-0.941201 # DEPENDENCYPART_ARC
(5,4),-0.226213 # DEPENDENCYPART_ARC
(5,6),-0.69384 # DEPENDENCYPART_ARC
(5,7),-0.916094 # DEPENDENCYPART_ARC
(6,1),0.365079 # DEPENDENCYPART_ARC
(6,2),1.16477 # DEPENDENCYPART_ARC
(6,3),0.561872 # DEPENDENCYPART_ARC
(6,4),1.35072 # DEPENDENCYPART_ARC
