# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,22,9,10,13,16,13,16,22,16,19,22,22,22,2,22,23,
(0,1),0.805007 # DEPENDENCYPART_ARC
(0,2),-1.01283 # DEPENDENCYPART_ARC
(0,3),-1.93118 # DEPENDENCYPART_ARC
(0,4),-1.22325 # DEPENDENCYPART_ARC
(0,5),-2.06643 # DEPENDENCYPART_ARC
(0,6),-0.385819 # DEPENDENCYPART_ARC
(0,7),-1.38239 # DEPENDENCYPART_ARC
(0,8),-1.00837 # DEPENDENCYPART_ARC
(0,9),-1.74162 # DEPENDENCYPART_ARC
(0,11),-0.911305 # DEPENDENCYPART_ARC
(0,12),-1.69653 # DEPENDENCYPART_ARC
(0,13),-1.59221 # DEPENDENCYPART_ARC
(0,15),-2.32357 # DEPENDENCYPART_ARC
(0,16),-0.678282 # DEPENDENCYPART_ARC
(0,17),-1.21568 # DEPENDENCYPART_ARC
(0,18),-1.59866 # DEPENDENCYPART_ARC
(0,19),-2.37358 # DEPENDENCYPART_ARC
(0,20),-1.80437 # DEPENDENCYPART_ARC
(0,21),-1.9045 # DEPENDENCYPART_ARC
(0,22),-2.24931 # DEPENDENCYPART_ARC
(0,23),-4.31699 # DEPENDENCYPART_ARC
(0,24),-3.39712 # DEPENDENCYPART_ARC
(1,2),-2.37915 # DEPENDENCYPART_ARC
(1,6),-2.67537 # DEPENDENCYPART_ARC
(2,1),-0.786596 # DEPENDENCYPART_ARC
(2,3),2.17457 # DEPENDENCYPART_ARC
(2,4),-0.480244 # DEPENDENCYPART_ARC
(2,5),0.739904 # DEPENDENCYPART_ARC
(2,7),-1.05754 # DEPENDENCYPART_ARC
(2,18),-1.70538 # DEPENDENCYPART_ARC
(2,22),-0.872978 # DEPENDENCYPART_ARC
(3,2),0.0396699 # DEPENDENCYPART_ARC
(4,2),0.468861 # DEPENDENCYPART_ARC
(4,3),-0.432242 # DEPENDENCYPART_ARC
(4,5),2.20675 # DEPENDENCYPART_ARC
(4,7),-1.21466 # DEPENDENCYPART_ARC
(4,9),-0.857058 # DEPENDENCYPART_ARC
(4,10),-0.913729 # DEPENDENCYPART_ARC
(4,18),-1.73458 # DEPENDENCYPART_ARC
(4,22),-1.03801 # DEPENDENCYPART_ARC
(5,4),-0.261963 # DEPENDENCYPART_ARC
(5,6),-1.16643 # DEPENDENCYPART_ARC
(6,2),0.671815 # DEPENDENCYPART_ARC
(6,3),-0.407829 # DEPENDENCYPART_ARC
(6,4),1.33527 # DEPENDENCYPART_ARC
(6,5),0.0956483 # DEPENDENCYPART_ARC
(6,7),1.85899 # DEPENDENCYPART_ARC
(6,8),-0.414888 # DEPENDENCYPART_ARC
(6,9),-0.465662 # DEPENDENCYPART_ARC
(6,10),-0.372891 # DEPENDENCYPART_ARC
(6,11),-0.98377 # DEPENDENCYPART_ARC
(6,12),-2.29097 # DEPENDENCYPART_ARC
(6,13),-0.359395 # DEPENDENCYPART_ARC
(6,15),-1.7225 # DEPENDENCYPART_ARC
(6,16),-0.372685 # DEPENDENCYPART_ARC
(6,17),-0.36356 # DEPENDENCYPART_ARC
(6,19),-1.70485 # DEPENDENCYPART_ARC
(6,21),-1.12155 # DEPENDENCYPART_ARC
(6,22),-1.05449 # DEPENDENCYPART_ARC
(7,2),-0.602795 # DEPENDENCYPART_ARC
(7,4),-0.237094 # DEPENDENCYPART_ARC
(7,8),1.25883 # DEPENDENCYPART_ARC
(7,9),-1.99825 # DEPENDENCYPART_ARC
(8,6),-0.119881 # DEPENDENCYPART_ARC
(8,7),0.00633674 # DEPENDENCYPART_ARC
(8,9),-1.14098 # DEPENDENCYPART_ARC
(8,10),-0.860367 # DEPENDENCYPART_ARC
(8,16),-1.40442 # DEPENDENCYPART_ARC
(8,22),-1.61567 # DEPENDENCYPART_ARC
(9,4),-1.2645 # DEPENDENCYPART_ARC
(9,6),-0.596454 # DEPENDENCYPART_ARC
(9,7),-1.28883 # DEPENDENCYPART_ARC
(9,8),-0.221269 # DEPENDENCYPART_ARC
(9,10),1.57938 # DEPENDENCYPART_ARC
(9,11),-0.298748 # DEPENDENCYPART_ARC
(9,12),-0.611962 # DEPENDENCYPART_ARC
(9,13),-0.677544 # DEPENDENCYPART_ARC
(9,15),-1.02822 # DEPENDENCYPART_ARC
(9,16),-1.1558 # DEPENDENCYPART_ARC
(9,18),-1.49522 # DEPENDENCYPART_ARC
(9,19),-1.61319 # DEPENDENCYPART_ARC
(9,22),-1.32905 # DEPENDENCYPART_ARC
(10,2),-1.19633 # DEPENDENCYPART_ARC
(10,4),-1.31229 # DEPENDENCYPART_ARC
(10,9),0.138502 # DEPENDENCYPART_ARC
(10,11),1.18437 # DEPENDENCYPART_ARC
(10,12),-1.14274 # DEPENDENCYPART_ARC
(10,13),-1.66486 # DEPENDENCYPART_ARC
(10,16),-1.72861 # DEPENDENCYPART_ARC
(10,19),-1.75154 # DEPENDENCYPART_ARC
(10,22),-1.79297 # DEPENDENCYPART_ARC
(11,6),-0.729787 # DEPENDENCYPART_ARC
(11,7),-0.917011 # DEPENDENCYPART_ARC
(11,10),0.0275718 # DEPENDENCYPART_ARC
(11,12),-0.556901 # DEPENDENCYPART_ARC
(12,8),-1.72467 # DEPENDENCYPART_ARC
(12,9),-0.719118 # DEPENDENCYPART_ARC
(12,10),-1.07575 # DEPENDENCYPART_ARC
(12,11),-0.290307 # DEPENDENCYPART_ARC
(12,13),-1.23129 # DEPENDENCYPART_ARC
(12,15),-3.49408 # DEPENDENCYPART_ARC
(12,17),-3.09009 # DEPENDENCYPART_ARC
(12,18),-3.99732 # DEPENDENCYPART_ARC
(12,24),-1.71433 # DEPENDENCYPART_ARC
(13,2),-1.15094 # DEPENDENCYPART_ARC
(13,4),-1.43973 # DEPENDENCYPART_ARC
(13,6),-1.88319 # DEPENDENCYPART_ARC
(13,8),-1.95657 # DEPENDENCYPART_ARC
(13,9),-0.46901 # DEPENDENCYPART_ARC
(13,10),-1.78731 # DEPENDENCYPART_ARC
(13,11),-1.19519 # DEPENDENCYPART_ARC
(13,12),1.62673 # DEPENDENCYPART_ARC
(13,14),1.51971 # DEPENDENCYPART_ARC
(13,15),-1.57826 # DEPENDENCYPART_ARC
(13,16),-2.01349 # DEPENDENCYPART_ARC
