# _root_ g. ganbelu baten hezur bat eclipta prastata landarearen uretan sartzen da , gero erre , eta hortik ateratzen den margogaia ganbelu hezurrez egindako kutxa batean gordetzen da .
#goldHeads=0,22,2,10,4,9,6,6,10,16,10,11,14,16,14,0,18,20,18,26,22,23,24,26,24,16,26,27,
#predictedHeads=10,10,2,10,4,7,8,9,10,16,10,11,14,16,14,0,18,16,18,21,22,23,24,26,24,16,26,27,
(0,1),0.12479 # DEPENDENCYPART_ARC
(0,3),-1.67813 # DEPENDENCYPART_ARC
(0,5),-1.75312 # DEPENDENCYPART_ARC
(0,10),-0.767059 # DEPENDENCYPART_ARC
(0,11),-1.87499 # DEPENDENCYPART_ARC
(0,12),-1.41037 # DEPENDENCYPART_ARC
(0,13),-1.6472 # DEPENDENCYPART_ARC
(0,14),-1.36543 # DEPENDENCYPART_ARC
(0,15),-1.44572 # DEPENDENCYPART_ARC
(0,16),0.366043 # DEPENDENCYPART_ARC
(0,17),-1.47941 # DEPENDENCYPART_ARC
(0,18),-2.37916 # DEPENDENCYPART_ARC
(0,19),-1.9323 # DEPENDENCYPART_ARC
(0,23),-3.78476 # DEPENDENCYPART_ARC
(0,24),-2.81194 # DEPENDENCYPART_ARC
(0,26),-2.03936 # DEPENDENCYPART_ARC
(0,27),-2.8464 # DEPENDENCYPART_ARC
(0,28),-5.02396 # DEPENDENCYPART_ARC
(1,2),-0.277778 # DEPENDENCYPART_ARC
(1,3),-1.81456 # DEPENDENCYPART_ARC
(1,5),-2.66757 # DEPENDENCYPART_ARC
(2,1),1.03259 # DEPENDENCYPART_ARC
(2,3),1.7879 # DEPENDENCYPART_ARC
(2,4),-0.433864 # DEPENDENCYPART_ARC
(2,5),0.0111693 # DEPENDENCYPART_ARC
(3,1),-0.790585 # DEPENDENCYPART_ARC
(3,2),-0.519177 # DEPENDENCYPART_ARC
(3,4),0.163537 # DEPENDENCYPART_ARC
(4,1),-1.68828 # DEPENDENCYPART_ARC
(4,2),0.378868 # DEPENDENCYPART_ARC
(4,3),0.263191 # DEPENDENCYPART_ARC
(4,5),2.07656 # DEPENDENCYPART_ARC
(4,6),-0.54565 # DEPENDENCYPART_ARC
(4,7),-0.74135 # DEPENDENCYPART_ARC
(4,8),-0.825096 # DEPENDENCYPART_ARC
(4,25),-0.900962 # DEPENDENCYPART_ARC
(5,2),-1.40177 # DEPENDENCYPART_ARC
(5,3),-0.770434 # DEPENDENCYPART_ARC
(5,4),-0.438606 # DEPENDENCYPART_ARC
(5,6),-0.102146 # DEPENDENCYPART_ARC
(5,7),-0.959964 # DEPENDENCYPART_ARC
(6,1),-1.0993 # DEPENDENCYPART_ARC
(6,2),-0.984121 # DEPENDENCYPART_ARC
(6,3),-1.08074 # DEPENDENCYPART_ARC
(6,4),0.0954617 # DEPENDENCYPART_ARC
(6,5),0.420972 # DEPENDENCYPART_ARC
(6,7),0.615874 # DEPENDENCYPART_ARC
(6,8),-0.256011 # DEPENDENCYPART_ARC
(6,9),-0.571163 # DEPENDENCYPART_ARC
(7,1),-1.00271 # DEPENDENCYPART_ARC
(7,2),-1.21058 # DEPENDENCYPART_ARC
(7,3),-1.56153 # DEPENDENCYPART_ARC
(7,4),-0.909455 # DEPENDENCYPART_ARC
(7,5),-0.486933 # DEPENDENCYPART_ARC
(7,6),0.692385 # DEPENDENCYPART_ARC
(7,8),0.670067 # DEPENDENCYPART_ARC
(7,9),-0.124718 # DEPENDENCYPART_ARC
(7,11),-1.12729 # DEPENDENCYPART_ARC
(8,3),-1.29898 # DEPENDENCYPART_ARC
(8,5),-2.60615 # DEPENDENCYPART_ARC
(8,6),0.0641225 # DEPENDENCYPART_ARC
(8,7),1.20736 # DEPENDENCYPART_ARC
(8,9),0.893745 # DEPENDENCYPART_ARC
(8,11),-2.00063 # DEPENDENCYPART_ARC
(8,25),-2.36579 # DEPENDENCYPART_ARC
(9,3),-2.02665 # DEPENDENCYPART_ARC
(9,4),-1.29092 # DEPENDENCYPART_ARC
(9,5),-2.83263 # DEPENDENCYPART_ARC
(9,6),-0.771674 # DEPENDENCYPART_ARC
(9,7),-0.0554692 # DEPENDENCYPART_ARC
(9,8),1.21571 # DEPENDENCYPART_ARC
(9,11),-0.774603 # DEPENDENCYPART_ARC
(9,12),-0.772282 # DEPENDENCYPART_ARC
(9,13),-1.12659 # DEPENDENCYPART_ARC
(9,25),-2.23219 # DEPENDENCYPART_ARC
(10,1),1.08405 # DEPENDENCYPART_ARC
(10,2),0.54709 # DEPENDENCYPART_ARC
(10,3),-1.36218 # DEPENDENCYPART_ARC
(10,4),0.619171 # DEPENDENCYPART_ARC
(10,5),-0.382631 # DEPENDENCYPART_ARC
(10,6),0.521895 # DEPENDENCYPART_ARC
(10,7),0.520917 # DEPENDENCYPART_ARC
(10,8),0.118776 # DEPENDENCYPART_ARC
(10,9),1.97076 # DEPENDENCYPART_ARC
(10,11),1.74926 # DEPENDENCYPART_ARC
(10,12),-0.241213 # DEPENDENCYPART_ARC
(10,13),-0.321957 # DEPENDENCYPART_ARC
(10,14),0.333776 # DEPENDENCYPART_ARC
(10,15),-0.664281 # DEPENDENCYPART_ARC
(10,16),-0.556434 # DEPENDENCYPART_ARC
(10,17),-0.801363 # DEPENDENCYPART_ARC
(10,18),-0.917904 # DEPENDENCYPART_ARC
(10,19),0.177792 # DEPENDENCYPART_ARC
(10,20),-1.15215 # DEPENDENCYPART_ARC
(10,21),-1.34395 # DEPENDENCYPART_ARC
(10,22),-1.40841 # DEPENDENCYPART_ARC
(10,23),-1.5393 # DEPENDENCYPART_ARC
(10,24),-1.44051 # DEPENDENCYPART_ARC
(10,26),-1.52875 # DEPENDENCYPART_ARC
(11,8),-0.915762 # DEPENDENCYPART_ARC
(11,9),-0.77322 # DEPENDENCYPART_ARC
(11,12),1.24887 # DEPENDENCYPART_ARC
(11,13),-1.13856 # DEPENDENCYPART_ARC
(11,16),-1.09627 # DEPENDENCYPART_ARC
(11,19),-1.59219 # DEPENDENCYPART_ARC
(12,10),-0.531162 # DEPENDENCYPART_ARC
(12,11),-0.415362 # DEPENDENCYPART_ARC
(12,14),-0.829627 # DEPENDENCYPART_ARC
(12,26),-1.3988 # DEPENDENCYPART_ARC
(13,10),-0.956468 # DEPENDENCYPART_ARC
(13,12),-0.379789 # DEPENDENCYPART_ARC
(13,14),-0.460519 # DEPENDENCYPART_ARC
(13,15),-0.344968 # DEPENDENCYPART_ARC
(13,17),-1.10152 # DEPENDENCYPART_ARC
(14,1),0.0943714 # DEPENDENCYPART_ARC
(14,2),-0.641217 # DEPENDENCYPART_ARC
(14,4),-0.5259 # DEPENDENCYPART_ARC
(14,6),-0.685341 # DEPENDENCYPART_ARC
(14,7),-0.788999 # DEPENDENCYPART_ARC
(14,8),-1.07094 # DEPENDENCYPART_ARC
(14,9),-0.318738 # DEPENDENCYPART_ARC
(14,10),-0.158886 # DEPENDENCYPART_ARC
(14,11),-0.0705673 # DEPENDENCYPART_ARC
(14,12),-0.792555 # DEPENDENCYPART_ARC
(14,13),1.29521 # DEPENDENCYPART_ARC
(14,15),1.5442 # DEPENDENCYPART_ARC
(14,16),-0.484547 # DEPENDENCYPART_ARC
(14,17),-0.57489 # DEPENDENCYPART_ARC
(14,18),-0.713535 # DEPENDENCYPART_ARC
(14,19),0.559407 # DEPENDENCYPART_ARC
(14,20),-0.666145 # DEPENDENCYPART_ARC
(14,21),-1.32932 # DEPENDENCYPART_ARC
(14,22),-0.992492 # DEPENDENCYPART_ARC
(14,23),-0.974676 # DEPENDENCYPART_ARC
(14,24),-1.08715 # DEPENDENCYPART_ARC
(14,26),-1.04191 # DEPENDENCYPART_ARC
(14,27),-0.823731 # DEPENDENCYPART_ARC
(15,10),-1.3083 # DEPENDENCYPART_ARC
(15,11),-1.33078 # DEPENDENCYPART_ARC
(15,14),-0.271186 # DEPENDENCYPART_ARC
(15,16),-0.581699 # DEPENDENCYPART_ARC
(16,6),-1.30431 # DEPENDENCYPART_ARC
(16,7),-1.33876 # DEPENDENCYPART_ARC
(16,8),-1.41242 # DEPENDENCYPART_ARC
(16,9),-1.74561 # DEPENDENCYPART_ARC
(16,10),0.508063 # DEPENDENCYPART_ARC
(16,11),-0.717165 # DEPENDENCYPART_ARC
(16,12),-1.15017 # DEPENDENCYPART_ARC
(16,13),-0.197298 # DEPENDENCYPART_ARC
(16,14),1.30748 # DEPENDENCYPART_ARC
(16,15),-0.216291 # DEPENDENCYPART_ARC
(16,17),-0.288788 # DEPENDENCYPART_ARC
(16,18),0.695184 # DEPENDENCYPART_ARC
(16,19),-0.162515 # DEPENDENCYPART_ARC
(16,20),-0.475926 # DEPENDENCYPART_ARC
(16,21),-1.55055 # DEPENDENCYPART_ARC
(16,22),-0.832112 # DEPENDENCYPART_ARC
(16,23),-0.58408 # DEPENDENCYPART_ARC
(16,24),-1.78939 # DEPENDENCYPART_ARC
(16,26),-0.189202 # DEPENDENCYPART_ARC
(17,16),-0.915301 # DEPENDENCYPART_ARC
(17,18),-0.786536 # DEPENDENCYPART_ARC
(18,1),-1.14596 # DEPENDENCYPART_ARC
(18,2),-1.84934 # DEPENDENCYPART_ARC
(18,4),-1.61447 # DEPENDENCYPART_ARC
(18,6),-1.86445 # DEPENDENCYPART_ARC
(18,7),-2.10257 # DEPENDENCYPART_ARC
(18,8),-2.78354 # DEPENDENCYPART_ARC
(18,9),-1.70631 # DEPENDENCYPART_ARC
(18,10),-0.993779 # DEPENDENCYPART_ARC
(18,11),-0.975676 # DEPENDENCYPART_ARC
(18,12),-1.52356 # DEPENDENCYPART_ARC
(18,13),-0.768644 # DEPENDENCYPART_ARC
(18,14),-0.969304 # DEPENDENCYPART_ARC
(18,15),-1.37019 # DEPENDENCYPART_ARC
(18,16),-0.277944 # DEPENDENCYPART_ARC
(18,17),0.85818 # DEPENDENCYPART_ARC
(18,19),1.99466 # DEPENDENCYPART_ARC
(18,20),-0.155836 # DEPENDENCYPART_ARC
(18,21),-0.73393 # DEPENDENCYPART_ARC
(18,22),-0.906381 # DEPENDENCYPART_ARC
(18,23),-0.906627 # DEPENDENCYPART_ARC
(18,24),-0.803968 # DEPENDENCYPART_ARC
(18,26),-1.17435 # DEPENDENCYPART_ARC
(18,27),-1.59086 # DEPENDENCYPART_ARC
(19,17),-0.883065 # DEPENDENCYPART_ARC
(19,20),-1.01137 # DEPENDENCYPART_ARC
(19,27),-1.22619 # DEPENDENCYPART_ARC
(20,10),-1.11816 # DEPENDENCYPART_ARC
(20,14),-1.02966 # DEPENDENCYPART_ARC
(20,15),-1.39564 # DEPENDENCYPART_ARC
(20,16),-0.948639 # DEPENDENCYPART_ARC
(20,18),0.621676 # DEPENDENCYPART_ARC
(20,19),-1.0499 # DEPENDENCYPART_ARC
(20,21),0.147717 # DEPENDENCYPART_ARC
(20,22),-0.834163 # DEPENDENCYPART_ARC
(20,25),-1.27541 # DEPENDENCYPART_ARC
(20,27),-2.35861 # DEPENDENCYPART_ARC
(21,15),-2.03976 # DEPENDENCYPART_ARC
(21,18),-0.533341 # DEPENDENCYPART_ARC
(21,19),-1.14287 # DEPENDENCYPART_ARC
(21,20),0.875571 # DEPENDENCYPART_ARC
(21,22),0.864582 # DEPENDENCYPART_ARC
(21,23),-0.425206 # DEPENDENCYPART_ARC
(21,25),-0.370461 # DEPENDENCYPART_ARC
(21,27),-1.12065 # DEPENDENCYPART_ARC
(22,18),-0.996923 # DEPENDENCYPART_ARC
(22,20),-1.13416 # DEPENDENCYPART_ARC
(22,21),1.25798 # DEPENDENCYPART_ARC
(22,23),0.206793 # DEPENDENCYPART_ARC
(22,24),-0.333822 # DEPENDENCYPART_ARC
(22,25),-0.432483 # DEPENDENCYPART_ARC
(22,27),-1.40166 # DEPENDENCYPART_ARC
(22,28),-0.721276 # DEPENDENCYPART_ARC
(23,9),-1.99318 # DEPENDENCYPART_ARC
(23,10),-1.75109 # DEPENDENCYPART_ARC
(23,12),-2.01985 # DEPENDENCYPART_ARC
(23,13),-0.670063 # DEPENDENCYPART_ARC
(23,14),-1.37053 # DEPENDENCYPART_ARC
(23,15),-2.06507 # DEPENDENCYPART_ARC
(23,16),-1.24452 # DEPENDENCYPART_ARC
(23,17),-0.143265 # DEPENDENCYPART_ARC
(23,18),-1.02878 # DEPENDENCYPART_ARC
(23,19),-0.85697 # DEPENDENCYPART_ARC
(23,20),0.537551 # DEPENDENCYPART_ARC
(23,21),0.486722 # DEPENDENCYPART_ARC
(23,22),1.80426 # DEPENDENCYPART_ARC
(23,24),-0.755721 # DEPENDENCYPART_ARC
(23,25),-1.44825 # DEPENDENCYPART_ARC
(23,26),-1.57501 # DEPENDENCYPART_ARC
(23,27),-0.993004 # DEPENDENCYPART_ARC
(24,20),-1.62608 # DEPENDENCYPART_ARC
(24,21),-0.43569 # DEPENDENCYPART_ARC
(24,22),-0.463583 # DEPENDENCYPART_ARC
(24,23),1.57509 # DEPENDENCYPART_ARC
(24,25),2.84346 # DEPENDENCYPART_ARC
(24,26),-0.774511 # DEPENDENCYPART_ARC
(24,27),-1.01597 # DEPENDENCYPART_ARC
(24,28),-0.736434 # DEPENDENCYPART_ARC
(25,13),-0.978975 # DEPENDENCYPART_ARC
(25,17),-1.005 # DEPENDENCYPART_ARC
(25,21),-1.46447 # DEPENDENCYPART_ARC
(25,22),-1.04873 # DEPENDENCYPART_ARC
(25,23),0.15441 # DEPENDENCYPART_ARC
(25,24),-0.424011 # DEPENDENCYPART_ARC
(26,1),-0.760207 # DEPENDENCYPART_ARC
(26,2),-1.31465 # DEPENDENCYPART_ARC
(26,4),-1.18037 # DEPENDENCYPART_ARC
(26,6),-1.50763 # DEPENDENCYPART_ARC
(26,7),-1.74801 # DEPENDENCYPART_ARC
(26,8),-2.50773 # DEPENDENCYPART_ARC
(26,9),-1.59654 # DEPENDENCYPART_ARC
(26,10),-0.911942 # DEPENDENCYPART_ARC
(26,12),-1.34472 # DEPENDENCYPART_ARC
(26,13),-0.378721 # DEPENDENCYPART_ARC
(26,14),-1.13178 # DEPENDENCYPART_ARC
(26,15),-1.65421 # DEPENDENCYPART_ARC
(26,16),-0.350144 # DEPENDENCYPART_ARC
(26,17),0.0552539 # DEPENDENCYPART_ARC
(26,18),-0.271103 # DEPENDENCYPART_ARC
(26,19),-0.591292 # DEPENDENCYPART_ARC
(26,20),0.537271 # DEPENDENCYPART_ARC
(26,21),0.231465 # DEPENDENCYPART_ARC
(26,22),0.883572 # DEPENDENCYPART_ARC
(26,23),-0.0843471 # DEPENDENCYPART_ARC
(26,24),1.66142 # DEPENDENCYPART_ARC
(26,25),0.619803 # DEPENDENCYPART_ARC
(26,27),2.03597 # DEPENDENCYPART_ARC
(26,28),0.152562 # DEPENDENCYPART_ARC
(27,24),-0.510453 # DEPENDENCYPART_ARC
(27,25),-0.533797 # DEPENDENCYPART_ARC
(27,26),-0.914212 # DEPENDENCYPART_ARC
(27,28),1.51678 # DEPENDENCYPART_ARC
(28,26),-0.824278 # DEPENDENCYPART_ARC
