# _root_ sabelean kolpeak eman zizkiotela , eta barrabiletatik hartu zutela aurrekoan , deitoratu zuen .
#goldHeads=3,3,6,3,4,12,8,6,8,8,10,0,12,13,
#predictedHeads=3,3,6,3,4,0,8,6,8,12,10,6,12,13,
(0,1),-0.488331 # DEPENDENCYPART_ARC
(0,2),-0.845401 # DEPENDENCYPART_ARC
(0,3),0.42519 # DEPENDENCYPART_ARC
(0,4),-1.03232 # DEPENDENCYPART_ARC
(0,5),-1.16131 # DEPENDENCYPART_ARC
(0,6),0.906579 # DEPENDENCYPART_ARC
(0,7),-1.5299 # DEPENDENCYPART_ARC
(0,8),-0.385915 # DEPENDENCYPART_ARC
(0,9),-1.11019 # DEPENDENCYPART_ARC
(0,10),-2.09413 # DEPENDENCYPART_ARC
(0,11),-0.792639 # DEPENDENCYPART_ARC
(0,12),-0.284264 # DEPENDENCYPART_ARC
(0,13),-0.985386 # DEPENDENCYPART_ARC
(0,14),-2.09989 # DEPENDENCYPART_ARC
(1,2),-0.579849 # DEPENDENCYPART_ARC
(1,3),-2.84357 # DEPENDENCYPART_ARC
(1,4),-3.35861 # DEPENDENCYPART_ARC
(2,1),-0.058856 # DEPENDENCYPART_ARC
(2,3),-1.57087 # DEPENDENCYPART_ARC
(2,4),-0.679826 # DEPENDENCYPART_ARC
(2,5),-0.907235 # DEPENDENCYPART_ARC
(2,6),-1.00922 # DEPENDENCYPART_ARC
(2,7),-2.10192 # DEPENDENCYPART_ARC
(2,9),-0.52466 # DEPENDENCYPART_ARC
(2,12),-2.68855 # DEPENDENCYPART_ARC
(3,1),2.05787 # DEPENDENCYPART_ARC
(3,2),2.22694 # DEPENDENCYPART_ARC
(3,4),1.60443 # DEPENDENCYPART_ARC
(3,5),-0.811367 # DEPENDENCYPART_ARC
(3,6),-0.349364 # DEPENDENCYPART_ARC
(3,7),-0.886292 # DEPENDENCYPART_ARC
(3,8),-0.9688 # DEPENDENCYPART_ARC
(3,9),-1.06369 # DEPENDENCYPART_ARC
