# _root_ agentzien_arabera , bi alderdi abertzaleek lan horretan dihardute egun hauetan , eta oraindik ez dute erabaki osoko zuzenketa aurkeztuko duten .
#goldHeads=12,1,4,8,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
#predictedHeads=8,1,4,6,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
(0,1),-1.20533 # DEPENDENCYPART_ARC
(0,2),-1.17505 # DEPENDENCYPART_ARC
(0,3),-1.47651 # DEPENDENCYPART_ARC
(0,4),-1.49379 # DEPENDENCYPART_ARC
(0,5),-2.25114 # DEPENDENCYPART_ARC
(0,6),-2.02836 # DEPENDENCYPART_ARC
(0,7),-1.89562 # DEPENDENCYPART_ARC
(0,8),0.049133 # DEPENDENCYPART_ARC
(0,10),-2.13877 # DEPENDENCYPART_ARC
(0,11),-0.940756 # DEPENDENCYPART_ARC
(0,12),0.594006 # DEPENDENCYPART_ARC
(0,13),-1.19541 # DEPENDENCYPART_ARC
(0,14),-1.08121 # DEPENDENCYPART_ARC
(0,15),-1.44648 # DEPENDENCYPART_ARC
(0,16),-0.727977 # DEPENDENCYPART_ARC
(0,17),-1.703 # DEPENDENCYPART_ARC
(0,18),-2.83045 # DEPENDENCYPART_ARC
(0,19),-0.869341 # DEPENDENCYPART_ARC
(0,20),-1.57936 # DEPENDENCYPART_ARC
(0,21),-2.76948 # DEPENDENCYPART_ARC
(1,2),-0.180852 # DEPENDENCYPART_ARC
(1,3),-2.10532 # DEPENDENCYPART_ARC
(1,5),-2.4102 # DEPENDENCYPART_ARC
(2,1),-0.520123 # DEPENDENCYPART_ARC
(2,3),-0.548026 # DEPENDENCYPART_ARC
(2,5),-0.900492 # DEPENDENCYPART_ARC
(2,8),-0.269071 # DEPENDENCYPART_ARC
(3,1),-1.24291 # DEPENDENCYPART_ARC
(3,2),-0.800074 # DEPENDENCYPART_ARC
(3,4),-0.255791 # DEPENDENCYPART_ARC
(3,8),-0.568497 # DEPENDENCYPART_ARC
(4,1),-0.474668 # DEPENDENCYPART_ARC
(4,2),-1.045 # DEPENDENCYPART_ARC
(4,3),1.04291 # DEPENDENCYPART_ARC
(4,5),2.38742 # DEPENDENCYPART_ARC
(4,6),-0.261029 # DEPENDENCYPART_ARC
(4,7),0.367885 # DEPENDENCYPART_ARC
(4,9),-0.905303 # DEPENDENCYPART_ARC
(4,12),-0.895922 # DEPENDENCYPART_ARC
(4,19),-1.15798 # DEPENDENCYPART_ARC
(5,1),-1.48692 # DEPENDENCYPART_ARC
(5,4),0.000736088 # DEPENDENCYPART_ARC
(5,6),-0.955289 # DEPENDENCYPART_ARC
(5,7),-1.89225 # DEPENDENCYPART_ARC
(6,1),-1.39873 # DEPENDENCYPART_ARC
(6,2),-1.71334 # DEPENDENCYPART_ARC
(6,3),-0.865656 # DEPENDENCYPART_ARC
(6,4),0.547678 # DEPENDENCYPART_ARC
(6,5),-0.61843 # DEPENDENCYPART_ARC
(6,7),2.45881 # DEPENDENCYPART_ARC
(6,8),-1.1266 # DEPENDENCYPART_ARC
(6,9),-1.02296 # DEPENDENCYPART_ARC
(6,13),-0.963984 # DEPENDENCYPART_ARC
(7,8),-0.386304 # DEPENDENCYPART_ARC
(7,9),-1.19631 # DEPENDENCYPART_ARC
(7,19),-1.5163 # DEPENDENCYPART_ARC
(8,1),0.858836 # DEPENDENCYPART_ARC
(8,2),-1.39858 # DEPENDENCYPART_ARC
(8,3),-0.450358 # DEPENDENCYPART_ARC
(8,4),-0.0285429 # DEPENDENCYPART_ARC
(8,5),-0.665763 # DEPENDENCYPART_ARC
(8,6),1.37974 # DEPENDENCYPART_ARC
(8,7),0.00941196 # DEPENDENCYPART_ARC
(8,9),0.857932 # DEPENDENCYPART_ARC
(8,11),-0.387643 # DEPENDENCYPART_ARC
(8,12),-0.895656 # DEPENDENCYPART_ARC
(8,13),-0.626656 # DEPENDENCYPART_ARC
(8,14),-0.71566 # DEPENDENCYPART_ARC
(8,15),-1.48495 # DEPENDENCYPART_ARC
(8,16),-0.915935 # DEPENDENCYPART_ARC
(8,18),-0.494585 # DEPENDENCYPART_ARC
(8,19),-1.03143 # DEPENDENCYPART_ARC
(8,20),-1.15689 # DEPENDENCYPART_ARC
(9,2),-2.02205 # DEPENDENCYPART_ARC
(9,3),-1.3633 # DEPENDENCYPART_ARC
(9,4),-0.920039 # DEPENDENCYPART_ARC
(9,5),-2.18421 # DEPENDENCYPART_ARC
(9,6),-0.590513 # DEPENDENCYPART_ARC
(9,7),-1.57341 # DEPENDENCYPART_ARC
(9,8),-0.391404 # DEPENDENCYPART_ARC
(9,10),1.69704 # DEPENDENCYPART_ARC
(9,11),-0.52883 # DEPENDENCYPART_ARC
(9,12),-0.693716 # DEPENDENCYPART_ARC
(9,13),-1.19276 # DEPENDENCYPART_ARC
(9,15),-1.83651 # DEPENDENCYPART_ARC
(9,16),-1.17876 # DEPENDENCYPART_ARC
(9,19),-1.35092 # DEPENDENCYPART_ARC
(9,21),-1.24893 # DEPENDENCYPART_ARC
(10,11),1.3326 # DEPENDENCYPART_ARC
(10,16),-1.59283 # DEPENDENCYPART_ARC
(10,18),-1.48446 # DEPENDENCYPART_ARC
(10,19),-1.58647 # DEPENDENCYPART_ARC
(11,8),-0.486333 # DEPENDENCYPART_ARC
(11,12),-0.806376 # DEPENDENCYPART_ARC
(12,1),-1.79968 # DEPENDENCYPART_ARC
(12,3),-0.682971 # DEPENDENCYPART_ARC
(12,4),-1.55438 # DEPENDENCYPART_ARC
(12,6),-1.00297 # DEPENDENCYPART_ARC
(12,7),-1.32395 # DEPENDENCYPART_ARC
(12,8),1.03724 # DEPENDENCYPART_ARC
(12,9),-0.139843 # DEPENDENCYPART_ARC
(12,10),-0.831179 # DEPENDENCYPART_ARC
(12,11),-0.37804 # DEPENDENCYPART_ARC
(12,13),-0.445889 # DEPENDENCYPART_ARC
(12,14),-0.561996 # DEPENDENCYPART_ARC
(12,15),-0.532477 # DEPENDENCYPART_ARC
(12,16),0.511678 # DEPENDENCYPART_ARC
(12,18),-0.207796 # DEPENDENCYPART_ARC
(12,19),0.159223 # DEPENDENCYPART_ARC
(13,12),-1.02828 # DEPENDENCYPART_ARC
(13,14),-0.425742 # DEPENDENCYPART_ARC
(13,18),-1.1288 # DEPENDENCYPART_ARC
(14,9),-1.58612 # DEPENDENCYPART_ARC
(14,16),-0.917648 # DEPENDENCYPART_ARC
(14,18),-1.1184 # DEPENDENCYPART_ARC
(14,19),-0.938844 # DEPENDENCYPART_ARC
(15,6),-0.421529 # DEPENDENCYPART_ARC
(15,12),-0.79161 # DEPENDENCYPART_ARC
(15,13),-0.376706 # DEPENDENCYPART_ARC
(15,14),0.123149 # DEPENDENCYPART_ARC
(15,16),-1.43029 # DEPENDENCYPART_ARC
(15,17),-1.20274 # DEPENDENCYPART_ARC
(15,20),-1.56594 # DEPENDENCYPART_ARC
(16,1),-0.845206 # DEPENDENCYPART_ARC
(16,2),-1.265 # DEPENDENCYPART_ARC
(16,4),-1.02807 # DEPENDENCYPART_ARC
(16,5),-0.641541 # DEPENDENCYPART_ARC
(16,6),-1.12572 # DEPENDENCYPART_ARC
(16,7),-1.05539 # DEPENDENCYPART_ARC
(16,8),-0.385727 # DEPENDENCYPART_ARC
(16,9),-0.447471 # DEPENDENCYPART_ARC
(16,10),-1.01348 # DEPENDENCYPART_ARC
(16,11),-1.27434 # DEPENDENCYPART_ARC
(16,12),-0.32547 # DEPENDENCYPART_ARC
(16,13),0.265419 # DEPENDENCYPART_ARC
(16,14),0.796286 # DEPENDENCYPART_ARC
(16,15),0.720563 # DEPENDENCYPART_ARC
(16,17),1.00674 # DEPENDENCYPART_ARC
(16,18),0.713497 # DEPENDENCYPART_ARC
(16,19),0.815029 # DEPENDENCYPART_ARC
(16,20),0.41473 # DEPENDENCYPART_ARC
(17,9),-1.52036 # DEPENDENCYPART_ARC
(17,13),-0.723816 # DEPENDENCYPART_ARC
(17,16),0.37054 # DEPENDENCYPART_ARC
(17,18),-0.015338 # DEPENDENCYPART_ARC
(18,4),-0.779767 # DEPENDENCYPART_ARC
(18,5),-2.92122 # DEPENDENCYPART_ARC
(18,6),-0.869123 # DEPENDENCYPART_ARC
(18,9),-0.967154 # DEPENDENCYPART_ARC
(18,10),-2.87957 # DEPENDENCYPART_ARC
(18,11),-1.42975 # DEPENDENCYPART_ARC
(18,12),-1.42229 # DEPENDENCYPART_ARC
(18,13),-1.16411 # DEPENDENCYPART_ARC
(18,14),-0.683516 # DEPENDENCYPART_ARC
(18,16),0.35787 # DEPENDENCYPART_ARC
(18,17),1.73143 # DEPENDENCYPART_ARC
(18,19),-0.690347 # DEPENDENCYPART_ARC
(18,20),-1.56563 # DEPENDENCYPART_ARC
(18,21),-0.965062 # DEPENDENCYPART_ARC
(19,1),-1.54395 # DEPENDENCYPART_ARC
(19,4),-0.85053 # DEPENDENCYPART_ARC
(19,5),-0.733242 # DEPENDENCYPART_ARC
(19,6),-1.16747 # DEPENDENCYPART_ARC
(19,7),-1.02397 # DEPENDENCYPART_ARC
(19,8),-1.88501 # DEPENDENCYPART_ARC
(19,9),-0.555868 # DEPENDENCYPART_ARC
(19,10),-1.04151 # DEPENDENCYPART_ARC
(19,11),-1.53404 # DEPENDENCYPART_ARC
(19,12),-0.755084 # DEPENDENCYPART_ARC
