# _root_ halaber , batzarkide eta parlamentario ugari ere agertu ziren hitzordura , eta hainbat euskal_erakunde nazionaletako ordezkariek ongi etorria eman zioten ekimenari .
#goldHeads=0,3,4,8,4,4,0,12,8,8,10,0,16,16,16,19,19,17,12,19,19,21,
#predictedHeads=0,3,4,8,4,5,0,12,8,8,10,0,14,16,14,19,19,19,12,19,19,21,
(0,1),1.34693 # DEPENDENCYPART_ARC
(0,2),-1.4193 # DEPENDENCYPART_ARC
(0,3),-0.825131 # DEPENDENCYPART_ARC
(0,4),-0.823349 # DEPENDENCYPART_ARC
(0,5),-0.814454 # DEPENDENCYPART_ARC
(0,6),-1.89592 # DEPENDENCYPART_ARC
(0,7),1.49238 # DEPENDENCYPART_ARC
(0,8),0.404632 # DEPENDENCYPART_ARC
(0,9),-1.37412 # DEPENDENCYPART_ARC
(0,10),-1.41876 # DEPENDENCYPART_ARC
(0,11),-1.11377 # DEPENDENCYPART_ARC
(0,12),0.913677 # DEPENDENCYPART_ARC
(0,15),-2.33619 # DEPENDENCYPART_ARC
(0,17),-0.780595 # DEPENDENCYPART_ARC
(0,19),-0.608869 # DEPENDENCYPART_ARC
(0,20),-1.80312 # DEPENDENCYPART_ARC
(0,21),-2.65113 # DEPENDENCYPART_ARC
(0,22),-3.30855 # DEPENDENCYPART_ARC
(1,2),-1.0004 # DEPENDENCYPART_ARC
(1,3),-2.83451 # DEPENDENCYPART_ARC
(1,7),-2.3197 # DEPENDENCYPART_ARC
(2,3),-1.09538 # DEPENDENCYPART_ARC
(2,6),-1.49845 # DEPENDENCYPART_ARC
(3,2),-0.098524 # DEPENDENCYPART_ARC
(3,5),-0.619533 # DEPENDENCYPART_ARC
(3,6),-0.204297 # DEPENDENCYPART_ARC
(3,7),-1.09449 # DEPENDENCYPART_ARC
(3,9),-1.2639 # DEPENDENCYPART_ARC
(3,13),-1.50509 # DEPENDENCYPART_ARC
(4,2),-1.32533 # DEPENDENCYPART_ARC
(4,3),2.64531 # DEPENDENCYPART_ARC
(4,5),1.87028 # DEPENDENCYPART_ARC
(4,6),-0.567408 # DEPENDENCYPART_ARC
(4,7),-0.129247 # DEPENDENCYPART_ARC
(4,8),0.214875 # DEPENDENCYPART_ARC
(4,10),-0.520193 # DEPENDENCYPART_ARC
(4,11),-1.00447 # DEPENDENCYPART_ARC
(4,12),-0.754912 # DEPENDENCYPART_ARC
(4,14),-0.691422 # DEPENDENCYPART_ARC
(4,16),0.897711 # DEPENDENCYPART_ARC
(4,18),-0.102025 # DEPENDENCYPART_ARC
(4,19),-0.996641 # DEPENDENCYPART_ARC
(4,21),-1.02391 # DEPENDENCYPART_ARC
(5,2),-2.35189 # DEPENDENCYPART_ARC
(5,3),-0.829721 # DEPENDENCYPART_ARC
(5,4),-0.400464 # DEPENDENCYPART_ARC
(5,6),1.94733 # DEPENDENCYPART_ARC
(5,7),-0.577048 # DEPENDENCYPART_ARC
(5,9),-1.30949 # DEPENDENCYPART_ARC
(5,13),-1.26315 # DEPENDENCYPART_ARC
(6,4),-0.205357 # DEPENDENCYPART_ARC
(6,5),-0.389357 # DEPENDENCYPART_ARC
(6,8),-1.4908 # DEPENDENCYPART_ARC
(7,8),-0.907971 # DEPENDENCYPART_ARC
(7,10),-1.69176 # DEPENDENCYPART_ARC
(7,12),-1.02996 # DEPENDENCYPART_ARC
(8,1),-0.180847 # DEPENDENCYPART_ARC
(8,2),-1.44245 # DEPENDENCYPART_ARC
(8,3),-0.300728 # DEPENDENCYPART_ARC
(8,4),0.317177 # DEPENDENCYPART_ARC
(8,5),0.725923 # DEPENDENCYPART_ARC
(8,6),-0.248089 # DEPENDENCYPART_ARC
(8,7),-0.0670091 # DEPENDENCYPART_ARC
(8,9),1.65751 # DEPENDENCYPART_ARC
(8,10),1.36512 # DEPENDENCYPART_ARC
(8,11),-0.555632 # DEPENDENCYPART_ARC
(8,12),-0.35071 # DEPENDENCYPART_ARC
(8,13),-0.747801 # DEPENDENCYPART_ARC
(8,14),-0.997291 # DEPENDENCYPART_ARC
(8,15),-1.37679 # DEPENDENCYPART_ARC
(8,16),-0.835624 # DEPENDENCYPART_ARC
(8,17),-1.13844 # DEPENDENCYPART_ARC
(8,18),-1.14857 # DEPENDENCYPART_ARC
(8,19),-0.782322 # DEPENDENCYPART_ARC
(8,20),-0.341653 # DEPENDENCYPART_ARC
(8,21),-0.570431 # DEPENDENCYPART_ARC
(9,10),-0.280947 # DEPENDENCYPART_ARC
(10,3),-1.27742 # DEPENDENCYPART_ARC
(10,4),-0.806394 # DEPENDENCYPART_ARC
(10,5),-0.830074 # DEPENDENCYPART_ARC
(10,8),-0.378404 # DEPENDENCYPART_ARC
(10,9),-0.991739 # DEPENDENCYPART_ARC
(10,11),1.46357 # DEPENDENCYPART_ARC
(10,12),-0.672289 # DEPENDENCYPART_ARC
(10,13),-1.82571 # DEPENDENCYPART_ARC
(10,14),-1.06488 # DEPENDENCYPART_ARC
(10,15),-2.26576 # DEPENDENCYPART_ARC
(10,17),-0.971944 # DEPENDENCYPART_ARC
(10,19),-2.62587 # DEPENDENCYPART_ARC
(10,22),-0.317503 # DEPENDENCYPART_ARC
(11,8),-0.290328 # DEPENDENCYPART_ARC
(11,9),-1.05397 # DEPENDENCYPART_ARC
(11,12),-0.586378 # DEPENDENCYPART_ARC
(11,13),-1.4662 # DEPENDENCYPART_ARC
(11,19),-1.68004 # DEPENDENCYPART_ARC
(12,3),-0.770243 # DEPENDENCYPART_ARC
(12,4),-0.13942 # DEPENDENCYPART_ARC
(12,5),-0.821072 # DEPENDENCYPART_ARC
(12,8),1.86675 # DEPENDENCYPART_ARC
(12,9),-0.395134 # DEPENDENCYPART_ARC
(12,10),-0.116494 # DEPENDENCYPART_ARC
(12,11),-0.0671832 # DEPENDENCYPART_ARC
(12,13),-0.431581 # DEPENDENCYPART_ARC
(12,14),-0.242392 # DEPENDENCYPART_ARC
(12,15),-0.686335 # DEPENDENCYPART_ARC
(12,16),1.07952 # DEPENDENCYPART_ARC
(12,18),-0.161281 # DEPENDENCYPART_ARC
(12,19),0.975816 # DEPENDENCYPART_ARC
(12,21),-0.724166 # DEPENDENCYPART_ARC
(13,12),-0.822253 # DEPENDENCYPART_ARC
(13,14),-0.528478 # DEPENDENCYPART_ARC
(13,16),-0.329957 # DEPENDENCYPART_ARC
(14,4),-1.28135 # DEPENDENCYPART_ARC
(14,5),-1.18236 # DEPENDENCYPART_ARC
(14,8),-0.872823 # DEPENDENCYPART_ARC
(14,10),-0.876944 # DEPENDENCYPART_ARC
(14,11),-1.21255 # DEPENDENCYPART_ARC
(14,12),-0.511342 # DEPENDENCYPART_ARC
(14,13),1.09914 # DEPENDENCYPART_ARC
(14,15),1.95424 # DEPENDENCYPART_ARC
(14,16),-0.416444 # DEPENDENCYPART_ARC
(14,17),-0.841839 # DEPENDENCYPART_ARC
(14,18),-0.934007 # DEPENDENCYPART_ARC
(14,19),-1.22772 # DEPENDENCYPART_ARC
(14,20),-1.34927 # DEPENDENCYPART_ARC
(14,21),-1.19597 # DEPENDENCYPART_ARC
(14,22),-0.704966 # DEPENDENCYPART_ARC
