# _root_ agian , ileordedunak biak garbituko zituen , gerard eta kurt ! .
#goldHeads=5,3,5,5,0,5,6,9,4,9,10,11,
#predictedHeads=5,3,5,5,0,5,6,9,5,9,0,11,
(0,1),-0.0828444 # DEPENDENCYPART_ARC
(0,2),-1.34837 # DEPENDENCYPART_ARC
(0,3),-1.53869 # DEPENDENCYPART_ARC
(0,4),-2.00298 # DEPENDENCYPART_ARC
(0,5),0.112526 # DEPENDENCYPART_ARC
(0,6),-0.765145 # DEPENDENCYPART_ARC
(0,7),-0.631171 # DEPENDENCYPART_ARC
(0,8),-1.43685 # DEPENDENCYPART_ARC
(0,9),-0.804535 # DEPENDENCYPART_ARC
(0,10),-1.35468 # DEPENDENCYPART_ARC
(0,12),-1.19789 # DEPENDENCYPART_ARC
(1,2),-0.519131 # DEPENDENCYPART_ARC
(1,7),-1.38144 # DEPENDENCYPART_ARC
(1,8),-1.67581 # DEPENDENCYPART_ARC
(1,9),-1.46134 # DEPENDENCYPART_ARC
(2,3),-0.349342 # DEPENDENCYPART_ARC
(2,4),-1.17308 # DEPENDENCYPART_ARC
(2,5),-0.76508 # DEPENDENCYPART_ARC
(3,1),-0.347112 # DEPENDENCYPART_ARC
(3,2),-0.13929 # DEPENDENCYPART_ARC
(3,4),-0.79282 # DEPENDENCYPART_ARC
(3,5),-1.69973 # DEPENDENCYPART_ARC
(3,9),-1.19499 # DEPENDENCYPART_ARC
(4,1),-0.594428 # DEPENDENCYPART_ARC
(5,1),0.630962 # DEPENDENCYPART_ARC
(5,2),-0.408511 # DEPENDENCYPART_ARC
(5,3),0.774066 # DEPENDENCYPART_ARC
(5,4),0.572916 # DEPENDENCYPART_ARC
(5,6),1.62012 # DEPENDENCYPART_ARC
(5,7),-0.331938 # DEPENDENCYPART_ARC
(5,8),-0.924431 # DEPENDENCYPART_ARC
(5,9),-0.0807089 # DEPENDENCYPART_ARC
(5,10),0.110815 # DEPENDENCYPART_ARC
(6,4),-0.302931 # DEPENDENCYPART_ARC
(6,5),-1.29558 # DEPENDENCYPART_ARC
(6,7),1.2425 # DEPENDENCYPART_ARC
(6,9),-1.36433 # DEPENDENCYPART_ARC
(7,5),-0.14731 # DEPENDENCYPART_ARC
(7,6),-0.0350534 # DEPENDENCYPART_ARC
(7,9),-1.09023 # DEPENDENCYPART_ARC
(8,5),-2.2727 # DEPENDENCYPART_ARC
(8,7),-0.574405 # DEPENDENCYPART_ARC
(8,10),-0.344945 # DEPENDENCYPART_ARC
(9,1),-1.17994 # DEPENDENCYPART_ARC
(9,4),-1.72691 # DEPENDENCYPART_ARC
(9,5),0.0664836 # DEPENDENCYPART_ARC
(9,6),-1.08791 # DEPENDENCYPART_ARC
(9,7),-1.43828 # DEPENDENCYPART_ARC
(9,8),2.84482 # DEPENDENCYPART_ARC
(9,10),1.75028 # DEPENDENCYPART_ARC
(11,12),1.64264 # DEPENDENCYPART_ARC
(12,9),-1.04188 # DEPENDENCYPART_ARC
(0,11),0.0359859 # DEPENDENCYPART_ARC
