# _root_ bestalde , urretxun ehrekiko ituna hautsi bazuen , zergatik udalbiltzan ez duen gauza bera proposatu galdetu zion .
#goldHeads=0,3,6,5,6,15,6,7,15,15,15,15,15,13,16,0,16,17,
#predictedHeads=0,3,6,5,6,13,6,7,16,15,15,15,15,13,16,0,16,17,
(0,1),1.34019 # DEPENDENCYPART_ARC
(0,2),-1.4432 # DEPENDENCYPART_ARC
(0,3),-1.0427 # DEPENDENCYPART_ARC
(0,4),-0.722328 # DEPENDENCYPART_ARC
(0,5),-0.731512 # DEPENDENCYPART_ARC
(0,6),-0.410736 # DEPENDENCYPART_ARC
(0,7),-1.27989 # DEPENDENCYPART_ARC
(0,8),-1.32681 # DEPENDENCYPART_ARC
(0,9),-1.38541 # DEPENDENCYPART_ARC
(0,10),-1.57885 # DEPENDENCYPART_ARC
(0,11),-1.57702 # DEPENDENCYPART_ARC
(0,12),-0.839669 # DEPENDENCYPART_ARC
(0,13),-1.94443 # DEPENDENCYPART_ARC
(0,15),-2.09423 # DEPENDENCYPART_ARC
(0,16),0.17392 # DEPENDENCYPART_ARC
(0,17),-1.25937 # DEPENDENCYPART_ARC
(0,18),-2.91327 # DEPENDENCYPART_ARC
(1,2),-1.14161 # DEPENDENCYPART_ARC
(1,6),-2.92085 # DEPENDENCYPART_ARC
(2,6),-1.83722 # DEPENDENCYPART_ARC
(2,15),-2.6189 # DEPENDENCYPART_ARC
(2,16),-2.4282 # DEPENDENCYPART_ARC
(3,2),-0.430387 # DEPENDENCYPART_ARC
(3,4),0.819622 # DEPENDENCYPART_ARC
(3,5),-1.16438 # DEPENDENCYPART_ARC
(4,2),-1.55739 # DEPENDENCYPART_ARC
(4,3),-4.25825 # DEPENDENCYPART_ARC
(4,5),-0.965808 # DEPENDENCYPART_ARC
(5,2),-1.32023 # DEPENDENCYPART_ARC
(5,3),-1.25812 # DEPENDENCYPART_ARC
(5,4),1.90913 # DEPENDENCYPART_ARC
(5,6),-1.63228 # DEPENDENCYPART_ARC
(5,7),-0.958158 # DEPENDENCYPART_ARC
(5,8),-1.01878 # DEPENDENCYPART_ARC
(5,10),-2.91256 # DEPENDENCYPART_ARC
(5,12),-2.86889 # DEPENDENCYPART_ARC
(5,15),-2.33167 # DEPENDENCYPART_ARC
(5,16),-3.0177 # DEPENDENCYPART_ARC
(6,1),-0.1852 # DEPENDENCYPART_ARC
(6,2),-1.65372 # DEPENDENCYPART_ARC
(6,3),1.30934 # DEPENDENCYPART_ARC
(6,4),1.80036 # DEPENDENCYPART_ARC
(6,5),2.11498 # DEPENDENCYPART_ARC
(6,7),1.81863 # DEPENDENCYPART_ARC
(6,8),-0.528399 # DEPENDENCYPART_ARC
(6,10),-0.332708 # DEPENDENCYPART_ARC
(6,11),-0.842152 # DEPENDENCYPART_ARC
(6,12),-0.653874 # DEPENDENCYPART_ARC
(6,13),-1.11262 # DEPENDENCYPART_ARC
(6,15),-1.0872 # DEPENDENCYPART_ARC
(6,16),-1.00145 # DEPENDENCYPART_ARC
(6,17),-0.664022 # DEPENDENCYPART_ARC
(7,4),-1.29701 # DEPENDENCYPART_ARC
(7,5),-0.777225 # DEPENDENCYPART_ARC
(7,8),1.81713 # DEPENDENCYPART_ARC
(7,10),-0.751287 # DEPENDENCYPART_ARC
