# _root_ era_berean , beti erabiltzeko prest edukiko dituen goiz , eguerdi eta gauerako opari ekitaldietarako beharrezko gaiak zainduko ditu lorategian .
#goldHeads=0,1,6,5,6,16,6,11,8,11,14,11,14,16,16,17,0,17,17,19,
#predictedHeads=17,1,4,6,6,8,6,11,8,11,17,11,14,16,16,17,0,17,17,19,
(0,1),0.12722 # DEPENDENCYPART_ARC
(0,2),-1.44713 # DEPENDENCYPART_ARC
(0,3),-0.809809 # DEPENDENCYPART_ARC
(0,4),-0.822679 # DEPENDENCYPART_ARC
(0,5),-0.963556 # DEPENDENCYPART_ARC
(0,6),0.240733 # DEPENDENCYPART_ARC
(0,7),-0.156149 # DEPENDENCYPART_ARC
(0,8),-1.38784 # DEPENDENCYPART_ARC
(0,9),-1.21507 # DEPENDENCYPART_ARC
(0,11),-0.990747 # DEPENDENCYPART_ARC
(0,13),-1.07872 # DEPENDENCYPART_ARC
(0,14),-1.71064 # DEPENDENCYPART_ARC
(0,16),-1.57736 # DEPENDENCYPART_ARC
(0,17),-0.53927 # DEPENDENCYPART_ARC
(0,18),-0.510641 # DEPENDENCYPART_ARC
(0,19),-2.24363 # DEPENDENCYPART_ARC
(0,20),-3.08018 # DEPENDENCYPART_ARC
(1,2),0.510731 # DEPENDENCYPART_ARC
(1,3),-0.770339 # DEPENDENCYPART_ARC
(1,5),-1.04868 # DEPENDENCYPART_ARC
(2,4),-1.30148 # DEPENDENCYPART_ARC
(2,6),-1.28959 # DEPENDENCYPART_ARC
(2,17),-2.10998 # DEPENDENCYPART_ARC
(3,1),-0.710297 # DEPENDENCYPART_ARC
(3,2),-0.0389822 # DEPENDENCYPART_ARC
(3,4),-0.404216 # DEPENDENCYPART_ARC
(3,5),-0.749514 # DEPENDENCYPART_ARC
(3,9),-0.564261 # DEPENDENCYPART_ARC
(4,1),0.0156073 # DEPENDENCYPART_ARC
(4,2),-1.21 # DEPENDENCYPART_ARC
(4,3),1.00073 # DEPENDENCYPART_ARC
(4,5),0.0988624 # DEPENDENCYPART_ARC
(4,6),-1.84527 # DEPENDENCYPART_ARC
(4,7),-2.60403 # DEPENDENCYPART_ARC
(4,8),-1.28218 # DEPENDENCYPART_ARC
(4,9),-1.54562 # DEPENDENCYPART_ARC
(4,10),-1.89879 # DEPENDENCYPART_ARC
(4,11),-0.979327 # DEPENDENCYPART_ARC
(4,12),-4.08756 # DEPENDENCYPART_ARC
