# _root_ herri bazkarian bapo jan ostean , ezkio-itsaso eta legazpi pasa , eta zumarraga-urretxura iritsi ziren .
#goldHeads=2,4,4,12,4,5,8,10,8,12,10,0,14,12,14,15,
#predictedHeads=2,4,4,12,4,5,8,10,10,12,10,0,14,12,14,15,
(0,1),-0.662295 # DEPENDENCYPART_ARC
(0,2),-1.25125 # DEPENDENCYPART_ARC
(0,3),-0.969109 # DEPENDENCYPART_ARC
(0,4),-1.05807 # DEPENDENCYPART_ARC
(0,5),-1.87535 # DEPENDENCYPART_ARC
(0,6),-1.27026 # DEPENDENCYPART_ARC
(0,7),-1.50397 # DEPENDENCYPART_ARC
(0,8),-1.50875 # DEPENDENCYPART_ARC
(0,9),-1.43268 # DEPENDENCYPART_ARC
(0,10),-0.252237 # DEPENDENCYPART_ARC
(0,11),-1.35765 # DEPENDENCYPART_ARC
(0,12),0.118197 # DEPENDENCYPART_ARC
(0,13),-1.84667 # DEPENDENCYPART_ARC
(0,14),-1.21142 # DEPENDENCYPART_ARC
(0,15),-1.36187 # DEPENDENCYPART_ARC
(0,16),-2.75708 # DEPENDENCYPART_ARC
(1,2),0.494083 # DEPENDENCYPART_ARC
(1,3),-0.561033 # DEPENDENCYPART_ARC
(1,7),-1.20365 # DEPENDENCYPART_ARC
(1,9),-1.23034 # DEPENDENCYPART_ARC
(2,1),1.84939 # DEPENDENCYPART_ARC
(2,3),-0.274059 # DEPENDENCYPART_ARC
(2,4),-1.4286 # DEPENDENCYPART_ARC
(2,5),-1.8093 # DEPENDENCYPART_ARC
(2,7),-2.11934 # DEPENDENCYPART_ARC
(2,8),-1.68915 # DEPENDENCYPART_ARC
(2,9),-2.76109 # DEPENDENCYPART_ARC
(2,12),-1.72123 # DEPENDENCYPART_ARC
(3,1),-0.666582 # DEPENDENCYPART_ARC
(3,2),-0.105721 # DEPENDENCYPART_ARC
(3,4),-0.133629 # DEPENDENCYPART_ARC
(3,5),-0.597037 # DEPENDENCYPART_ARC
(3,6),-0.244144 # DEPENDENCYPART_ARC
(3,8),-0.875631 # DEPENDENCYPART_ARC
(3,12),-0.923166 # DEPENDENCYPART_ARC
(4,1),0.22316 # DEPENDENCYPART_ARC
(4,2),1.71209 # DEPENDENCYPART_ARC
(4,3),1.3134 # DEPENDENCYPART_ARC
(4,5),1.93179 # DEPENDENCYPART_ARC
