# _root_ haren ustez , eaj eta eaeko gobernua dira askatasun faltaren arduradunak , " etak finkatutako ildoak jarraitzen dituztelako " .
#goldHeads=2,8,2,5,7,5,8,0,10,11,8,11,12,15,16,17,8,17,18,19,
#predictedHeads=2,17,2,5,8,5,8,0,10,11,5,11,12,15,16,17,8,17,18,19,
(0,1),-1.13853 # DEPENDENCYPART_ARC
(0,2),-0.996414 # DEPENDENCYPART_ARC
(0,3),-1.28399 # DEPENDENCYPART_ARC
(0,4),-0.962277 # DEPENDENCYPART_ARC
(0,5),-0.850966 # DEPENDENCYPART_ARC
(0,6),-1.28109 # DEPENDENCYPART_ARC
(0,7),-1.06162 # DEPENDENCYPART_ARC
(0,8),0.348664 # DEPENDENCYPART_ARC
(0,9),-1.31484 # DEPENDENCYPART_ARC
(0,10),-0.940913 # DEPENDENCYPART_ARC
(0,11),-1.03903 # DEPENDENCYPART_ARC
(0,12),-1.73992 # DEPENDENCYPART_ARC
(0,13),-2.94188 # DEPENDENCYPART_ARC
(0,14),-1.65148 # DEPENDENCYPART_ARC
(0,15),-1.71901 # DEPENDENCYPART_ARC
(0,16),-1.42849 # DEPENDENCYPART_ARC
(0,17),-0.65185 # DEPENDENCYPART_ARC
(0,18),-1.69645 # DEPENDENCYPART_ARC
(0,19),-4.1632 # DEPENDENCYPART_ARC
(0,20),-3.00552 # DEPENDENCYPART_ARC
(2,1),0.374756 # DEPENDENCYPART_ARC
(2,3),1.20321 # DEPENDENCYPART_ARC
(2,4),-0.948774 # DEPENDENCYPART_ARC
(2,5),-0.73167 # DEPENDENCYPART_ARC
(2,7),-1.08362 # DEPENDENCYPART_ARC
(2,9),-1.05236 # DEPENDENCYPART_ARC
(2,10),-1.08866 # DEPENDENCYPART_ARC
(3,8),-1.05729 # DEPENDENCYPART_ARC
(4,3),-0.0982241 # DEPENDENCYPART_ARC
(4,6),-1.85517 # DEPENDENCYPART_ARC
(5,1),-1.39131 # DEPENDENCYPART_ARC
(5,2),-0.537162 # DEPENDENCYPART_ARC
(5,3),-1.23447 # DEPENDENCYPART_ARC
(5,4),3.33079 # DEPENDENCYPART_ARC
(5,6),2.15833 # DEPENDENCYPART_ARC
(5,7),0.942122 # DEPENDENCYPART_ARC
(5,8),0.130959 # DEPENDENCYPART_ARC
(5,9),-0.925677 # DEPENDENCYPART_ARC
(5,10),-0.883845 # DEPENDENCYPART_ARC
(5,11),0.00241023 # DEPENDENCYPART_ARC
(5,12),-1.42685 # DEPENDENCYPART_ARC
(5,15),-1.71352 # DEPENDENCYPART_ARC
(5,16),-0.643306 # DEPENDENCYPART_ARC
(5,17),-1.58167 # DEPENDENCYPART_ARC
(6,3),-2.93474 # DEPENDENCYPART_ARC
(6,4),-5.6556 # DEPENDENCYPART_ARC
(6,7),-0.707741 # DEPENDENCYPART_ARC
(7,1),-1.11561 # DEPENDENCYPART_ARC
(7,2),-0.823094 # DEPENDENCYPART_ARC
(7,3),-1.11393 # DEPENDENCYPART_ARC
(7,4),-0.758597 # DEPENDENCYPART_ARC
(7,5),0.475549 # DEPENDENCYPART_ARC
(7,6),2.05284 # DEPENDENCYPART_ARC
(7,8),-1.26432 # DEPENDENCYPART_ARC
(7,9),-1.1858 # DEPENDENCYPART_ARC
(7,10),-1.54972 # DEPENDENCYPART_ARC
(7,11),-1.62831 # DEPENDENCYPART_ARC
