# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,8,5,6,28,8,9,5,11,14,28,14,15,14,17,0,19,20,23,28,23,26,28,26,21,28,
(0,1),0.543872 # DEPENDENCYPART_ARC
(0,2),-1.4165 # DEPENDENCYPART_ARC
(0,3),-2.47758 # DEPENDENCYPART_ARC
(0,4),-0.786629 # DEPENDENCYPART_ARC
(0,5),-0.384113 # DEPENDENCYPART_ARC
(0,6),-0.629167 # DEPENDENCYPART_ARC
(0,7),-1.60459 # DEPENDENCYPART_ARC
(0,8),-1.74415 # DEPENDENCYPART_ARC
(0,9),-1.33694 # DEPENDENCYPART_ARC
(0,10),-0.980337 # DEPENDENCYPART_ARC
(0,11),-1.51647 # DEPENDENCYPART_ARC
(0,12),-0.584435 # DEPENDENCYPART_ARC
(0,16),-1.19725 # DEPENDENCYPART_ARC
(0,17),-2.13986 # DEPENDENCYPART_ARC
(0,18),-0.859263 # DEPENDENCYPART_ARC
(0,19),0.844492 # DEPENDENCYPART_ARC
(0,20),-1.90705 # DEPENDENCYPART_ARC
(0,21),-1.13713 # DEPENDENCYPART_ARC
(0,22),-2.19351 # DEPENDENCYPART_ARC
(0,24),-2.56228 # DEPENDENCYPART_ARC
(0,25),-2.473 # DEPENDENCYPART_ARC
(0,26),-3.22772 # DEPENDENCYPART_ARC
(0,27),-2.00608 # DEPENDENCYPART_ARC
(0,28),-2.05538 # DEPENDENCYPART_ARC
(0,29),-2.81228 # DEPENDENCYPART_ARC
(1,5),-0.322155 # DEPENDENCYPART_ARC
(1,6),0.486478 # DEPENDENCYPART_ARC
(1,7),-0.646079 # DEPENDENCYPART_ARC
(1,8),-1.65063 # DEPENDENCYPART_ARC
(1,19),-1.50418 # DEPENDENCYPART_ARC
(2,3),0.0784327 # DEPENDENCYPART_ARC
