# _root_ " bizitzeko eskubidearen errespetuak du orain lehentasuna ; indarkeria desagertuta , edozertaz hitz_egin ahal_izango dugu " , dio .
#goldHeads=0,3,4,5,8,5,5,18,10,14,10,13,14,8,14,15,16,0,18,
#predictedHeads=0,3,4,5,0,5,5,7,10,14,10,0,14,5,14,15,16,0,18,
(0,1),0.726958 # DEPENDENCYPART_ARC
(0,2),-0.839896 # DEPENDENCYPART_ARC
(0,3),-0.780651 # DEPENDENCYPART_ARC
(0,4),-1.09678 # DEPENDENCYPART_ARC
(0,5),-0.013265 # DEPENDENCYPART_ARC
(0,6),-1.47711 # DEPENDENCYPART_ARC
(0,7),-0.842074 # DEPENDENCYPART_ARC
(0,8),-0.340629 # DEPENDENCYPART_ARC
(0,9),-0.786716 # DEPENDENCYPART_ARC
(0,10),-1.12172 # DEPENDENCYPART_ARC
(0,11),-0.919485 # DEPENDENCYPART_ARC
(0,13),-0.17263 # DEPENDENCYPART_ARC
(0,14),-0.372588 # DEPENDENCYPART_ARC
(0,15),-1.58534 # DEPENDENCYPART_ARC
(0,16),-2.69866 # DEPENDENCYPART_ARC
(0,17),-0.905143 # DEPENDENCYPART_ARC
(0,18),0.310038 # DEPENDENCYPART_ARC
(0,19),-2.36183 # DEPENDENCYPART_ARC
(1,2),-1.80112 # DEPENDENCYPART_ARC
(2,3),-1.62367 # DEPENDENCYPART_ARC
(2,4),-1.70373 # DEPENDENCYPART_ARC
(2,5),-2.02455 # DEPENDENCYPART_ARC
(2,6),-1.49729 # DEPENDENCYPART_ARC
(2,7),-1.70464 # DEPENDENCYPART_ARC
(2,10),-1.11288 # DEPENDENCYPART_ARC
(2,11),-0.849658 # DEPENDENCYPART_ARC
(2,13),-1.57663 # DEPENDENCYPART_ARC
(2,14),-2.04804 # DEPENDENCYPART_ARC
(2,15),-2.45707 # DEPENDENCYPART_ARC
(2,18),-3.44471 # DEPENDENCYPART_ARC
(3,2),1.68766 # DEPENDENCYPART_ARC
(3,4),0.196071 # DEPENDENCYPART_ARC
(4,2),1.32133 # DEPENDENCYPART_ARC
(4,3),1.8865 # DEPENDENCYPART_ARC
(4,6),-0.925993 # DEPENDENCYPART_ARC
(4,7),-2.34163 # DEPENDENCYPART_ARC
(5,2),-0.628713 # DEPENDENCYPART_ARC
(5,3),0.186867 # DEPENDENCYPART_ARC
(5,4),2.83755 # DEPENDENCYPART_ARC
(5,6),0.392369 # DEPENDENCYPART_ARC
(5,7),0.908553 # DEPENDENCYPART_ARC
(5,9),-0.341897 # DEPENDENCYPART_ARC
(5,10),0.411048 # DEPENDENCYPART_ARC
(5,13),-0.502419 # DEPENDENCYPART_ARC
(5,14),0.078101 # DEPENDENCYPART_ARC
(5,15),-1.23304 # DEPENDENCYPART_ARC
(5,18),-1.85736 # DEPENDENCYPART_ARC
(6,3),-1.03902 # DEPENDENCYPART_ARC
(6,4),-0.932354 # DEPENDENCYPART_ARC
(6,5),-0.37501 # DEPENDENCYPART_ARC
(6,7),0.021864 # DEPENDENCYPART_ARC
(6,9),-0.801452 # DEPENDENCYPART_ARC
(6,11),-0.700329 # DEPENDENCYPART_ARC
(7,2),0.0131078 # DEPENDENCYPART_ARC
(7,3),-0.446024 # DEPENDENCYPART_ARC
(7,4),-3.08679 # DEPENDENCYPART_ARC
(7,5),-1.36699 # DEPENDENCYPART_ARC
(7,6),-0.0699864 # DEPENDENCYPART_ARC
(7,8),0.757456 # DEPENDENCYPART_ARC
