# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,23,24,14,24,
(0,1),1.34019 # DEPENDENCYPART_ARC
(0,2),-1.4432 # DEPENDENCYPART_ARC
(0,3),-1.10197 # DEPENDENCYPART_ARC
(0,4),-1.28409 # DEPENDENCYPART_ARC
(0,5),0.328785 # DEPENDENCYPART_ARC
(0,6),-1.48944 # DEPENDENCYPART_ARC
(0,7),-1.28152 # DEPENDENCYPART_ARC
(0,8),-0.888746 # DEPENDENCYPART_ARC
(0,9),-1.85282 # DEPENDENCYPART_ARC
(0,10),1.24387 # DEPENDENCYPART_ARC
(0,11),-0.897275 # DEPENDENCYPART_ARC
(0,12),-2.27023 # DEPENDENCYPART_ARC
(0,13),-1.54492 # DEPENDENCYPART_ARC
(0,14),0.42483 # DEPENDENCYPART_ARC
(0,15),-2.76386 # DEPENDENCYPART_ARC
(0,17),-1.39859 # DEPENDENCYPART_ARC
(0,18),-2.05036 # DEPENDENCYPART_ARC
(0,19),-0.283953 # DEPENDENCYPART_ARC
(0,20),-1.37943 # DEPENDENCYPART_ARC
(0,21),-4.06961 # DEPENDENCYPART_ARC
(0,22),-0.0746515 # DEPENDENCYPART_ARC
(0,23),-3.25236 # DEPENDENCYPART_ARC
(0,24),-0.13926 # DEPENDENCYPART_ARC
(0,25),-3.30988 # DEPENDENCYPART_ARC
(1,2),-1.14161 # DEPENDENCYPART_ARC
(1,4),-2.21239 # DEPENDENCYPART_ARC
(1,5),-2.92385 # DEPENDENCYPART_ARC
(2,5),-1.60683 # DEPENDENCYPART_ARC
(2,24),-0.763267 # DEPENDENCYPART_ARC
(3,2),-0.425821 # DEPENDENCYPART_ARC
(3,4),0.284383 # DEPENDENCYPART_ARC
(4,2),-1.13405 # DEPENDENCYPART_ARC
(4,3),2.56113 # DEPENDENCYPART_ARC
(4,5),-0.864555 # DEPENDENCYPART_ARC
(4,6),-0.535763 # DEPENDENCYPART_ARC
(4,8),-1.81085 # DEPENDENCYPART_ARC
(4,11),-1.46793 # DEPENDENCYPART_ARC
(4,24),-1.8766 # DEPENDENCYPART_ARC
(5,1),0.122672 # DEPENDENCYPART_ARC
(5,2),-1.378 # DEPENDENCYPART_ARC
(5,3),-0.150345 # DEPENDENCYPART_ARC
(5,4),2.16788 # DEPENDENCYPART_ARC
(5,6),1.05398 # DEPENDENCYPART_ARC
(5,8),0.108673 # DEPENDENCYPART_ARC
(5,10),-0.87382 # DEPENDENCYPART_ARC
(5,11),-1.47835 # DEPENDENCYPART_ARC
(5,12),0.0945645 # DEPENDENCYPART_ARC
(5,13),-1.4778 # DEPENDENCYPART_ARC
(5,14),-0.924249 # DEPENDENCYPART_ARC
(5,20),-0.46902 # DEPENDENCYPART_ARC
(5,23),-1.40461 # DEPENDENCYPART_ARC
(6,3),-1.21671 # DEPENDENCYPART_ARC
(6,4),-0.748147 # DEPENDENCYPART_ARC
(6,7),1.37253 # DEPENDENCYPART_ARC
