# _root_ alfonso_osorio_garcia , diputatu espainiarra , ucdren garaian gobernu espainiarreko lehendakariordea eta lehendakaritzaren ministro ere .
#goldHeads=0,1,11,3,4,7,10,10,8,11,1,13,11,0,14,
#predictedHeads=11,3,11,3,4,7,8,10,8,11,15,11,12,0,14,
(0,1),-1.21318 # DEPENDENCYPART_ARC
(0,2),-1.34994 # DEPENDENCYPART_ARC
(0,3),-0.971543 # DEPENDENCYPART_ARC
(0,4),-2.00813 # DEPENDENCYPART_ARC
(0,5),-1.26647 # DEPENDENCYPART_ARC
(0,6),-1.55184 # DEPENDENCYPART_ARC
(0,7),-1.3963 # DEPENDENCYPART_ARC
(0,8),-1.72491 # DEPENDENCYPART_ARC
(0,9),-2.63226 # DEPENDENCYPART_ARC
(0,10),-1.67287 # DEPENDENCYPART_ARC
(0,11),-1.7111 # DEPENDENCYPART_ARC
(0,12),-2.01192 # DEPENDENCYPART_ARC
(0,13),-1.3999 # DEPENDENCYPART_ARC
(0,14),2.17798 # DEPENDENCYPART_ARC
(0,15),-2.33518 # DEPENDENCYPART_ARC
(1,2),-0.687168 # DEPENDENCYPART_ARC
(1,3),-0.504813 # DEPENDENCYPART_ARC
(2,3),-1.00112 # DEPENDENCYPART_ARC
(2,4),-0.953407 # DEPENDENCYPART_ARC
(2,10),-0.76884 # DEPENDENCYPART_ARC
(2,13),-0.793017 # DEPENDENCYPART_ARC
(3,1),-0.455792 # DEPENDENCYPART_ARC
(3,2),-0.0826602 # DEPENDENCYPART_ARC
(3,4),1.13432 # DEPENDENCYPART_ARC
(3,5),-0.262425 # DEPENDENCYPART_ARC
(3,6),-0.419296 # DEPENDENCYPART_ARC
(3,7),-0.743262 # DEPENDENCYPART_ARC
(3,8),-0.865404 # DEPENDENCYPART_ARC
(3,9),-0.738007 # DEPENDENCYPART_ARC
(3,10),-0.56418 # DEPENDENCYPART_ARC
(3,11),-1.1382 # DEPENDENCYPART_ARC
(3,12),-1.2459 # DEPENDENCYPART_ARC
(3,13),-0.0761555 # DEPENDENCYPART_ARC
(3,15),-0.77193 # DEPENDENCYPART_ARC
(4,1),-1.78521 # DEPENDENCYPART_ARC
(4,3),-0.158559 # DEPENDENCYPART_ARC
(4,5),1.18194 # DEPENDENCYPART_ARC
(4,7),-2.90154 # DEPENDENCYPART_ARC
(4,8),-1.62841 # DEPENDENCYPART_ARC
(4,10),-1.26894 # DEPENDENCYPART_ARC
(4,12),-2.84318 # DEPENDENCYPART_ARC
(4,13),-1.15397 # DEPENDENCYPART_ARC
(5,4),0.104682 # DEPENDENCYPART_ARC
(5,7),-1.00203 # DEPENDENCYPART_ARC
(5,8),-0.999085 # DEPENDENCYPART_ARC
(5,10),-0.767726 # DEPENDENCYPART_ARC
(5,11),-1.15371 # DEPENDENCYPART_ARC
(5,13),-1.10563 # DEPENDENCYPART_ARC
(6,5),-0.711814 # DEPENDENCYPART_ARC
(6,7),-0.46554 # DEPENDENCYPART_ARC
(6,8),-0.814379 # DEPENDENCYPART_ARC
(7,1),-1.94203 # DEPENDENCYPART_ARC
(7,2),-1.9482 # DEPENDENCYPART_ARC
(7,3),-0.804911 # DEPENDENCYPART_ARC
(7,4),-1.62073 # DEPENDENCYPART_ARC
(7,5),-1.23758 # DEPENDENCYPART_ARC
(7,6),1.24716 # DEPENDENCYPART_ARC
(7,8),-0.327482 # DEPENDENCYPART_ARC
(7,9),-1.6969 # DEPENDENCYPART_ARC
(7,11),-1.61353 # DEPENDENCYPART_ARC
(7,12),-2.29216 # DEPENDENCYPART_ARC
(7,15),-1.28283 # DEPENDENCYPART_ARC
(8,1),-1.61369 # DEPENDENCYPART_ARC
(8,2),-2.16939 # DEPENDENCYPART_ARC
(8,3),-1.29945 # DEPENDENCYPART_ARC
(8,4),-1.5498 # DEPENDENCYPART_ARC
(8,5),-1.79833 # DEPENDENCYPART_ARC
(8,6),0.1133 # DEPENDENCYPART_ARC
(8,7),0.556026 # DEPENDENCYPART_ARC
(8,9),1.75463 # DEPENDENCYPART_ARC
(8,10),-0.364099 # DEPENDENCYPART_ARC
(8,11),-0.760998 # DEPENDENCYPART_ARC
(8,12),-1.13377 # DEPENDENCYPART_ARC
(8,13),-0.750638 # DEPENDENCYPART_ARC
(8,15),-0.683284 # DEPENDENCYPART_ARC
(9,3),-1.50668 # DEPENDENCYPART_ARC
(9,6),-1.70562 # DEPENDENCYPART_ARC
(9,7),-2.2952 # DEPENDENCYPART_ARC
(9,8),-0.169769 # DEPENDENCYPART_ARC
(9,10),-1.42786 # DEPENDENCYPART_ARC
(9,11),-1.69497 # DEPENDENCYPART_ARC
(9,12),-3.63767 # DEPENDENCYPART_ARC
(10,1),-1.6113 # DEPENDENCYPART_ARC
