# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,3,4,5,6,7,14,7,7,9,13,13,14,18,16,14,16,19,0,19,20,20,22,
(0,1),-1.37168 # DEPENDENCYPART_ARC
(0,2),-1.61785 # DEPENDENCYPART_ARC
(0,3),-0.62323 # DEPENDENCYPART_ARC
(0,4),-1.30129 # DEPENDENCYPART_ARC
(0,5),-1.35708 # DEPENDENCYPART_ARC
(0,6),-1.06972 # DEPENDENCYPART_ARC
(0,7),-0.580255 # DEPENDENCYPART_ARC
(0,8),-1.24806 # DEPENDENCYPART_ARC
(0,9),-2.21574 # DEPENDENCYPART_ARC
(0,10),-1.16525 # DEPENDENCYPART_ARC
(0,13),-2.09924 # DEPENDENCYPART_ARC
(0,14),-0.762232 # DEPENDENCYPART_ARC
(0,16),-2.05366 # DEPENDENCYPART_ARC
(0,17),-1.36556 # DEPENDENCYPART_ARC
(0,18),-1.92371 # DEPENDENCYPART_ARC
(0,19),-0.693236 # DEPENDENCYPART_ARC
(0,20),-1.23222 # DEPENDENCYPART_ARC
(0,21),-1.20768 # DEPENDENCYPART_ARC
(0,22),-2.61926 # DEPENDENCYPART_ARC
(0,23),-4.33626 # DEPENDENCYPART_ARC
(1,2),-1.47805 # DEPENDENCYPART_ARC
(2,1),1.02372 # DEPENDENCYPART_ARC
(2,3),0.181244 # DEPENDENCYPART_ARC
(2,4),-0.186128 # DEPENDENCYPART_ARC
(2,5),-0.740649 # DEPENDENCYPART_ARC
(2,6),-1.0446 # DEPENDENCYPART_ARC
(2,8),-1.7941 # DEPENDENCYPART_ARC
(2,10),-0.676532 # DEPENDENCYPART_ARC
(2,19),-0.516715 # DEPENDENCYPART_ARC
(3,1),-2.43366 # DEPENDENCYPART_ARC
(3,2),1.85041 # DEPENDENCYPART_ARC
(3,4),0.690089 # DEPENDENCYPART_ARC
(4,1),-0.559424 # DEPENDENCYPART_ARC
(4,2),0.493699 # DEPENDENCYPART_ARC
(4,3),1.9467 # DEPENDENCYPART_ARC
(4,5),0.341462 # DEPENDENCYPART_ARC
(4,6),0.360593 # DEPENDENCYPART_ARC
(4,7),-0.361775 # DEPENDENCYPART_ARC
(4,8),-0.329784 # DEPENDENCYPART_ARC
(4,9),0.315609 # DEPENDENCYPART_ARC
(4,10),-1.01943 # DEPENDENCYPART_ARC
(4,11),-1.1705 # DEPENDENCYPART_ARC
(4,12),-0.670731 # DEPENDENCYPART_ARC
(4,13),-0.488962 # DEPENDENCYPART_ARC
(4,14),-0.51009 # DEPENDENCYPART_ARC
(4,16),-0.731118 # DEPENDENCYPART_ARC
(4,18),-1.16574 # DEPENDENCYPART_ARC
(4,19),-0.797688 # DEPENDENCYPART_ARC
(4,20),-1.6365 # DEPENDENCYPART_ARC
(4,22),-1.81526 # DEPENDENCYPART_ARC
(5,1),-0.0251339 # DEPENDENCYPART_ARC
(5,2),1.7209 # DEPENDENCYPART_ARC
(5,3),0.617281 # DEPENDENCYPART_ARC
(5,4),1.88683 # DEPENDENCYPART_ARC
(5,6),-1.86332 # DEPENDENCYPART_ARC
(5,7),-2.06493 # DEPENDENCYPART_ARC
(5,8),-0.852622 # DEPENDENCYPART_ARC
(5,9),-1.77295 # DEPENDENCYPART_ARC
(5,12),-3.17416 # DEPENDENCYPART_ARC
(5,14),-0.553787 # DEPENDENCYPART_ARC
(5,19),-0.990177 # DEPENDENCYPART_ARC
(5,21),-0.643426 # DEPENDENCYPART_ARC
(6,1),-3.84839 # DEPENDENCYPART_ARC
(6,2),-0.58024 # DEPENDENCYPART_ARC
(6,3),-2.62333 # DEPENDENCYPART_ARC
(6,4),0.286138 # DEPENDENCYPART_ARC
(6,5),1.63242 # DEPENDENCYPART_ARC
(6,8),-1.3177 # DEPENDENCYPART_ARC
(7,1),-0.23082 # DEPENDENCYPART_ARC
(7,2),0.864986 # DEPENDENCYPART_ARC
(7,3),0.279197 # DEPENDENCYPART_ARC
(7,4),-0.00605954 # DEPENDENCYPART_ARC
(7,5),0.460732 # DEPENDENCYPART_ARC
(7,6),1.95044 # DEPENDENCYPART_ARC
(7,8),1.80184 # DEPENDENCYPART_ARC
(7,9),1.75967 # DEPENDENCYPART_ARC
(7,10),-0.552987 # DEPENDENCYPART_ARC
(7,11),-0.438885 # DEPENDENCYPART_ARC
(7,12),0.166518 # DEPENDENCYPART_ARC
(7,13),-0.0470758 # DEPENDENCYPART_ARC
(7,14),-0.337874 # DEPENDENCYPART_ARC
(7,15),-1.11948 # DEPENDENCYPART_ARC
(7,16),-0.163547 # DEPENDENCYPART_ARC
(7,18),-0.773241 # DEPENDENCYPART_ARC
