# _root_ era_berean , astrologiak egokitzat adierazitako egunetan pertsona ugarik betetzen ditu bere egin beharrak , zientzia horren ezagutza izpirik eduki gabe .
#goldHeads=0,1,5,5,6,9,9,7,0,9,12,9,12,13,17,15,19,17,9,19,20,
#predictedHeads=9,1,5,5,6,9,9,7,0,9,12,13,9,13,19,15,18,19,9,19,20,
(0,1),0.12722 # DEPENDENCYPART_ARC
(0,2),-1.4197 # DEPENDENCYPART_ARC
(0,3),-0.748416 # DEPENDENCYPART_ARC
(0,4),-1.1332 # DEPENDENCYPART_ARC
(0,5),-1.05286 # DEPENDENCYPART_ARC
(0,6),-1.35274 # DEPENDENCYPART_ARC
(0,7),-1.24247 # DEPENDENCYPART_ARC
(0,8),-1.26681 # DEPENDENCYPART_ARC
(0,9),-0.00456188 # DEPENDENCYPART_ARC
(0,10),-0.517236 # DEPENDENCYPART_ARC
(0,12),-1.69629 # DEPENDENCYPART_ARC
(0,13),-2.0458 # DEPENDENCYPART_ARC
(0,14),-0.892469 # DEPENDENCYPART_ARC
(0,16),-1.85765 # DEPENDENCYPART_ARC
(0,17),-2.03791 # DEPENDENCYPART_ARC
(0,18),-2.18804 # DEPENDENCYPART_ARC
(0,19),-0.921021 # DEPENDENCYPART_ARC
(0,20),-1.45603 # DEPENDENCYPART_ARC
(0,21),-3.56417 # DEPENDENCYPART_ARC
(1,2),0.277103 # DEPENDENCYPART_ARC
(1,20),-0.982043 # DEPENDENCYPART_ARC
(2,3),-1.22837 # DEPENDENCYPART_ARC
(2,4),-0.940363 # DEPENDENCYPART_ARC
(2,9),-1.6015 # DEPENDENCYPART_ARC
(3,1),-0.649258 # DEPENDENCYPART_ARC
(3,2),0.257649 # DEPENDENCYPART_ARC
(3,4),0.0061286 # DEPENDENCYPART_ARC
(3,5),-1.64654 # DEPENDENCYPART_ARC
(3,6),-2.33524 # DEPENDENCYPART_ARC
(3,7),-1.45269 # DEPENDENCYPART_ARC
(3,8),-1.84341 # DEPENDENCYPART_ARC
(3,10),-3.25881 # DEPENDENCYPART_ARC
(3,13),-2.35721 # DEPENDENCYPART_ARC
(3,19),-2.23012 # DEPENDENCYPART_ARC
(4,1),-1.28515 # DEPENDENCYPART_ARC
(4,3),0.082592 # DEPENDENCYPART_ARC
(4,8),-1.28122 # DEPENDENCYPART_ARC
(5,1),-0.120794 # DEPENDENCYPART_ARC
(5,2),-1.28568 # DEPENDENCYPART_ARC
(5,3),1.71925 # DEPENDENCYPART_ARC
(5,4),0.802116 # DEPENDENCYPART_ARC
(5,6),-0.842324 # DEPENDENCYPART_ARC
(5,7),-0.641862 # DEPENDENCYPART_ARC
(5,9),-1.41304 # DEPENDENCYPART_ARC
(5,10),-0.877955 # DEPENDENCYPART_ARC
(5,12),-0.526764 # DEPENDENCYPART_ARC
(5,13),-2.6598 # DEPENDENCYPART_ARC
(5,14),-0.874588 # DEPENDENCYPART_ARC
(5,15),-2.55832 # DEPENDENCYPART_ARC
(5,19),-0.914563 # DEPENDENCYPART_ARC
(6,1),-1.76283 # DEPENDENCYPART_ARC
(6,2),-1.47895 # DEPENDENCYPART_ARC
(6,3),-2.91093 # DEPENDENCYPART_ARC
(6,4),-1.90478 # DEPENDENCYPART_ARC
(6,5),2.16604 # DEPENDENCYPART_ARC
(6,7),-0.690759 # DEPENDENCYPART_ARC
(6,8),-1.59174 # DEPENDENCYPART_ARC
(6,10),-2.85741 # DEPENDENCYPART_ARC
(6,11),-2.4818 # DEPENDENCYPART_ARC
(7,1),-1.18019 # DEPENDENCYPART_ARC
(7,2),-1.67609 # DEPENDENCYPART_ARC
(7,3),-1.14956 # DEPENDENCYPART_ARC
(7,4),-1.47691 # DEPENDENCYPART_ARC
(7,5),0.564461 # DEPENDENCYPART_ARC
(7,6),0.665968 # DEPENDENCYPART_ARC
(7,8),2.4014 # DEPENDENCYPART_ARC
(7,9),-0.876396 # DEPENDENCYPART_ARC
(7,10),-0.842591 # DEPENDENCYPART_ARC
(7,11),-0.357077 # DEPENDENCYPART_ARC
(7,12),-1.05614 # DEPENDENCYPART_ARC
(7,13),-0.64879 # DEPENDENCYPART_ARC
(7,15),-1.07288 # DEPENDENCYPART_ARC
(7,17),-1.05758 # DEPENDENCYPART_ARC
(7,18),-0.578601 # DEPENDENCYPART_ARC
(7,19),-1.04213 # DEPENDENCYPART_ARC
(8,1),-1.42989 # DEPENDENCYPART_ARC
(8,3),-0.815746 # DEPENDENCYPART_ARC
(8,6),0.0645633 # DEPENDENCYPART_ARC
(8,7),0.0147747 # DEPENDENCYPART_ARC
(8,9),-1.03882 # DEPENDENCYPART_ARC
(9,1),0.63484 # DEPENDENCYPART_ARC
(9,2),-1.51358 # DEPENDENCYPART_ARC
(9,3),1.46618 # DEPENDENCYPART_ARC
(9,4),-0.239025 # DEPENDENCYPART_ARC
(9,5),-0.663614 # DEPENDENCYPART_ARC
(9,6),1.5246 # DEPENDENCYPART_ARC
(9,7),1.45566 # DEPENDENCYPART_ARC
(9,8),1.30898 # DEPENDENCYPART_ARC
(9,10),1.4872 # DEPENDENCYPART_ARC
(9,11),-0.359329 # DEPENDENCYPART_ARC
(9,12),0.759432 # DEPENDENCYPART_ARC
(9,13),0.813621 # DEPENDENCYPART_ARC
(9,14),-0.248382 # DEPENDENCYPART_ARC
(9,15),-0.802367 # DEPENDENCYPART_ARC
(9,17),-0.7651 # DEPENDENCYPART_ARC
(9,18),-1.17705 # DEPENDENCYPART_ARC
(9,19),0.0300808 # DEPENDENCYPART_ARC
(9,20),-0.615088 # DEPENDENCYPART_ARC
(10,6),-1.03204 # DEPENDENCYPART_ARC
(10,7),-0.69026 # DEPENDENCYPART_ARC
(10,8),-0.746657 # DEPENDENCYPART_ARC
(10,12),-1.14956 # DEPENDENCYPART_ARC
(12,1),-0.181357 # DEPENDENCYPART_ARC
(12,2),-1.78136 # DEPENDENCYPART_ARC
(12,3),0.795276 # DEPENDENCYPART_ARC
(12,4),-0.878063 # DEPENDENCYPART_ARC
(12,5),-1.20588 # DEPENDENCYPART_ARC
(12,6),0.231493 # DEPENDENCYPART_ARC
(12,7),0.154209 # DEPENDENCYPART_ARC
(12,8),-0.420786 # DEPENDENCYPART_ARC
(12,9),-0.449777 # DEPENDENCYPART_ARC
(12,10),-0.732757 # DEPENDENCYPART_ARC
(12,11),0.104698 # DEPENDENCYPART_ARC
(12,13),1.33078 # DEPENDENCYPART_ARC
(12,14),-0.379881 # DEPENDENCYPART_ARC
(12,15),-0.989166 # DEPENDENCYPART_ARC
(12,17),-0.962136 # DEPENDENCYPART_ARC
(12,18),-1.16341 # DEPENDENCYPART_ARC
(12,19),-0.436225 # DEPENDENCYPART_ARC
(12,20),-1.19568 # DEPENDENCYPART_ARC
(13,4),-2.99968 # DEPENDENCYPART_ARC
(13,6),-2.29091 # DEPENDENCYPART_ARC
(13,7),-0.519644 # DEPENDENCYPART_ARC
(13,8),-3.29946 # DEPENDENCYPART_ARC
(13,9),-0.0814833 # DEPENDENCYPART_ARC
(13,11),-0.0416831 # DEPENDENCYPART_ARC
(13,12),1.69326 # DEPENDENCYPART_ARC
(13,14),1.23293 # DEPENDENCYPART_ARC
(13,15),-0.906257 # DEPENDENCYPART_ARC
(13,16),-0.763272 # DEPENDENCYPART_ARC
(13,17),-1.04227 # DEPENDENCYPART_ARC
(13,18),-1.69347 # DEPENDENCYPART_ARC
(13,19),-1.05739 # DEPENDENCYPART_ARC
(13,20),-0.553529 # DEPENDENCYPART_ARC
(13,21),-0.675596 # DEPENDENCYPART_ARC
(14,9),-0.670311 # DEPENDENCYPART_ARC
(14,10),-1.08228 # DEPENDENCYPART_ARC
(14,12),-0.394573 # DEPENDENCYPART_ARC
(14,15),-0.787938 # DEPENDENCYPART_ARC
(14,19),-1.11545 # DEPENDENCYPART_ARC
(15,12),-1.13646 # DEPENDENCYPART_ARC
(15,13),-1.67125 # DEPENDENCYPART_ARC
(15,14),-0.472249 # DEPENDENCYPART_ARC
(15,16),2.32569 # DEPENDENCYPART_ARC
(15,17),-0.687652 # DEPENDENCYPART_ARC
(15,18),-0.532113 # DEPENDENCYPART_ARC
(15,20),-0.648004 # DEPENDENCYPART_ARC
(15,21),-0.936953 # DEPENDENCYPART_ARC
(16,12),-1.27425 # DEPENDENCYPART_ARC
(16,17),-0.489975 # DEPENDENCYPART_ARC
(16,18),-0.826763 # DEPENDENCYPART_ARC
(17,13),-1.09232 # DEPENDENCYPART_ARC
(17,14),-1.40721 # DEPENDENCYPART_ARC
(17,15),0.160394 # DEPENDENCYPART_ARC
(17,16),0.650515 # DEPENDENCYPART_ARC
(17,18),0.686155 # DEPENDENCYPART_ARC
(17,20),-0.55946 # DEPENDENCYPART_ARC
(17,21),-0.849293 # DEPENDENCYPART_ARC
(18,9),-1.44219 # DEPENDENCYPART_ARC
(18,13),-2.7833 # DEPENDENCYPART_ARC
(18,14),-1.65343 # DEPENDENCYPART_ARC
(18,15),-0.418076 # DEPENDENCYPART_ARC
(18,16),-0.962346 # DEPENDENCYPART_ARC
(18,17),1.25641 # DEPENDENCYPART_ARC
(18,19),-0.0634635 # DEPENDENCYPART_ARC
(18,20),-0.0648374 # DEPENDENCYPART_ARC
(18,21),-0.793918 # DEPENDENCYPART_ARC
(19,1),0.413626 # DEPENDENCYPART_ARC
(19,3),-0.000852187 # DEPENDENCYPART_ARC
(19,4),-1.00688 # DEPENDENCYPART_ARC
(19,5),-1.61616 # DEPENDENCYPART_ARC
(19,6),-0.251359 # DEPENDENCYPART_ARC
(19,7),-0.710775 # DEPENDENCYPART_ARC
(19,8),-0.927048 # DEPENDENCYPART_ARC
(19,9),-0.895722 # DEPENDENCYPART_ARC
(19,10),-1.22825 # DEPENDENCYPART_ARC
(19,11),-1.69662 # DEPENDENCYPART_ARC
(19,12),-1.51476 # DEPENDENCYPART_ARC
(19,13),-0.537208 # DEPENDENCYPART_ARC
(19,14),-1.85073 # DEPENDENCYPART_ARC
(19,15),0.207831 # DEPENDENCYPART_ARC
(19,16),-1.10989 # DEPENDENCYPART_ARC
(19,17),0.610306 # DEPENDENCYPART_ARC
(19,18),1.47451 # DEPENDENCYPART_ARC
(19,20),2.01596 # DEPENDENCYPART_ARC
(19,21),0.0989254 # DEPENDENCYPART_ARC
(20,15),-1.48817 # DEPENDENCYPART_ARC
(20,17),-1.32121 # DEPENDENCYPART_ARC
(20,18),-1.1574 # DEPENDENCYPART_ARC
(20,19),-0.834609 # DEPENDENCYPART_ARC
(20,21),1.65386 # DEPENDENCYPART_ARC
