# _root_ gasteizek onartu egingo luke eaeko kuotetara iristen ez den diru kopuru bat , kontuan_hartuz forcem_espainiako langileen prestakuntzarako erakundeak ere eaen jarduten duela , hobetuzekin_batera .
#goldHeads=2,0,2,2,6,7,10,7,7,2,10,10,12,2,16,17,18,21,0,21,0,14,22,21,24,
#predictedHeads=2,3,0,2,6,7,10,7,7,14,10,11,12,2,16,18,18,21,0,21,7,21,22,21,24,
(0,1),-1.22372 # DEPENDENCYPART_ARC
(0,2),-0.609846 # DEPENDENCYPART_ARC
(0,3),0.10763 # DEPENDENCYPART_ARC
(0,4),-0.83596 # DEPENDENCYPART_ARC
(0,5),-1.95318 # DEPENDENCYPART_ARC
(0,7),-1.2783 # DEPENDENCYPART_ARC
(0,8),-2.20632 # DEPENDENCYPART_ARC
(0,9),-1.34455 # DEPENDENCYPART_ARC
(0,12),-1.92693 # DEPENDENCYPART_ARC
(0,13),-1.10866 # DEPENDENCYPART_ARC
(0,14),-2.30022 # DEPENDENCYPART_ARC
(0,19),1.13237 # DEPENDENCYPART_ARC
(0,20),-2.84618 # DEPENDENCYPART_ARC
(0,21),-2.01889 # DEPENDENCYPART_ARC
(0,22),-3.31435 # DEPENDENCYPART_ARC
(0,23),-1.87076 # DEPENDENCYPART_ARC
(0,24),-2.97682 # DEPENDENCYPART_ARC
(0,25),-4.7631 # DEPENDENCYPART_ARC
(1,2),-0.483878 # DEPENDENCYPART_ARC
(2,1),2.50309 # DEPENDENCYPART_ARC
(2,3),1.75681 # DEPENDENCYPART_ARC
(2,4),1.38773 # DEPENDENCYPART_ARC
(2,5),-0.542507 # DEPENDENCYPART_ARC
(2,6),0.346786 # DEPENDENCYPART_ARC
(2,7),-0.261781 # DEPENDENCYPART_ARC
(2,8),0.264765 # DEPENDENCYPART_ARC
(2,9),-0.0790273 # DEPENDENCYPART_ARC
(2,10),-0.629377 # DEPENDENCYPART_ARC
(2,11),-0.600903 # DEPENDENCYPART_ARC
(2,14),-0.22542 # DEPENDENCYPART_ARC
(2,15),-1.23344 # DEPENDENCYPART_ARC
(2,16),-1.22457 # DEPENDENCYPART_ARC
(2,17),-1.29161 # DEPENDENCYPART_ARC
(2,18),-0.335156 # DEPENDENCYPART_ARC
(2,20),-1.0886 # DEPENDENCYPART_ARC
(2,21),-1.25246 # DEPENDENCYPART_ARC
(3,1),1.43981 # DEPENDENCYPART_ARC
(3,2),1.23867 # DEPENDENCYPART_ARC
(3,4),0.761747 # DEPENDENCYPART_ARC
(3,5),-1.088 # DEPENDENCYPART_ARC
(3,6),-0.0375571 # DEPENDENCYPART_ARC
(3,7),-1.15446 # DEPENDENCYPART_ARC
(3,8),-0.858231 # DEPENDENCYPART_ARC
(3,9),-0.60695 # DEPENDENCYPART_ARC
(3,10),-0.716224 # DEPENDENCYPART_ARC
(3,11),-1.02529 # DEPENDENCYPART_ARC
(3,14),-0.868248 # DEPENDENCYPART_ARC
(3,15),-1.13839 # DEPENDENCYPART_ARC
(3,16),-1.38604 # DEPENDENCYPART_ARC
(3,17),-1.80793 # DEPENDENCYPART_ARC
(3,18),-0.0999505 # DEPENDENCYPART_ARC
(3,20),-1.43463 # DEPENDENCYPART_ARC
(3,21),-2.51224 # DEPENDENCYPART_ARC
(4,1),-1.27639 # DEPENDENCYPART_ARC
(4,2),-1.65937 # DEPENDENCYPART_ARC
(4,3),-1.52086 # DEPENDENCYPART_ARC
(4,5),-1.53932 # DEPENDENCYPART_ARC
(4,9),-1.25882 # DEPENDENCYPART_ARC
(5,2),-0.85945 # DEPENDENCYPART_ARC
(5,3),-0.983316 # DEPENDENCYPART_ARC
(5,6),-0.158695 # DEPENDENCYPART_ARC
(5,7),-1.90712 # DEPENDENCYPART_ARC
(6,1),-3.55855 # DEPENDENCYPART_ARC
(6,2),-0.0663941 # DEPENDENCYPART_ARC
(6,3),-0.0142986 # DEPENDENCYPART_ARC
(6,4),-1.01505 # DEPENDENCYPART_ARC
(6,5),1.87251 # DEPENDENCYPART_ARC
(6,7),-0.862044 # DEPENDENCYPART_ARC
(6,8),-1.90522 # DEPENDENCYPART_ARC
(6,9),-2.27568 # DEPENDENCYPART_ARC
(6,12),-1.72211 # DEPENDENCYPART_ARC
(7,1),0.525009 # DEPENDENCYPART_ARC
(7,2),-0.855392 # DEPENDENCYPART_ARC
(7,3),-0.588129 # DEPENDENCYPART_ARC
(7,4),-0.0669786 # DEPENDENCYPART_ARC
(7,5),0.220417 # DEPENDENCYPART_ARC
(7,6),2.54284 # DEPENDENCYPART_ARC
(7,8),2.0644 # DEPENDENCYPART_ARC
(7,9),2.01711 # DEPENDENCYPART_ARC
(7,10),-0.0698197 # DEPENDENCYPART_ARC
(7,11),-0.190496 # DEPENDENCYPART_ARC
(7,12),-0.627955 # DEPENDENCYPART_ARC
(7,13),-0.339822 # DEPENDENCYPART_ARC
(7,14),-0.067713 # DEPENDENCYPART_ARC
(7,15),-1.19791 # DEPENDENCYPART_ARC
(7,16),-1.83278 # DEPENDENCYPART_ARC
(7,17),-1.26469 # DEPENDENCYPART_ARC
(7,18),-0.18756 # DEPENDENCYPART_ARC
(7,20),-1.41177 # DEPENDENCYPART_ARC
(7,21),-0.97139 # DEPENDENCYPART_ARC
(7,22),-0.950466 # DEPENDENCYPART_ARC
(8,6),-1.51525 # DEPENDENCYPART_ARC
(8,10),-1.36649 # DEPENDENCYPART_ARC
(8,11),-1.39824 # DEPENDENCYPART_ARC
(9,6),-0.979782 # DEPENDENCYPART_ARC
(9,7),-1.27281 # DEPENDENCYPART_ARC
(9,8),-0.419184 # DEPENDENCYPART_ARC
(9,10),-0.225925 # DEPENDENCYPART_ARC
(9,11),-0.784329 # DEPENDENCYPART_ARC
(10,1),-2.20128 # DEPENDENCYPART_ARC
(10,2),-0.0475787 # DEPENDENCYPART_ARC
(10,3),-0.240602 # DEPENDENCYPART_ARC
(10,5),-0.890659 # DEPENDENCYPART_ARC
(10,6),-0.911364 # DEPENDENCYPART_ARC
(10,7),0.644366 # DEPENDENCYPART_ARC
(10,8),-0.0679686 # DEPENDENCYPART_ARC
(10,9),-0.444858 # DEPENDENCYPART_ARC
(10,11),1.3129 # DEPENDENCYPART_ARC
(10,12),1.14721 # DEPENDENCYPART_ARC
(10,13),-0.306634 # DEPENDENCYPART_ARC
(10,15),-0.42022 # DEPENDENCYPART_ARC
(10,16),-0.180353 # DEPENDENCYPART_ARC
(11,1),-2.73684 # DEPENDENCYPART_ARC
(11,3),-1.0799 # DEPENDENCYPART_ARC
(11,5),-1.64424 # DEPENDENCYPART_ARC
(11,6),-1.65539 # DEPENDENCYPART_ARC
(11,7),-0.660513 # DEPENDENCYPART_ARC
(11,8),-1.13555 # DEPENDENCYPART_ARC
(11,9),-1.73032 # DEPENDENCYPART_ARC
(11,10),0.640903 # DEPENDENCYPART_ARC
(11,12),1.83698 # DEPENDENCYPART_ARC
(11,13),-0.420261 # DEPENDENCYPART_ARC
(11,14),-0.764012 # DEPENDENCYPART_ARC
(11,15),-1.02017 # DEPENDENCYPART_ARC
