# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,17,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(0,1),-1.13853 # DEPENDENCYPART_ARC
(0,2),-0.996414 # DEPENDENCYPART_ARC
(0,3),-1.28399 # DEPENDENCYPART_ARC
(0,4),-1.00486 # DEPENDENCYPART_ARC
(0,5),-0.886525 # DEPENDENCYPART_ARC
(0,6),-1.20325 # DEPENDENCYPART_ARC
(0,8),-1.9066 # DEPENDENCYPART_ARC
(0,9),-0.826854 # DEPENDENCYPART_ARC
(0,10),-1.13447 # DEPENDENCYPART_ARC
(0,11),-2.12182 # DEPENDENCYPART_ARC
(0,12),-1.52968 # DEPENDENCYPART_ARC
(0,13),0.380444 # DEPENDENCYPART_ARC
(0,14),-2.18993 # DEPENDENCYPART_ARC
(0,15),-1.9197 # DEPENDENCYPART_ARC
(0,16),-2.06221 # DEPENDENCYPART_ARC
(0,17),1.20031 # DEPENDENCYPART_ARC
(0,18),-2.89531 # DEPENDENCYPART_ARC
(1,9),-2.32715 # DEPENDENCYPART_ARC
(2,1),0.374756 # DEPENDENCYPART_ARC
(2,3),1.20321 # DEPENDENCYPART_ARC
(2,4),-0.993073 # DEPENDENCYPART_ARC
(2,5),-0.974094 # DEPENDENCYPART_ARC
(2,6),-0.90979 # DEPENDENCYPART_ARC
(2,7),-1.10282 # DEPENDENCYPART_ARC
(3,4),-0.900368 # DEPENDENCYPART_ARC
(3,17),-1.87117 # DEPENDENCYPART_ARC
(4,1),-1.2349 # DEPENDENCYPART_ARC
(4,2),-1.12121 # DEPENDENCYPART_ARC
(4,3),0.0851217 # DEPENDENCYPART_ARC
(4,5),0.377446 # DEPENDENCYPART_ARC
(4,6),-1.40836 # DEPENDENCYPART_ARC
(4,7),-1.40774 # DEPENDENCYPART_ARC
(4,8),-2.91505 # DEPENDENCYPART_ARC
(5,1),-1.26102 # DEPENDENCYPART_ARC
(5,2),-1.57035 # DEPENDENCYPART_ARC
(5,3),-1.41393 # DEPENDENCYPART_ARC
(5,4),0.792364 # DEPENDENCYPART_ARC
(5,6),0.270049 # DEPENDENCYPART_ARC
(5,7),-0.311649 # DEPENDENCYPART_ARC
(5,8),0.062122 # DEPENDENCYPART_ARC
(5,9),-1.01209 # DEPENDENCYPART_ARC
(5,10),-1.09603 # DEPENDENCYPART_ARC
(5,17),-0.85551 # DEPENDENCYPART_ARC
(6,1),-1.40218 # DEPENDENCYPART_ARC
(6,2),-0.680796 # DEPENDENCYPART_ARC
(6,3),-1.14359 # DEPENDENCYPART_ARC
(6,4),0.558419 # DEPENDENCYPART_ARC
(6,5),2.2916 # DEPENDENCYPART_ARC
(6,7),1.68906 # DEPENDENCYPART_ARC
(6,8),0.0600185 # DEPENDENCYPART_ARC
(6,9),-0.337397 # DEPENDENCYPART_ARC
(6,10),-0.564669 # DEPENDENCYPART_ARC
(6,11),0.107492 # DEPENDENCYPART_ARC
(6,12),-0.278965 # DEPENDENCYPART_ARC
(6,13),-0.470181 # DEPENDENCYPART_ARC
(6,16),-1.5139 # DEPENDENCYPART_ARC
(6,17),-1.07105 # DEPENDENCYPART_ARC
(7,1),-1.87901 # DEPENDENCYPART_ARC
