# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(0,1),-0.932897 # DEPENDENCYPART_ARC
(0,2),-1.08672 # DEPENDENCYPART_ARC
(0,3),-1.4438 # DEPENDENCYPART_ARC
(0,4),-1.33565 # DEPENDENCYPART_ARC
(0,5),-1.58963 # DEPENDENCYPART_ARC
(0,6),-1.00823 # DEPENDENCYPART_ARC
(0,7),-1.82151 # DEPENDENCYPART_ARC
(0,8),-0.735609 # DEPENDENCYPART_ARC
(0,9),-0.625192 # DEPENDENCYPART_ARC
(0,16),-0.959896 # DEPENDENCYPART_ARC
(0,17),-0.406513 # DEPENDENCYPART_ARC
(0,18),-2.00153 # DEPENDENCYPART_ARC
(0,19),-1.08949 # DEPENDENCYPART_ARC
(0,20),0.573688 # DEPENDENCYPART_ARC
(0,21),-2.31491 # DEPENDENCYPART_ARC
(0,22),-1.83727 # DEPENDENCYPART_ARC
(0,23),-1.31456 # DEPENDENCYPART_ARC
(0,24),-2.63022 # DEPENDENCYPART_ARC
(0,25),-3.80272 # DEPENDENCYPART_ARC
(1,2),-1.36176 # DEPENDENCYPART_ARC
(2,1),0.390092 # DEPENDENCYPART_ARC
(2,3),2.07937 # DEPENDENCYPART_ARC
(2,4),0.588706 # DEPENDENCYPART_ARC
(2,5),0.458538 # DEPENDENCYPART_ARC
(2,7),-0.691021 # DEPENDENCYPART_ARC
(2,12),0.0705836 # DEPENDENCYPART_ARC
(2,20),-0.805686 # DEPENDENCYPART_ARC
(3,2),-0.527005 # DEPENDENCYPART_ARC
(3,4),-0.716696 # DEPENDENCYPART_ARC
(3,5),-1.67781 # DEPENDENCYPART_ARC
(4,1),-0.627839 # DEPENDENCYPART_ARC
(4,2),0.144347 # DEPENDENCYPART_ARC
(4,3),2.54674 # DEPENDENCYPART_ARC
(4,5),2.57807 # DEPENDENCYPART_ARC
(4,6),-0.346687 # DEPENDENCYPART_ARC
(4,7),0.0303163 # DEPENDENCYPART_ARC
(4,8),-0.471665 # DEPENDENCYPART_ARC
(4,9),-0.580165 # DEPENDENCYPART_ARC
(4,10),-1.48749 # DEPENDENCYPART_ARC
(4,11),-1.21127 # DEPENDENCYPART_ARC
(4,12),0.465631 # DEPENDENCYPART_ARC
(4,14),-1.45359 # DEPENDENCYPART_ARC
(4,15),-0.992625 # DEPENDENCYPART_ARC
(4,16),-1.03789 # DEPENDENCYPART_ARC
(4,17),-1.18712 # DEPENDENCYPART_ARC
(4,20),-1.38077 # DEPENDENCYPART_ARC
(4,22),-1.93208 # DEPENDENCYPART_ARC
(4,24),-2.40946 # DEPENDENCYPART_ARC
(5,6),-0.442855 # DEPENDENCYPART_ARC
(6,1),-1.32541 # DEPENDENCYPART_ARC
(6,2),0.718255 # DEPENDENCYPART_ARC
(6,3),-0.560964 # DEPENDENCYPART_ARC
(6,4),0.574256 # DEPENDENCYPART_ARC
(6,5),0.498192 # DEPENDENCYPART_ARC
(6,7),-1.09062 # DEPENDENCYPART_ARC
(6,8),-0.660205 # DEPENDENCYPART_ARC
(6,9),-0.650945 # DEPENDENCYPART_ARC
(6,13),-3.31969 # DEPENDENCYPART_ARC
(6,16),-1.98338 # DEPENDENCYPART_ARC
(6,17),-1.94982 # DEPENDENCYPART_ARC
(6,20),-0.469346 # DEPENDENCYPART_ARC
(6,22),-3.34011 # DEPENDENCYPART_ARC
(6,24),-3.02717 # DEPENDENCYPART_ARC
(7,1),-1.50673 # DEPENDENCYPART_ARC
(7,2),-0.2625 # DEPENDENCYPART_ARC
(7,3),-1.8662 # DEPENDENCYPART_ARC
(7,4),-0.0751432 # DEPENDENCYPART_ARC
(7,5),-1.01425 # DEPENDENCYPART_ARC
(7,6),2.29901 # DEPENDENCYPART_ARC
(7,8),0.0387101 # DEPENDENCYPART_ARC
(7,9),-0.498367 # DEPENDENCYPART_ARC
(7,12),-2.14032 # DEPENDENCYPART_ARC
(8,1),-1.83174 # DEPENDENCYPART_ARC
(8,2),-0.505987 # DEPENDENCYPART_ARC
(8,3),-0.855979 # DEPENDENCYPART_ARC
(8,4),0.115136 # DEPENDENCYPART_ARC
(8,5),-0.418042 # DEPENDENCYPART_ARC
(8,6),-0.0290266 # DEPENDENCYPART_ARC
(8,7),1.67537 # DEPENDENCYPART_ARC
(8,9),1.30889 # DEPENDENCYPART_ARC
(8,10),-0.684801 # DEPENDENCYPART_ARC
(8,11),-0.736857 # DEPENDENCYPART_ARC
(8,12),-1.41793 # DEPENDENCYPART_ARC
(8,13),-2.14083 # DEPENDENCYPART_ARC
(8,14),-0.610206 # DEPENDENCYPART_ARC
(8,15),-1.17725 # DEPENDENCYPART_ARC
(8,16),-1.07407 # DEPENDENCYPART_ARC
(8,17),-0.798629 # DEPENDENCYPART_ARC
(8,18),-1.48867 # DEPENDENCYPART_ARC
(8,20),-0.671555 # DEPENDENCYPART_ARC
(8,22),-2.14013 # DEPENDENCYPART_ARC
(8,23),-1.90258 # DEPENDENCYPART_ARC
(8,24),-1.50332 # DEPENDENCYPART_ARC
(9,6),-0.620851 # DEPENDENCYPART_ARC
(9,7),-0.536657 # DEPENDENCYPART_ARC
(9,8),-0.183739 # DEPENDENCYPART_ARC
(10,1),-2.1757 # DEPENDENCYPART_ARC
(10,8),-1.57399 # DEPENDENCYPART_ARC
(10,9),-0.714285 # DEPENDENCYPART_ARC
(10,11),-0.968661 # DEPENDENCYPART_ARC
(10,12),-2.69293 # DEPENDENCYPART_ARC
(10,13),-2.03657 # DEPENDENCYPART_ARC
(10,14),-2.38934 # DEPENDENCYPART_ARC
(11,1),-2.11443 # DEPENDENCYPART_ARC
