# _root_ pisu baten erosteko , beren seme-alaben ikasketen pagatzeko edo erretreta gehigarri baten segurtatzeko erabil daiteke , ministerioak eman zituen adibideen_arabera .
#goldHeads=3,1,9,3,6,7,8,9,14,13,10,10,9,0,14,15,18,20,18,14,20,
#predictedHeads=3,1,9,3,6,7,8,9,13,13,10,10,14,18,14,15,18,0,18,18,20,
(0,1),-0.906218 # DEPENDENCYPART_ARC
(0,2),-1.65653 # DEPENDENCYPART_ARC
(0,3),-1.15504 # DEPENDENCYPART_ARC
(0,4),-0.915712 # DEPENDENCYPART_ARC
(0,6),-1.52735 # DEPENDENCYPART_ARC
(0,7),-1.34406 # DEPENDENCYPART_ARC
(0,8),-1.55436 # DEPENDENCYPART_ARC
(0,9),-0.876056 # DEPENDENCYPART_ARC
(0,10),-1.73016 # DEPENDENCYPART_ARC
(0,13),-1.3236 # DEPENDENCYPART_ARC
(0,14),-0.597307 # DEPENDENCYPART_ARC
(0,15),-1.36706 # DEPENDENCYPART_ARC
(0,16),-0.838512 # DEPENDENCYPART_ARC
(0,17),-2.18732 # DEPENDENCYPART_ARC
(0,18),-0.488808 # DEPENDENCYPART_ARC
(0,19),-1.58203 # DEPENDENCYPART_ARC
(0,20),-3.28796 # DEPENDENCYPART_ARC
(0,21),-3.54708 # DEPENDENCYPART_ARC
(1,2),2.89375 # DEPENDENCYPART_ARC
(1,3),-0.74454 # DEPENDENCYPART_ARC
(1,4),-1.25837 # DEPENDENCYPART_ARC
(1,5),-0.632741 # DEPENDENCYPART_ARC
(1,12),0.409338 # DEPENDENCYPART_ARC
(2,1),-0.181899 # DEPENDENCYPART_ARC
(3,1),1.67921 # DEPENDENCYPART_ARC
(3,2),0.681286 # DEPENDENCYPART_ARC
(3,4),0.937818 # DEPENDENCYPART_ARC
(3,5),-2.01335 # DEPENDENCYPART_ARC
(3,6),-2.1795 # DEPENDENCYPART_ARC
(3,7),-1.44679 # DEPENDENCYPART_ARC
(3,8),-1.50911 # DEPENDENCYPART_ARC
(3,9),-0.712218 # DEPENDENCYPART_ARC
(3,10),-2.17855 # DEPENDENCYPART_ARC
(3,11),-1.56735 # DEPENDENCYPART_ARC
(3,13),-1.65474 # DEPENDENCYPART_ARC
(3,14),-1.6396 # DEPENDENCYPART_ARC
(3,15),-1.65117 # DEPENDENCYPART_ARC
(3,18),-2.2977 # DEPENDENCYPART_ARC
(3,19),-2.28973 # DEPENDENCYPART_ARC
(3,20),-3.20579 # DEPENDENCYPART_ARC
(4,3),0.0941094 # DEPENDENCYPART_ARC
(4,6),-0.647323 # DEPENDENCYPART_ARC
(4,8),-0.686139 # DEPENDENCYPART_ARC
(5,4),-0.441545 # DEPENDENCYPART_ARC
(6,1),-0.557496 # DEPENDENCYPART_ARC
(6,2),-2.74191 # DEPENDENCYPART_ARC
(6,3),-1.08824 # DEPENDENCYPART_ARC
