# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,0,4,8,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,0,23,24,
(0,1),0.879597 # DEPENDENCYPART_ARC
(0,2),-1.07965 # DEPENDENCYPART_ARC
(0,3),-0.25774 # DEPENDENCYPART_ARC
(0,4),0.749878 # DEPENDENCYPART_ARC
(0,5),-0.59731 # DEPENDENCYPART_ARC
(0,6),-1.23931 # DEPENDENCYPART_ARC
(0,7),-0.419605 # DEPENDENCYPART_ARC
(0,8),0.382121 # DEPENDENCYPART_ARC
(0,9),-0.735984 # DEPENDENCYPART_ARC
(0,10),-1.50355 # DEPENDENCYPART_ARC
(0,11),-0.89436 # DEPENDENCYPART_ARC
(0,12),-0.726159 # DEPENDENCYPART_ARC
(0,13),0.705334 # DEPENDENCYPART_ARC
(0,14),-1.63785 # DEPENDENCYPART_ARC
(0,15),-0.928373 # DEPENDENCYPART_ARC
(0,17),-0.861682 # DEPENDENCYPART_ARC
(0,18),-1.52646 # DEPENDENCYPART_ARC
(0,19),-1.58481 # DEPENDENCYPART_ARC
(0,20),-1.18665 # DEPENDENCYPART_ARC
(0,21),-1.88917 # DEPENDENCYPART_ARC
(0,22),-1.6178 # DEPENDENCYPART_ARC
(0,23),1.65421 # DEPENDENCYPART_ARC
(0,24),-1.5788 # DEPENDENCYPART_ARC
(0,25),-2.426 # DEPENDENCYPART_ARC
(1,2),-1.74305 # DEPENDENCYPART_ARC
(2,1),-0.414576 # DEPENDENCYPART_ARC
(2,3),1.82638 # DEPENDENCYPART_ARC
(2,4),-0.393189 # DEPENDENCYPART_ARC
(2,6),-0.434645 # DEPENDENCYPART_ARC
(4,2),0.652843 # DEPENDENCYPART_ARC
(4,3),0.000945451 # DEPENDENCYPART_ARC
(4,5),1.94003 # DEPENDENCYPART_ARC
(4,6),0.0666427 # DEPENDENCYPART_ARC
(4,8),0.847736 # DEPENDENCYPART_ARC
(4,11),-0.8188 # DEPENDENCYPART_ARC
(4,13),-0.711361 # DEPENDENCYPART_ARC
(4,16),-0.822447 # DEPENDENCYPART_ARC
(4,19),-1.55453 # DEPENDENCYPART_ARC
(4,23),-0.569415 # DEPENDENCYPART_ARC
(5,6),-1.10089 # DEPENDENCYPART_ARC
(6,4),-0.438623 # DEPENDENCYPART_ARC
(6,5),-0.421069 # DEPENDENCYPART_ARC
(6,7),1.46454 # DEPENDENCYPART_ARC
(6,8),-1.52856 # DEPENDENCYPART_ARC
(7,8),-1.28896 # DEPENDENCYPART_ARC
(7,9),-0.793495 # DEPENDENCYPART_ARC
(8,2),-0.179862 # DEPENDENCYPART_ARC
(8,4),0.738421 # DEPENDENCYPART_ARC
(8,6),1.30031 # DEPENDENCYPART_ARC
(8,9),1.64995 # DEPENDENCYPART_ARC
