# _root_ eajko diputatu iñaki_anasagastik adierazi zuenez , bartzelonako_adierazpena " ez da fronte bat " , eta ciuk gobernuarekin izan dezakeen harremanak ez du oztopatzen hiru alderdien elkarlana .
#goldHeads=2,3,4,15,4,5,10,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,15,25,26,23,26,
#predictedHeads=2,3,4,23,4,5,15,7,10,15,10,11,12,13,0,18,18,20,18,23,23,23,25,25,26,10,26,
(0,1),-0.530343 # DEPENDENCYPART_ARC
(0,2),-0.798624 # DEPENDENCYPART_ARC
(0,3),-1.59294 # DEPENDENCYPART_ARC
(0,4),-0.151022 # DEPENDENCYPART_ARC
(0,5),-0.965183 # DEPENDENCYPART_ARC
(0,6),-0.969128 # DEPENDENCYPART_ARC
(0,7),-1.72542 # DEPENDENCYPART_ARC
(0,8),-2.00744 # DEPENDENCYPART_ARC
(0,9),-1.70911 # DEPENDENCYPART_ARC
(0,10),-0.0982216 # DEPENDENCYPART_ARC
(0,11),-1.69736 # DEPENDENCYPART_ARC
(0,12),-1.62604 # DEPENDENCYPART_ARC
(0,13),-2.5185 # DEPENDENCYPART_ARC
(0,14),-1.10924 # DEPENDENCYPART_ARC
(0,15),0.507633 # DEPENDENCYPART_ARC
(0,17),-1.61428 # DEPENDENCYPART_ARC
(0,18),-0.697578 # DEPENDENCYPART_ARC
(0,19),-1.52143 # DEPENDENCYPART_ARC
(0,21),-2.47513 # DEPENDENCYPART_ARC
(0,22),-1.79375 # DEPENDENCYPART_ARC
(0,23),-2.71759 # DEPENDENCYPART_ARC
(0,24),-1.73393 # DEPENDENCYPART_ARC
(0,25),-2.62326 # DEPENDENCYPART_ARC
(0,26),-2.04993 # DEPENDENCYPART_ARC
(0,27),-4.23835 # DEPENDENCYPART_ARC
(1,2),0.0712324 # DEPENDENCYPART_ARC
(1,3),-2.5078 # DEPENDENCYPART_ARC
(2,1),1.91631 # DEPENDENCYPART_ARC
(2,3),1.55847 # DEPENDENCYPART_ARC
(2,4),-0.67234 # DEPENDENCYPART_ARC
(2,5),-0.927493 # DEPENDENCYPART_ARC
(2,7),-0.724083 # DEPENDENCYPART_ARC
(2,12),-0.535155 # DEPENDENCYPART_ARC
(2,24),-2.24138 # DEPENDENCYPART_ARC
(3,2),0.606467 # DEPENDENCYPART_ARC
(4,1),0.198 # DEPENDENCYPART_ARC
(4,2),0.459479 # DEPENDENCYPART_ARC
(4,3),1.46709 # DEPENDENCYPART_ARC
(4,5),1.31603 # DEPENDENCYPART_ARC
(4,6),-1.1069 # DEPENDENCYPART_ARC
(4,7),-0.92607 # DEPENDENCYPART_ARC
(4,10),-1.83646 # DEPENDENCYPART_ARC
(4,11),-2.31287 # DEPENDENCYPART_ARC
(4,15),-1.01229 # DEPENDENCYPART_ARC
(4,18),-2.37177 # DEPENDENCYPART_ARC
(4,23),-2.6348 # DEPENDENCYPART_ARC
(5,1),-1.85525 # DEPENDENCYPART_ARC
(5,2),-0.775121 # DEPENDENCYPART_ARC
(5,3),-1.26103 # DEPENDENCYPART_ARC
(5,6),1.34779 # DEPENDENCYPART_ARC
(5,7),-1.76649 # DEPENDENCYPART_ARC
(5,10),-1.93561 # DEPENDENCYPART_ARC
(6,1),-0.46817 # DEPENDENCYPART_ARC
(6,3),-0.161571 # DEPENDENCYPART_ARC
(6,5),0.0109601 # DEPENDENCYPART_ARC
(6,10),-0.943674 # DEPENDENCYPART_ARC
(7,6),-0.547985 # DEPENDENCYPART_ARC
(7,8),1.74938 # DEPENDENCYPART_ARC
(7,11),-0.789272 # DEPENDENCYPART_ARC
(8,1),-1.11406 # DEPENDENCYPART_ARC
(8,9),-0.699379 # DEPENDENCYPART_ARC
(9,2),-0.759479 # DEPENDENCYPART_ARC
