# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,10,2,0,4,10,10,7,10,4,10,11,21,16,14,10,16,16,18,18,19,21,22,
(0,1),-0.815359 # DEPENDENCYPART_ARC
(0,2),-0.885757 # DEPENDENCYPART_ARC
(0,3),-1.63213 # DEPENDENCYPART_ARC
(0,4),-0.250155 # DEPENDENCYPART_ARC
(0,5),-1.28118 # DEPENDENCYPART_ARC
(0,6),-0.688573 # DEPENDENCYPART_ARC
(0,7),-1.1352 # DEPENDENCYPART_ARC
(0,8),-1.51756 # DEPENDENCYPART_ARC
(0,9),-1.79408 # DEPENDENCYPART_ARC
(0,10),-0.86317 # DEPENDENCYPART_ARC
(0,11),-1.24012 # DEPENDENCYPART_ARC
(0,12),-1.038 # DEPENDENCYPART_ARC
(0,13),-0.929752 # DEPENDENCYPART_ARC
(0,14),-1.72819 # DEPENDENCYPART_ARC
(0,15),-1.11693 # DEPENDENCYPART_ARC
(0,16),-1.38826 # DEPENDENCYPART_ARC
(0,18),-1.83733 # DEPENDENCYPART_ARC
(0,19),-1.20776 # DEPENDENCYPART_ARC
(0,20),-1.76732 # DEPENDENCYPART_ARC
(0,21),-0.22897 # DEPENDENCYPART_ARC
(0,22),-2.04618 # DEPENDENCYPART_ARC
(0,23),-3.3059 # DEPENDENCYPART_ARC
(1,2),-1.34758 # DEPENDENCYPART_ARC
(1,8),-0.65768 # DEPENDENCYPART_ARC
(2,1),-0.69832 # DEPENDENCYPART_ARC
(2,3),2.09217 # DEPENDENCYPART_ARC
(2,4),-0.341887 # DEPENDENCYPART_ARC
(2,5),-0.763363 # DEPENDENCYPART_ARC
(2,8),-1.10769 # DEPENDENCYPART_ARC
(2,9),-0.167994 # DEPENDENCYPART_ARC
(2,20),-0.518038 # DEPENDENCYPART_ARC
(3,2),-0.214399 # DEPENDENCYPART_ARC
(3,4),-0.068578 # DEPENDENCYPART_ARC
(4,1),-0.838048 # DEPENDENCYPART_ARC
(4,2),0.333524 # DEPENDENCYPART_ARC
(4,3),0.187936 # DEPENDENCYPART_ARC
(4,5),1.32919 # DEPENDENCYPART_ARC
(4,6),-0.327938 # DEPENDENCYPART_ARC
(4,7),-0.323969 # DEPENDENCYPART_ARC
(4,8),-0.279044 # DEPENDENCYPART_ARC
(4,9),-0.275849 # DEPENDENCYPART_ARC
(4,10),-0.324708 # DEPENDENCYPART_ARC
(4,14),-1.33769 # DEPENDENCYPART_ARC
(4,16),-0.511038 # DEPENDENCYPART_ARC
(4,17),-1.3368 # DEPENDENCYPART_ARC
(4,18),-1.20488 # DEPENDENCYPART_ARC
(4,19),-1.16468 # DEPENDENCYPART_ARC
(4,21),-0.779976 # DEPENDENCYPART_ARC
(5,8),-1.48998 # DEPENDENCYPART_ARC
(5,21),-2.55527 # DEPENDENCYPART_ARC
(6,2),-1.16177 # DEPENDENCYPART_ARC
(6,4),-0.896492 # DEPENDENCYPART_ARC
(6,5),-0.341393 # DEPENDENCYPART_ARC
(6,7),-0.413239 # DEPENDENCYPART_ARC
(6,12),-0.505996 # DEPENDENCYPART_ARC
(7,1),-1.75138 # DEPENDENCYPART_ARC
(7,2),-1.05196 # DEPENDENCYPART_ARC
(7,3),-1.51686 # DEPENDENCYPART_ARC
(7,4),-0.654967 # DEPENDENCYPART_ARC
(7,5),-1.3085 # DEPENDENCYPART_ARC
(7,6),-0.183224 # DEPENDENCYPART_ARC
(7,8),1.11577 # DEPENDENCYPART_ARC
(7,9),0.43838 # DEPENDENCYPART_ARC
(7,11),-1.4224 # DEPENDENCYPART_ARC
(7,20),-0.939008 # DEPENDENCYPART_ARC
(8,6),-0.581832 # DEPENDENCYPART_ARC
(8,7),-0.300983 # DEPENDENCYPART_ARC
(8,9),-0.173129 # DEPENDENCYPART_ARC
(8,10),-0.995192 # DEPENDENCYPART_ARC
(9,6),-0.30396 # DEPENDENCYPART_ARC
(9,7),-0.429309 # DEPENDENCYPART_ARC
(9,8),0.765245 # DEPENDENCYPART_ARC
(10,1),-0.0362522 # DEPENDENCYPART_ARC
(10,2),0.624323 # DEPENDENCYPART_ARC
(10,3),-0.930121 # DEPENDENCYPART_ARC
(10,4),-0.0166768 # DEPENDENCYPART_ARC
(10,5),-1.10585 # DEPENDENCYPART_ARC
(10,6),0.817954 # DEPENDENCYPART_ARC
(10,7),1.33441 # DEPENDENCYPART_ARC
(10,8),-0.280226 # DEPENDENCYPART_ARC
(10,9),0.719829 # DEPENDENCYPART_ARC
(10,11),2.92893 # DEPENDENCYPART_ARC
(10,12),-0.16825 # DEPENDENCYPART_ARC
(10,13),0.0873117 # DEPENDENCYPART_ARC
(10,14),-0.156501 # DEPENDENCYPART_ARC
(10,15),-0.556394 # DEPENDENCYPART_ARC
(10,16),0.144997 # DEPENDENCYPART_ARC
(10,17),-1.67785 # DEPENDENCYPART_ARC
(10,18),-1.27133 # DEPENDENCYPART_ARC
(10,19),-0.185855 # DEPENDENCYPART_ARC
(10,21),-0.746832 # DEPENDENCYPART_ARC
(10,22),-0.690088 # DEPENDENCYPART_ARC
(11,7),-0.690975 # DEPENDENCYPART_ARC
(11,9),-0.437058 # DEPENDENCYPART_ARC
(11,12),1.77416 # DEPENDENCYPART_ARC
(11,13),-0.781167 # DEPENDENCYPART_ARC
(11,16),-1.00418 # DEPENDENCYPART_ARC
(11,21),-1.50084 # DEPENDENCYPART_ARC
