# _root_ bigarrenik , polimerizazio edo oxigeno zein nitrogenozko zubi baten bidezko bi molekula organikoren konbinazioa , eta alderantzizko prozesu edo hidrolisia .
#goldHeads=0,1,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,16,19,20,
#predictedHeads=3,3,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,4,19,20,
(0,2),-1.2196 # DEPENDENCYPART_ARC
(0,3),-0.872152 # DEPENDENCYPART_ARC
(0,4),-1.07899 # DEPENDENCYPART_ARC
(0,5),-1.00303 # DEPENDENCYPART_ARC
(0,6),-1.08789 # DEPENDENCYPART_ARC
(0,12),-1.66329 # DEPENDENCYPART_ARC
(0,13),-1.6817 # DEPENDENCYPART_ARC
(0,14),-2.30242 # DEPENDENCYPART_ARC
(0,15),-1.50945 # DEPENDENCYPART_ARC
(0,16),-0.635591 # DEPENDENCYPART_ARC
(0,17),-1.62602 # DEPENDENCYPART_ARC
(0,18),-2.30259 # DEPENDENCYPART_ARC
(0,19),-2.63464 # DEPENDENCYPART_ARC
(0,20),-2.26556 # DEPENDENCYPART_ARC
(0,21),-3.07516 # DEPENDENCYPART_ARC
(2,3),-0.844292 # DEPENDENCYPART_ARC
(3,1),-1.00268 # DEPENDENCYPART_ARC
(3,2),-0.495947 # DEPENDENCYPART_ARC
(3,4),0.150482 # DEPENDENCYPART_ARC
(3,5),-0.465971 # DEPENDENCYPART_ARC
(4,2),-0.934212 # DEPENDENCYPART_ARC
(4,3),2.87818 # DEPENDENCYPART_ARC
(4,5),1.77215 # DEPENDENCYPART_ARC
(4,6),0.0872601 # DEPENDENCYPART_ARC
(4,7),0.826687 # DEPENDENCYPART_ARC
(4,8),-0.0986874 # DEPENDENCYPART_ARC
(4,9),-0.360737 # DEPENDENCYPART_ARC
(4,10),0.155879 # DEPENDENCYPART_ARC
(4,11),-0.126735 # DEPENDENCYPART_ARC
(4,12),-0.472894 # DEPENDENCYPART_ARC
(4,14),0.00583097 # DEPENDENCYPART_ARC
(4,16),-1.34889 # DEPENDENCYPART_ARC
(4,18),-1.24374 # DEPENDENCYPART_ARC
(4,19),-0.0339967 # DEPENDENCYPART_ARC
(4,20),-0.379203 # DEPENDENCYPART_ARC
(5,1),-2.17186 # DEPENDENCYPART_ARC
(5,2),-1.85466 # DEPENDENCYPART_ARC
(5,3),-0.672995 # DEPENDENCYPART_ARC
(5,4),-0.44407 # DEPENDENCYPART_ARC
(5,6),0.0414044 # DEPENDENCYPART_ARC
(5,7),0.0140487 # DEPENDENCYPART_ARC
(5,9),-0.643772 # DEPENDENCYPART_ARC
(6,2),-1.62719 # DEPENDENCYPART_ARC
(6,3),0.799801 # DEPENDENCYPART_ARC
(6,4),-0.817764 # DEPENDENCYPART_ARC
(6,5),1.91292 # DEPENDENCYPART_ARC
(6,7),2.14913 # DEPENDENCYPART_ARC
(6,8),0.122724 # DEPENDENCYPART_ARC
(6,9),-0.555338 # DEPENDENCYPART_ARC
(6,10),0.298092 # DEPENDENCYPART_ARC
(6,11),-0.35887 # DEPENDENCYPART_ARC
(6,12),-0.251779 # DEPENDENCYPART_ARC
(6,14),0.251949 # DEPENDENCYPART_ARC
