# _root_ baina oraingoan , alderdiko ordezkaritza guztiek eman die abisu alderdikideei , " abenturazko bideetara eraman nahi_gaituztenak berriz_ere uxatzeko " agindurik .
#goldHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,16,18,18,20,18,7,20,
#predictedHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,18,15,18,7,18,15,20,
(0,1),1.56497 # DEPENDENCYPART_ARC
(0,2),-0.87002 # DEPENDENCYPART_ARC
(0,3),-1.13849 # DEPENDENCYPART_ARC
(0,4),-0.834926 # DEPENDENCYPART_ARC
(0,6),-1.97868 # DEPENDENCYPART_ARC
(0,7),0.155829 # DEPENDENCYPART_ARC
(0,8),-1.07595 # DEPENDENCYPART_ARC
(0,9),-0.695681 # DEPENDENCYPART_ARC
(0,10),-1.49179 # DEPENDENCYPART_ARC
(0,11),-1.26226 # DEPENDENCYPART_ARC
(0,12),-2.09843 # DEPENDENCYPART_ARC
(0,15),-0.913209 # DEPENDENCYPART_ARC
(0,16),-0.824374 # DEPENDENCYPART_ARC
(0,17),-1.52377 # DEPENDENCYPART_ARC
(0,18),-1.66412 # DEPENDENCYPART_ARC
(0,19),-3.53967 # DEPENDENCYPART_ARC
(0,20),-1.22358 # DEPENDENCYPART_ARC
(0,21),-3.46722 # DEPENDENCYPART_ARC
(1,2),-1.03121 # DEPENDENCYPART_ARC
(1,3),-1.52038 # DEPENDENCYPART_ARC
(1,7),-1.48574 # DEPENDENCYPART_ARC
(1,18),-2.67966 # DEPENDENCYPART_ARC
(1,20),-3.05862 # DEPENDENCYPART_ARC
(2,1),-0.5862 # DEPENDENCYPART_ARC
(2,3),1.20501 # DEPENDENCYPART_ARC
(2,4),-0.961887 # DEPENDENCYPART_ARC
(2,5),-0.959969 # DEPENDENCYPART_ARC
(2,17),-0.944734 # DEPENDENCYPART_ARC
(3,1),-1.09321 # DEPENDENCYPART_ARC
(3,4),-0.859041 # DEPENDENCYPART_ARC
(4,1),-1.20734 # DEPENDENCYPART_ARC
(4,2),-1.26661 # DEPENDENCYPART_ARC
(4,3),-0.203217 # DEPENDENCYPART_ARC
(4,5),-0.615054 # DEPENDENCYPART_ARC
(4,6),-1.13403 # DEPENDENCYPART_ARC
(4,8),-2.16602 # DEPENDENCYPART_ARC
(5,1),-0.923724 # DEPENDENCYPART_ARC
(5,2),-1.164 # DEPENDENCYPART_ARC
(5,3),-1.30767 # DEPENDENCYPART_ARC
(5,4),1.27443 # DEPENDENCYPART_ARC
(5,6),2.63874 # DEPENDENCYPART_ARC
(5,8),-0.823629 # DEPENDENCYPART_ARC
(5,10),-0.886392 # DEPENDENCYPART_ARC
(6,5),-0.151251 # DEPENDENCYPART_ARC
(7,1),-0.532813 # DEPENDENCYPART_ARC
(7,2),0.137951 # DEPENDENCYPART_ARC
(7,3),-1.29906 # DEPENDENCYPART_ARC
(7,4),0.166749 # DEPENDENCYPART_ARC
(7,5),1.33792 # DEPENDENCYPART_ARC
(7,6),0.618639 # DEPENDENCYPART_ARC
(7,8),1.63549 # DEPENDENCYPART_ARC
(7,9),0.869228 # DEPENDENCYPART_ARC
(7,10),1.1349 # DEPENDENCYPART_ARC
(7,11),-0.765109 # DEPENDENCYPART_ARC
(7,13),-1.8072 # DEPENDENCYPART_ARC
(7,14),-0.967698 # DEPENDENCYPART_ARC
(7,15),-0.463801 # DEPENDENCYPART_ARC
(7,16),0.0281234 # DEPENDENCYPART_ARC
(7,17),-0.960416 # DEPENDENCYPART_ARC
(7,18),0.101378 # DEPENDENCYPART_ARC
(7,20),-0.641294 # DEPENDENCYPART_ARC
(8,9),-1.18662 # DEPENDENCYPART_ARC
(9,3),-1.56423 # DEPENDENCYPART_ARC
(9,4),-0.544189 # DEPENDENCYPART_ARC
(9,5),-0.623716 # DEPENDENCYPART_ARC
(9,7),0.0444128 # DEPENDENCYPART_ARC
(9,8),-1.60872 # DEPENDENCYPART_ARC
(9,10),-1.02205 # DEPENDENCYPART_ARC
(9,11),-0.426063 # DEPENDENCYPART_ARC
(9,13),-1.17928 # DEPENDENCYPART_ARC
(9,14),-1.30758 # DEPENDENCYPART_ARC
(10,1),-0.978669 # DEPENDENCYPART_ARC
(10,2),-1.35008 # DEPENDENCYPART_ARC
(10,3),-1.91001 # DEPENDENCYPART_ARC
(10,4),-0.750798 # DEPENDENCYPART_ARC
(10,5),-0.62824 # DEPENDENCYPART_ARC
(10,7),-0.70162 # DEPENDENCYPART_ARC
(10,8),-1.70102 # DEPENDENCYPART_ARC
(10,9),0.296517 # DEPENDENCYPART_ARC
(10,11),1.24573 # DEPENDENCYPART_ARC
(10,13),0.00166507 # DEPENDENCYPART_ARC
(10,14),-0.791497 # DEPENDENCYPART_ARC
(10,15),-1.03331 # DEPENDENCYPART_ARC
(10,16),-2.50293 # DEPENDENCYPART_ARC
(10,17),-1.32992 # DEPENDENCYPART_ARC
(10,18),-1.84511 # DEPENDENCYPART_ARC
(10,20),-1.51449 # DEPENDENCYPART_ARC
(10,21),-0.842042 # DEPENDENCYPART_ARC
(11,7),-0.353541 # DEPENDENCYPART_ARC
(11,8),-0.923472 # DEPENDENCYPART_ARC
(11,9),-0.695285 # DEPENDENCYPART_ARC
(11,12),1.47681 # DEPENDENCYPART_ARC
(11,13),-0.621648 # DEPENDENCYPART_ARC
(11,14),-0.286586 # DEPENDENCYPART_ARC
(11,15),-0.863223 # DEPENDENCYPART_ARC
(11,16),-0.876652 # DEPENDENCYPART_ARC
(11,18),-1.06318 # DEPENDENCYPART_ARC
