# _root_ azkenik , agiri " nazionala " zein den ere zalantzan jarri zuen , " epaigelako bi banderen_artean ere bakoitzak bat hartzen baitu bere naziokotzat " .
#goldHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,21,11,21,24,21,24,25,
#predictedHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,3,3,21,24,21,24,25,
(0,1),-0.147263 # DEPENDENCYPART_ARC
(0,2),-1.543 # DEPENDENCYPART_ARC
(0,3),-0.847836 # DEPENDENCYPART_ARC
(0,4),-0.96806 # DEPENDENCYPART_ARC
(0,5),-1.59499 # DEPENDENCYPART_ARC
(0,6),-0.824577 # DEPENDENCYPART_ARC
(0,7),-1.69078 # DEPENDENCYPART_ARC
(0,8),-1.27092 # DEPENDENCYPART_ARC
(0,9),1.59689 # DEPENDENCYPART_ARC
(0,10),-0.6727 # DEPENDENCYPART_ARC
(0,11),0.600215 # DEPENDENCYPART_ARC
(0,12),-0.839756 # DEPENDENCYPART_ARC
(0,13),-1.01526 # DEPENDENCYPART_ARC
(0,14),-1.45717 # DEPENDENCYPART_ARC
(0,15),-1.27618 # DEPENDENCYPART_ARC
(0,16),-1.27602 # DEPENDENCYPART_ARC
(0,17),-1.57444 # DEPENDENCYPART_ARC
(0,18),0.798976 # DEPENDENCYPART_ARC
(0,19),-2.036 # DEPENDENCYPART_ARC
(0,20),-1.4161 # DEPENDENCYPART_ARC
(0,21),-0.769123 # DEPENDENCYPART_ARC
(0,22),-0.954932 # DEPENDENCYPART_ARC
(0,24),-2.43858 # DEPENDENCYPART_ARC
(0,25),-3.52816 # DEPENDENCYPART_ARC
(0,26),-2.55695 # DEPENDENCYPART_ARC
(1,2),-0.969269 # DEPENDENCYPART_ARC
(1,3),-1.58742 # DEPENDENCYPART_ARC
(2,3),-0.948165 # DEPENDENCYPART_ARC
(2,5),-1.29774 # DEPENDENCYPART_ARC
(2,8),-0.750871 # DEPENDENCYPART_ARC
(3,1),-0.840974 # DEPENDENCYPART_ARC
(3,2),-0.0480927 # DEPENDENCYPART_ARC
(3,4),1.88391 # DEPENDENCYPART_ARC
(3,5),1.09673 # DEPENDENCYPART_ARC
(3,7),0.327464 # DEPENDENCYPART_ARC
(3,8),-1.1337 # DEPENDENCYPART_ARC
(3,10),-0.677696 # DEPENDENCYPART_ARC
(3,16),-1.114 # DEPENDENCYPART_ARC
(3,20),0.604203 # DEPENDENCYPART_ARC
(3,21),-0.57917 # DEPENDENCYPART_ARC
(3,24),-0.895725 # DEPENDENCYPART_ARC
(4,3),-0.547625 # DEPENDENCYPART_ARC
(4,5),-1.05472 # DEPENDENCYPART_ARC
(4,9),-0.871705 # DEPENDENCYPART_ARC
(5,1),-0.437412 # DEPENDENCYPART_ARC
(5,3),-0.648361 # DEPENDENCYPART_ARC
(5,4),-0.246171 # DEPENDENCYPART_ARC
(5,6),1.30886 # DEPENDENCYPART_ARC
(5,11),-2.36504 # DEPENDENCYPART_ARC
(6,3),-1.02214 # DEPENDENCYPART_ARC
(6,9),-0.803202 # DEPENDENCYPART_ARC
(7,6),0.0183298 # DEPENDENCYPART_ARC
(7,8),0.784495 # DEPENDENCYPART_ARC
(8,1),-0.473279 # DEPENDENCYPART_ARC
(8,2),-1.14382 # DEPENDENCYPART_ARC
(8,3),-0.451774 # DEPENDENCYPART_ARC
(8,5),-0.368955 # DEPENDENCYPART_ARC
(8,7),0.776295 # DEPENDENCYPART_ARC
(8,9),1.17308 # DEPENDENCYPART_ARC
(8,10),0.0870724 # DEPENDENCYPART_ARC
(8,11),-0.609525 # DEPENDENCYPART_ARC
(8,12),-1.01282 # DEPENDENCYPART_ARC
(8,15),-1.53609 # DEPENDENCYPART_ARC
(8,17),-0.996662 # DEPENDENCYPART_ARC
