# _root_ ia atean obrero bat , gau lanetik itzultzen dirudiena , sumindu aurpegiarekin .
#goldHeads=2,0,0,3,4,7,8,9,3,9,12,0,12,
#predictedHeads=8,3,8,3,4,7,8,9,11,9,0,8,12,
(0,1),-0.445708 # DEPENDENCYPART_ARC
(0,2),-0.902402 # DEPENDENCYPART_ARC
(0,3),-1.00839 # DEPENDENCYPART_ARC
(0,4),-1.81148 # DEPENDENCYPART_ARC
(0,5),-1.52061 # DEPENDENCYPART_ARC
(0,6),-1.07158 # DEPENDENCYPART_ARC
(0,7),-1.34539 # DEPENDENCYPART_ARC
(0,8),-1.09589 # DEPENDENCYPART_ARC
(0,10),-1.6593 # DEPENDENCYPART_ARC
(0,11),-0.561965 # DEPENDENCYPART_ARC
(0,12),-1.63291 # DEPENDENCYPART_ARC
(0,13),-2.5424 # DEPENDENCYPART_ARC
(1,2),-0.721255 # DEPENDENCYPART_ARC
(1,3),-1.66121 # DEPENDENCYPART_ARC
(1,5),-1.70667 # DEPENDENCYPART_ARC
(1,7),-1.79521 # DEPENDENCYPART_ARC
(2,1),-0.308713 # DEPENDENCYPART_ARC
(2,3),0.203961 # DEPENDENCYPART_ARC
(2,4),-1.59352 # DEPENDENCYPART_ARC
(2,5),-1.13862 # DEPENDENCYPART_ARC
(2,6),-1.69755 # DEPENDENCYPART_ARC
(2,7),-2.18733 # DEPENDENCYPART_ARC
(2,8),-2.08947 # DEPENDENCYPART_ARC
(2,9),-1.86378 # DEPENDENCYPART_ARC
(2,11),-1.78133 # DEPENDENCYPART_ARC
(2,12),-2.52021 # DEPENDENCYPART_ARC
(2,13),-1.02315 # DEPENDENCYPART_ARC
(3,1),-0.629123 # DEPENDENCYPART_ARC
(3,2),1.30354 # DEPENDENCYPART_ARC
(3,4),1.60385 # DEPENDENCYPART_ARC
(3,5),-0.295146 # DEPENDENCYPART_ARC
(3,6),-0.734877 # DEPENDENCYPART_ARC
(3,7),-0.730397 # DEPENDENCYPART_ARC
(3,8),-0.778515 # DEPENDENCYPART_ARC
(3,9),-0.906176 # DEPENDENCYPART_ARC
(3,11),-0.858037 # DEPENDENCYPART_ARC
(3,12),-1.11224 # DEPENDENCYPART_ARC
(3,13),-0.857053 # DEPENDENCYPART_ARC
(4,1),-0.524337 # DEPENDENCYPART_ARC
(4,2),-0.375713 # DEPENDENCYPART_ARC
(4,3),-0.473271 # DEPENDENCYPART_ARC
(4,5),1.58424 # DEPENDENCYPART_ARC
(4,6),-0.716464 # DEPENDENCYPART_ARC
(5,3),-0.707071 # DEPENDENCYPART_ARC
(5,6),-0.804797 # DEPENDENCYPART_ARC
(5,7),-1.37708 # DEPENDENCYPART_ARC
(5,8),-1.0498 # DEPENDENCYPART_ARC
(5,11),-1.39764 # DEPENDENCYPART_ARC
(5,12),-1.47925 # DEPENDENCYPART_ARC
(6,1),-1.70887 # DEPENDENCYPART_ARC
(6,2),-2.37791 # DEPENDENCYPART_ARC
(6,3),-1.18112 # DEPENDENCYPART_ARC
(6,4),-1.6859 # DEPENDENCYPART_ARC
(6,5),-0.0692477 # DEPENDENCYPART_ARC
(6,7),0.967341 # DEPENDENCYPART_ARC
(6,8),-0.400289 # DEPENDENCYPART_ARC
(6,9),-0.529236 # DEPENDENCYPART_ARC
(6,11),-0.10318 # DEPENDENCYPART_ARC
(6,12),-0.646366 # DEPENDENCYPART_ARC
(6,13),-0.472237 # DEPENDENCYPART_ARC
(7,1),-1.17763 # DEPENDENCYPART_ARC
(7,2),-2.89771 # DEPENDENCYPART_ARC
(7,3),-1.05502 # DEPENDENCYPART_ARC
(7,4),-2.55877 # DEPENDENCYPART_ARC
(7,5),-1.1812 # DEPENDENCYPART_ARC
(7,6),1.60675 # DEPENDENCYPART_ARC
(7,8),-1.02502 # DEPENDENCYPART_ARC
(7,9),-1.14997 # DEPENDENCYPART_ARC
(7,10),-0.892843 # DEPENDENCYPART_ARC
(7,11),-1.76201 # DEPENDENCYPART_ARC
(7,12),-2.09969 # DEPENDENCYPART_ARC
(7,13),-0.960447 # DEPENDENCYPART_ARC
(8,1),0.194342 # DEPENDENCYPART_ARC
(8,2),0.855645 # DEPENDENCYPART_ARC
(8,3),0.159509 # DEPENDENCYPART_ARC
(8,4),-0.83125 # DEPENDENCYPART_ARC
(8,5),-0.999491 # DEPENDENCYPART_ARC
(8,6),1.57762 # DEPENDENCYPART_ARC
(8,7),2.75515 # DEPENDENCYPART_ARC
(8,9),0.355831 # DEPENDENCYPART_ARC
(8,10),-0.65264 # DEPENDENCYPART_ARC
(8,11),-0.676824 # DEPENDENCYPART_ARC
(8,12),0.100841 # DEPENDENCYPART_ARC
(9,6),0.376382 # DEPENDENCYPART_ARC
(9,7),1.59367 # DEPENDENCYPART_ARC
