# _root_ izen horien_artean , ordea , ez da_ageri orain_arte taldeko kide_gisa aipatu duten gorka palacios gaztea .
#goldHeads=7,1,2,0,4,7,0,11,10,11,15,11,15,13,7,15,
#predictedHeads=7,1,2,0,4,7,0,7,10,11,0,11,15,13,11,15,
(0,1),-1.0292 # DEPENDENCYPART_ARC
(0,2),-1.67132 # DEPENDENCYPART_ARC
(0,3),-1.06866 # DEPENDENCYPART_ARC
(0,4),1.36777 # DEPENDENCYPART_ARC
(0,5),-1.38672 # DEPENDENCYPART_ARC
(0,6),-0.984141 # DEPENDENCYPART_ARC
(0,7),-0.014172 # DEPENDENCYPART_ARC
(0,8),-1.26016 # DEPENDENCYPART_ARC
(0,9),-1.20858 # DEPENDENCYPART_ARC
(0,10),-1.36827 # DEPENDENCYPART_ARC
(0,11),0.680978 # DEPENDENCYPART_ARC
(0,12),-1.17764 # DEPENDENCYPART_ARC
(0,13),-1.99639 # DEPENDENCYPART_ARC
(0,14),-1.63333 # DEPENDENCYPART_ARC
(0,15),-1.74217 # DEPENDENCYPART_ARC
(0,16),-2.76466 # DEPENDENCYPART_ARC
(1,2),1.6401 # DEPENDENCYPART_ARC
(1,3),-0.823636 # DEPENDENCYPART_ARC
(1,4),-0.953138 # DEPENDENCYPART_ARC
(1,7),-0.775182 # DEPENDENCYPART_ARC
(2,3),2.06958 # DEPENDENCYPART_ARC
(2,9),-0.169053 # DEPENDENCYPART_ARC
(2,10),-0.355992 # DEPENDENCYPART_ARC
(2,11),-1.07779 # DEPENDENCYPART_ARC
(3,1),-1.14671 # DEPENDENCYPART_ARC
(3,7),-0.856504 # DEPENDENCYPART_ARC
(3,15),-1.69078 # DEPENDENCYPART_ARC
(4,3),-0.350564 # DEPENDENCYPART_ARC
(4,5),1.40578 # DEPENDENCYPART_ARC
(4,7),-0.310534 # DEPENDENCYPART_ARC
(4,11),-0.719541 # DEPENDENCYPART_ARC
(5,7),-1.03013 # DEPENDENCYPART_ARC
(5,10),-1.28069 # DEPENDENCYPART_ARC
(5,11),-1.54029 # DEPENDENCYPART_ARC
