# _root_ baliagarritasuna , bestalde , berebizikoa izan da gure gizartearen konfigurazioan .
#goldHeads=6,1,6,3,6,0,6,9,10,6,10,
#predictedHeads=6,3,0,3,6,0,6,9,10,6,10,
(0,1),-0.343173 # DEPENDENCYPART_ARC
(0,2),-1.35108 # DEPENDENCYPART_ARC
(0,3),1.2341 # DEPENDENCYPART_ARC
(0,4),-1.32955 # DEPENDENCYPART_ARC
(0,5),-2.06836 # DEPENDENCYPART_ARC
(0,6),0.504805 # DEPENDENCYPART_ARC
(0,7),-0.774456 # DEPENDENCYPART_ARC
(0,8),-1.96146 # DEPENDENCYPART_ARC
(0,9),-1.77327 # DEPENDENCYPART_ARC
(0,10),-2.12309 # DEPENDENCYPART_ARC
(0,11),-1.47621 # DEPENDENCYPART_ARC
(1,2),-0.458063 # DEPENDENCYPART_ARC
(1,3),-1.07081 # DEPENDENCYPART_ARC
(1,4),-1.21377 # DEPENDENCYPART_ARC
(1,5),-2.2227 # DEPENDENCYPART_ARC
(1,6),-2.35898 # DEPENDENCYPART_ARC
(1,7),-2.15709 # DEPENDENCYPART_ARC
(1,9),-2.03677 # DEPENDENCYPART_ARC
(1,10),-1.29162 # DEPENDENCYPART_ARC
(1,11),-1.40637 # DEPENDENCYPART_ARC
(2,1),-1.12869 # DEPENDENCYPART_ARC
(2,5),-1.37645 # DEPENDENCYPART_ARC
(2,6),-0.921443 # DEPENDENCYPART_ARC
(2,9),-1.25252 # DEPENDENCYPART_ARC
(2,10),-1.20686 # DEPENDENCYPART_ARC
(3,2),-0.222175 # DEPENDENCYPART_ARC
(3,4),0.413998 # DEPENDENCYPART_ARC
(3,6),-0.763424 # DEPENDENCYPART_ARC
(4,5),-0.719181 # DEPENDENCYPART_ARC
(4,6),-1.18039 # DEPENDENCYPART_ARC
(4,9),-1.4338 # DEPENDENCYPART_ARC
(4,10),-1.55766 # DEPENDENCYPART_ARC
(5,1),-1.8871 # DEPENDENCYPART_ARC
(5,4),-0.371746 # DEPENDENCYPART_ARC
(5,6),-1.04617 # DEPENDENCYPART_ARC
(5,9),-2.02312 # DEPENDENCYPART_ARC
(5,10),-1.06354 # DEPENDENCYPART_ARC
(6,1),0.618217 # DEPENDENCYPART_ARC
(6,2),-0.874406 # DEPENDENCYPART_ARC
(6,3),0.130848 # DEPENDENCYPART_ARC
(6,4),-0.693457 # DEPENDENCYPART_ARC
(6,5),0.938298 # DEPENDENCYPART_ARC
(6,7),1.27304 # DEPENDENCYPART_ARC
(6,8),-0.470623 # DEPENDENCYPART_ARC
(6,9),-0.359633 # DEPENDENCYPART_ARC
(6,10),1.33877 # DEPENDENCYPART_ARC
(7,1),-1.23677 # DEPENDENCYPART_ARC
(7,5),-0.372443 # DEPENDENCYPART_ARC
(7,6),-0.3356 # DEPENDENCYPART_ARC
(7,9),-1.48003 # DEPENDENCYPART_ARC
(7,10),-1.22441 # DEPENDENCYPART_ARC
(8,9),-0.748178 # DEPENDENCYPART_ARC
(8,10),-0.874773 # DEPENDENCYPART_ARC
(9,1),-3.82342 # DEPENDENCYPART_ARC
(9,2),-1.70116 # DEPENDENCYPART_ARC
(9,4),-1.70755 # DEPENDENCYPART_ARC
(9,5),-1.65818 # DEPENDENCYPART_ARC
(9,6),-1.24668 # DEPENDENCYPART_ARC
(9,7),-2.06945 # DEPENDENCYPART_ARC
(9,8),1.74752 # DEPENDENCYPART_ARC
(9,10),0.462127 # DEPENDENCYPART_ARC
(9,11),-0.503241 # DEPENDENCYPART_ARC
(10,1),-2.37656 # DEPENDENCYPART_ARC
(10,4),-1.80475 # DEPENDENCYPART_ARC
(10,5),-1.9984 # DEPENDENCYPART_ARC
(10,6),-1.00373 # DEPENDENCYPART_ARC
(10,8),0.536634 # DEPENDENCYPART_ARC
(10,9),1.479 # DEPENDENCYPART_ARC
(10,11),1.58677 # DEPENDENCYPART_ARC
(11,9),-0.961647 # DEPENDENCYPART_ARC
(11,10),-0.792942 # DEPENDENCYPART_ARC
