# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,15,17,17,18,13,18,18,20,
(0,1),-0.634233 # DEPENDENCYPART_ARC
(0,2),-1.284 # DEPENDENCYPART_ARC
(0,3),-0.774329 # DEPENDENCYPART_ARC
(0,4),-0.655404 # DEPENDENCYPART_ARC
(0,5),-1.4626 # DEPENDENCYPART_ARC
(0,6),-1.21756 # DEPENDENCYPART_ARC
(0,7),-1.07842 # DEPENDENCYPART_ARC
(0,9),-1.54078 # DEPENDENCYPART_ARC
(0,10),-0.15264 # DEPENDENCYPART_ARC
(0,11),-0.665008 # DEPENDENCYPART_ARC
(0,12),-0.503 # DEPENDENCYPART_ARC
(0,13),0.869508 # DEPENDENCYPART_ARC
(0,14),-2.01693 # DEPENDENCYPART_ARC
(0,15),-1.42685 # DEPENDENCYPART_ARC
(0,18),0.830204 # DEPENDENCYPART_ARC
(0,19),-0.770309 # DEPENDENCYPART_ARC
(0,20),-0.868579 # DEPENDENCYPART_ARC
(0,21),-3.21948 # DEPENDENCYPART_ARC
(1,2),-0.923322 # DEPENDENCYPART_ARC
(1,3),-0.974262 # DEPENDENCYPART_ARC
(1,4),-0.76736 # DEPENDENCYPART_ARC
(1,5),-1.71566 # DEPENDENCYPART_ARC
(1,6),-1.32632 # DEPENDENCYPART_ARC
(1,9),-2.53812 # DEPENDENCYPART_ARC
(1,11),-1.43244 # DEPENDENCYPART_ARC
(2,1),2.48651 # DEPENDENCYPART_ARC
(2,3),-2.43784 # DEPENDENCYPART_ARC
(2,4),-0.888341 # DEPENDENCYPART_ARC
(2,5),-2.84585 # DEPENDENCYPART_ARC
(2,15),-3.75722 # DEPENDENCYPART_ARC
(3,1),0.118851 # DEPENDENCYPART_ARC
(3,2),2.60551 # DEPENDENCYPART_ARC
(3,4),1.26585 # DEPENDENCYPART_ARC
(3,6),0.836488 # DEPENDENCYPART_ARC
(3,7),-1.94224 # DEPENDENCYPART_ARC
(3,8),-1.09315 # DEPENDENCYPART_ARC
