# _root_ hala , aznarri " doluminik sentituena " helarazi dio chiracek , eta jauregiren senide eta lagunei " frantziaren laguntasuna " helarazteko eskaera egin dio .
#goldHeads=0,3,8,3,8,5,6,12,8,8,10,0,14,15,21,15,16,19,21,19,22,23,12,23,24,
#predictedHeads=0,3,8,3,6,8,6,12,8,8,10,0,14,15,23,15,16,19,21,19,22,23,12,23,24,
(0,1),0.320215 # DEPENDENCYPART_ARC
(0,2),-1.34322 # DEPENDENCYPART_ARC
(0,3),-0.795178 # DEPENDENCYPART_ARC
(0,4),-0.823339 # DEPENDENCYPART_ARC
(0,5),-0.533561 # DEPENDENCYPART_ARC
(0,6),0.113769 # DEPENDENCYPART_ARC
(0,7),-1.20672 # DEPENDENCYPART_ARC
(0,8),0.227314 # DEPENDENCYPART_ARC
(0,9),-0.182517 # DEPENDENCYPART_ARC
(0,10),-1.72097 # DEPENDENCYPART_ARC
(0,11),-1.07515 # DEPENDENCYPART_ARC
(0,12),0.307951 # DEPENDENCYPART_ARC
(0,13),-1.32628 # DEPENDENCYPART_ARC
(0,14),-1.10333 # DEPENDENCYPART_ARC
(0,15),-1.38013 # DEPENDENCYPART_ARC
(0,16),-1.76754 # DEPENDENCYPART_ARC
(0,17),-2.72488 # DEPENDENCYPART_ARC
(0,18),-1.43963 # DEPENDENCYPART_ARC
(0,19),-0.863673 # DEPENDENCYPART_ARC
(0,20),-3.53322 # DEPENDENCYPART_ARC
(0,21),-1.63718 # DEPENDENCYPART_ARC
(0,22),-1.08974 # DEPENDENCYPART_ARC
(0,23),-0.810953 # DEPENDENCYPART_ARC
(0,24),-0.171741 # DEPENDENCYPART_ARC
(0,25),-3.42066 # DEPENDENCYPART_ARC
(1,2),-1.1911 # DEPENDENCYPART_ARC
(1,3),-1.61852 # DEPENDENCYPART_ARC
(3,2),-0.344554 # DEPENDENCYPART_ARC
(3,4),1.69564 # DEPENDENCYPART_ARC
(3,5),-1.08368 # DEPENDENCYPART_ARC
(3,6),0.437944 # DEPENDENCYPART_ARC
(4,5),-0.903536 # DEPENDENCYPART_ARC
(5,1),-1.10489 # DEPENDENCYPART_ARC
(5,2),-0.870593 # DEPENDENCYPART_ARC
(5,3),-2.24409 # DEPENDENCYPART_ARC
(5,4),-0.387085 # DEPENDENCYPART_ARC
(5,6),1.31325 # DEPENDENCYPART_ARC
(5,8),-2.16731 # DEPENDENCYPART_ARC
(5,9),-1.97766 # DEPENDENCYPART_ARC
(5,10),-1.26502 # DEPENDENCYPART_ARC
(6,1),-0.745175 # DEPENDENCYPART_ARC
(6,2),-1.39729 # DEPENDENCYPART_ARC
(6,3),-0.982564 # DEPENDENCYPART_ARC
(6,5),1.10566 # DEPENDENCYPART_ARC
(6,7),1.10114 # DEPENDENCYPART_ARC
(6,8),-1.89684 # DEPENDENCYPART_ARC
(6,9),-1.89049 # DEPENDENCYPART_ARC
(6,10),-1.339 # DEPENDENCYPART_ARC
(6,11),-0.940213 # DEPENDENCYPART_ARC
(6,12),-0.933927 # DEPENDENCYPART_ARC
(6,15),-0.998163 # DEPENDENCYPART_ARC
(6,16),-1.75241 # DEPENDENCYPART_ARC
(6,18),-5.43618 # DEPENDENCYPART_ARC
(6,21),-2.38913 # DEPENDENCYPART_ARC
(6,23),-3.67214 # DEPENDENCYPART_ARC
(7,3),-1.273 # DEPENDENCYPART_ARC
(7,5),-0.891218 # DEPENDENCYPART_ARC
(7,9),-0.815093 # DEPENDENCYPART_ARC
(8,1),-0.829936 # DEPENDENCYPART_ARC
(8,2),-1.07991 # DEPENDENCYPART_ARC
(8,3),0.177054 # DEPENDENCYPART_ARC
(8,5),-0.0784887 # DEPENDENCYPART_ARC
(8,6),0.770486 # DEPENDENCYPART_ARC
(8,9),2.10969 # DEPENDENCYPART_ARC
