# _root_ lehendakariaz_gain , jaurlaritzako ordezkariak egon ziren han , baita psoeko idazkari rodriguez_zapatero eta pse-eeko nicolas_redondo_terreros ere .
#goldHeads=5,1,4,5,9,5,5,7,0,11,13,11,9,15,13,0,16,
#predictedHeads=5,3,4,5,9,5,5,7,0,11,12,13,5,13,13,0,16,
(0,1),-1.02488 # DEPENDENCYPART_ARC
(0,2),-1.3573 # DEPENDENCYPART_ARC
(0,3),-1.07796 # DEPENDENCYPART_ARC
(0,4),-0.907374 # DEPENDENCYPART_ARC
(0,5),-0.582982 # DEPENDENCYPART_ARC
(0,6),-1.27514 # DEPENDENCYPART_ARC
(0,7),-1.09532 # DEPENDENCYPART_ARC
(0,8),-1.62935 # DEPENDENCYPART_ARC
(0,9),1.36863 # DEPENDENCYPART_ARC
(0,10),-1.65137 # DEPENDENCYPART_ARC
(0,11),-1.40964 # DEPENDENCYPART_ARC
(0,12),-1.77046 # DEPENDENCYPART_ARC
(0,13),-1.88543 # DEPENDENCYPART_ARC
(0,14),-1.92629 # DEPENDENCYPART_ARC
(0,15),-1.80497 # DEPENDENCYPART_ARC
(0,16),1.74183 # DEPENDENCYPART_ARC
(0,17),-3.01412 # DEPENDENCYPART_ARC
(1,2),-0.860563 # DEPENDENCYPART_ARC
(1,3),-0.535137 # DEPENDENCYPART_ARC
(1,4),-0.926033 # DEPENDENCYPART_ARC
(1,5),-2.2725 # DEPENDENCYPART_ARC
(1,6),-2.46674 # DEPENDENCYPART_ARC
(1,7),-1.24502 # DEPENDENCYPART_ARC
(1,9),-1.70933 # DEPENDENCYPART_ARC
(1,10),-1.69592 # DEPENDENCYPART_ARC
(2,1),-0.823612 # DEPENDENCYPART_ARC
(2,3),-0.500707 # DEPENDENCYPART_ARC
(2,4),-1.14115 # DEPENDENCYPART_ARC
(2,5),-0.858528 # DEPENDENCYPART_ARC
(3,1),-1.96467 # DEPENDENCYPART_ARC
(3,2),-0.40761 # DEPENDENCYPART_ARC
(3,4),0.136794 # DEPENDENCYPART_ARC
(3,5),-2.3804 # DEPENDENCYPART_ARC
(3,6),-2.38552 # DEPENDENCYPART_ARC
(3,7),-1.41103 # DEPENDENCYPART_ARC
(3,9),-1.87487 # DEPENDENCYPART_ARC
(3,10),-1.75791 # DEPENDENCYPART_ARC
(3,11),-1.36381 # DEPENDENCYPART_ARC
(3,13),-1.72282 # DEPENDENCYPART_ARC
(4,1),-0.900826 # DEPENDENCYPART_ARC
(4,2),-1.07818 # DEPENDENCYPART_ARC
(4,3),3.15189 # DEPENDENCYPART_ARC
(4,5),-1.2178 # DEPENDENCYPART_ARC
(4,6),-1.09925 # DEPENDENCYPART_ARC
(4,7),-0.981769 # DEPENDENCYPART_ARC
(4,9),-1.19183 # DEPENDENCYPART_ARC
(4,10),-1.42171 # DEPENDENCYPART_ARC
(4,11),-1.03461 # DEPENDENCYPART_ARC
(4,13),-0.921581 # DEPENDENCYPART_ARC
(5,1),0.777108 # DEPENDENCYPART_ARC
(5,2),-1.1924 # DEPENDENCYPART_ARC
(5,3),0.641954 # DEPENDENCYPART_ARC
(5,4),2.28595 # DEPENDENCYPART_ARC
(5,6),1.87684 # DEPENDENCYPART_ARC
(5,7),1.02061 # DEPENDENCYPART_ARC
(5,8),-0.592259 # DEPENDENCYPART_ARC
(5,9),-0.0291395 # DEPENDENCYPART_ARC
(5,10),-2.01133 # DEPENDENCYPART_ARC
(5,11),-0.933438 # DEPENDENCYPART_ARC
(5,13),-0.142647 # DEPENDENCYPART_ARC
(5,14),-2.74469 # DEPENDENCYPART_ARC
(5,15),-1.80761 # DEPENDENCYPART_ARC
(6,1),-1.26627 # DEPENDENCYPART_ARC
(6,3),-0.889575 # DEPENDENCYPART_ARC
(6,4),-0.860237 # DEPENDENCYPART_ARC
(6,7),-0.230811 # DEPENDENCYPART_ARC
(6,9),-1.10734 # DEPENDENCYPART_ARC
(6,10),-1.23191 # DEPENDENCYPART_ARC
(6,13),-1.40069 # DEPENDENCYPART_ARC
(7,3),-0.899411 # DEPENDENCYPART_ARC
(7,4),-0.776934 # DEPENDENCYPART_ARC
(7,5),-0.675027 # DEPENDENCYPART_ARC
(7,8),1.41009 # DEPENDENCYPART_ARC
(7,9),-0.596419 # DEPENDENCYPART_ARC
(7,11),-1.05 # DEPENDENCYPART_ARC
(7,12),-0.94694 # DEPENDENCYPART_ARC
(7,13),-0.746445 # DEPENDENCYPART_ARC
(8,5),-1.30297 # DEPENDENCYPART_ARC
(8,6),-1.52006 # DEPENDENCYPART_ARC
(8,9),-0.697597 # DEPENDENCYPART_ARC
(9,1),-0.452287 # DEPENDENCYPART_ARC
(9,3),-0.745585 # DEPENDENCYPART_ARC
(9,4),-0.718055 # DEPENDENCYPART_ARC
(9,5),0.463111 # DEPENDENCYPART_ARC
(9,6),-1.06771 # DEPENDENCYPART_ARC
(9,7),-0.517949 # DEPENDENCYPART_ARC
(9,8),-0.472976 # DEPENDENCYPART_ARC
(9,10),-0.744974 # DEPENDENCYPART_ARC
(9,11),-1.3955 # DEPENDENCYPART_ARC
(9,12),-0.700016 # DEPENDENCYPART_ARC
(9,13),-1.00091 # DEPENDENCYPART_ARC
(10,2),-2.65941 # DEPENDENCYPART_ARC
(10,8),-1.89467 # DEPENDENCYPART_ARC
(10,11),-0.110195 # DEPENDENCYPART_ARC
(10,13),-2.15953 # DEPENDENCYPART_ARC
(10,14),-2.26261 # DEPENDENCYPART_ARC
(10,15),-2.79375 # DEPENDENCYPART_ARC
(11,1),-1.4025 # DEPENDENCYPART_ARC
(11,3),-0.856158 # DEPENDENCYPART_ARC
(11,4),-1.10754 # DEPENDENCYPART_ARC
(11,5),-1.03971 # DEPENDENCYPART_ARC
(11,7),-1.27691 # DEPENDENCYPART_ARC
(11,8),-1.2983 # DEPENDENCYPART_ARC
(11,9),-0.492148 # DEPENDENCYPART_ARC
(11,10),1.52566 # DEPENDENCYPART_ARC
(11,12),0.801866 # DEPENDENCYPART_ARC
(11,13),-0.118683 # DEPENDENCYPART_ARC
(11,14),-0.423729 # DEPENDENCYPART_ARC
(11,15),-0.535308 # DEPENDENCYPART_ARC
(11,16),-0.804476 # DEPENDENCYPART_ARC
(11,17),-0.502036 # DEPENDENCYPART_ARC
(12,10),-0.272591 # DEPENDENCYPART_ARC
(12,11),0.753302 # DEPENDENCYPART_ARC
(12,14),-1.64737 # DEPENDENCYPART_ARC
(13,1),-0.80873 # DEPENDENCYPART_ARC
